etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
54.9839 111.741 57.9542 0.507428 65.5768 0.676576 1 11 1 1198.52 0.164951 2.41519 229.059 0.702435
70.5608 133.215 77.8032 -1.96192 282.176 -0.254018 -1 11 1 407.596 0.392295 -2.34143 128.831 0.517902
482.059 196.502 188.491 0.50361 212.903 -0.0472641 1 11 1 865.083 0.089674 -2.25255 117.454 0.38176
473.796 76.3313 107.782 0.945441 159.649 -2.59625 1 11 1 755.357 -0.841101 -0.283992 278.343 0.625217
266.359 96.1011 64.6068 0.837989 88.6499 -2.8468 1 11 1 868.505 0.2546 -0.36931 119.493 0.587042
185.911 65.1687 78.6386 -0.100322 79.0347 -2.44595 1 11 1 571.548 0.142397 0.416586 139.983 0.723206
43.8002 108.171 74.7786 -1.99311 279.47 0.691636 -1 11 1 1087.55 -0.0967978 -2.64168 235.906 0.582102
72.6964 157.465 273.793 -1.69369 769.817 -0.610698 -1 11 1 534.84 0.576101 -2.39869 312.841 0.54401
112.815 248.292 179.469 -2.09661 741.332 1.36792 -1 11 1 440.506 0.304078 -0.620901 108.058 0.69902
90.2387 118.682 39.3518 2.1351 168.743 -0.2752 1 11 1 319.055 0.741037 1.75233 166.244 0.732609
176.494 71.014 35.21 -2.05552 139.765 -1.96897 1 11 1 535.395 0.5557 1.90519 232.284 0.737136
64.8898 56.0086 102.001 0.915376 147.804 -1.84522 -1 11 1 407.372 -1.0065 0.37202 186.282 0.464531
141.318 35.6032 168.438 0.642855 204.458 -1.56908 1 11 1 401.115 -1.48306 -3.11488 105.998 0.681636
92.5212 31.7406 42.3647 2.26129 205.462 2.73619 1 11 1 536.337 0.156717 0.49169 142.197 0.294837
81.1558 142.92 63.0697 -2.4369 363.438 -0.0648263 -1 11 1 901.593 0.424362 -2.27025 121.13 0.464558
32.9844 134.991 172.076 -0.511742 195.104 2.44313 -1 11 1 682.586 0.349543 -2.43787 378.521 0.449066
90.025 9.59826 105.715 0.263447 109.404 -2.61732 1 11 1 503.873 -1.27105 -0.321826 137.449 0.639977
30.0616 100.944 184.631 0.881613 261.151 1.04536 1 11 1 402.532 -0.387002 -1.65027 130.281 0.398306
84.2671 205.845 209.923 0.785116 278.014 0.983525 -1 11 1 559.549 -0.474933 -2.56692 253.155 0.55239
37.4221 68.2402 88.634 -0.0143188 88.6431 1.80087 -1 11 1 606.029 0.803734 -1.83453 124.126 0.612932
503.689 6.92697 196.769 -0.370943 210.463 -1.05964 1 11 1 819.136 -0.547309 1.70702 107.432 0.588769
463.026 18.5017 114.604 -1.17907 203.933 -2.25933 -1 11 1 782.345 -1.16027 0.501242 199.032 0.417003
92.2732 38.2735 31.7367 2.02925 122.819 -0.185394 -1 11 1 709.186 0.0643329 1.74126 218.61 0.390622
46.5132 16.1798 61.0169 -1.01201 95.0217 -2.68372 1 11 1 427.518 1.41483 1.4235 115.836 0.641012
399.078 83.848 32.222 -0.104765 32.399 0.62544 -1 11 1 391.724 -0.671724 -2.82787 110.289 0.685777
51.4061 129.622 101.54 -0.895393 145.037 -0.290149 1 11 1 873.607 -0.678447 1.06453 418.43 0.637838
72.0801 90.0967 63.2254 -2.22979 297.332 1.46874 1 11 1 727.21 0.349349 -2.83644 344.088 0.416354
47.2761 71.0728 77.9979 -0.339056 82.5243 0.0161864 -1 11 1 443.948 -1.27384 1.80441 174.479 0.735956
51.2196 78.9718 35.5653 -0.717915 45.1309 -1.58689 1 11 1 560.105 -0.944199 2.5925 242.052 0.725597
55.5954 431.313 839.49 0.184391 853.801 1.50936 1 11 1 859.898 0.353906 -1.64394 381.184 0.419587
60.8214 92.0276 71.1342 2.23116 334.974 -1.76948 1 11 1 703.095 0.191111 0.00901147 214.056 0.219356
96.7556 29.2076 122.419 -1.73562 357.999 1.22264 1 11 1 478.195 -0.304448 -1.39096 251.084 0.481262
86.0834 89.9656 59.1311 0.109999 59.4892 0.482656 1 11 1 375.723 -0.133046 -1.41189 111.04 0.732034
83.5807 101.275 74.3851 -0.919724 108.127 -0.0896785 1 11 1 843.002 1.00531 1.72842 392.638 0.425441
55.4549 48.4304 87.7386 -0.0613958 87.904 2.90156 1 11 1 594.567 -0.476286 -0.888726 155.777 0.632215
69.6692 130.673 344.38 0.97649 522.038 -0.907407 1 11 1 671.573 -1.04014 2.18127 233.128 0.364121
20.8251 118.171 230.284 0.0785974 230.996 1.69054 1 11 1 668.211 -0.398615 -1.32929 384.904 0.351779
44.1159 62.9031 54.4423 1.54313 133.191 2.18184 1 11 1 759.734 1.36592 -1.67346 144.391 0.685011
67.5208 99.6824 266.265 0.299426 278.291 0.110439 1 11 1 680.66 -1.30202 3.03228 204.762 0.378526
288.475 286.696 71.7378 2.38147 391.444 -2.48606 -1 11 1 1013.89 0.0170159 1.04063 198.858 0.484307
461.636 85.6335 73.2865 0.0437337 73.3566 2.7314 1 11 1 636.096 -0.450328 -1.00134 221.029 0.610203
49.2579 153.601 190.84 -0.112141 192.042 1.42144 1 11 1 589.957 -0.477384 -1.68793 112.839 0.612036
181.009 51.2059 271.772 0.294896 283.675 -1.65539 1 11 1 665.559 0.958455 1.8993 120.82 0.676805
49.6697 63.4455 133.56 1.7182 384.241 1.62049 1 11 1 629.993 -0.0814005 -0.761562 111.702 0.541605
55.1607 187.358 163.764 -1.67365 451.917 -1.01715 1 11 1 519.813 -1.34457 2.60574 191.345 0.68034
87.9056 68.6839 120.001 -2.15084 522.511 -0.8496 -1 11 1 660.014 -1.29441 2.44023 226.026 0.671076
186.502 30.9848 395.158 1.11417 666.873 2.25294 1 11 1 650.383 0.673698 -1.52327 282.196 0.627358
59.6542 83.8562 36.2274 -0.547822 41.8008 1.26226 1 11 1 335.61 1.2436 2.7488 137.37 0.674955
45.6203 119.238 102.625 -1.3457 210.445 0.91621 1 11 1 512.974 1.28628 -2.4032 147.778 0.556209
70.539 99.531 42.1717 -0.473462 46.9874 2.40528 1 11 1 1009.28 0.0397978 1.12488 183.792 0.622478
95.6738 112.017 56.5165 -0.168582 57.3215 -2.96569 1 11 1 445.257 0.242385 -1.40967 250.575 0.381012
39.0584 61.6731 136.024 -0.773053 178.733 2.55365 1 11 1 587.098 1.82684 -0.188067 204.514 0.429461
87.5407 37.7388 108.538 1.66513 297.15 -2.81385 1 11 1 799.872 0.834686 -0.714013 107.471 0.570856
29.7334 46.9484 30.483 -1.00718 47.296 -2.05529 -1 11 1 524.26 0.409774 0.70597 128.003 0.55086
125.127 38.5621 92.4391 2.21568 428.766 1.34489 -1 11 1 544.653 -0.523338 -1.98281 194.868 0.665924
63.6604 100.176 40.4634 -1.05644 65.2232 -0.762175 1 11 1 566.237 -1.40847 1.30409 235.332 0.345517
95.1525 208.825 122.114 -1.68839 341.651 0.566582 1 11 1 459.782 -0.895151 -1.87016 103.335 0.735127
139.587 40.2554 53.8971 0.629727 64.9416 -3.04372 1 11 1 354.401 0.894284 1.0946 118.179 0.725214
68.9509 98.4217 296.724 0.986428 453.179 2.98002 1 11 1 582.527 -0.623578 0.759288 287.503 0.724885
36.5225 96.1444 63.5992 1.6291 168.391 1.61891 1 11 1 406.314 0.261307 -2.25512 123.207 0.667583
309.067 82.6665 190.153 -0.510206 215.443 1.48827 1 11 1 1181.18 1.26535 -1.68698 394.768 0.704291
182.096 42.6922 136.679 -1.06417 221.654 1.48842 1 11 1 513.747 0.286666 -0.173006 102.601 0.626465
37.1465 62.2939 48.9007 -1.86334 161.382 -2.47518 1 11 1 745.134 0.149386 0.750442 182.234 0.359629
648.759 59.5217 124.205 1.3027 245.369 1.67569 1 11 1 802.042 0.38137 -1.69492 250.785 0.31569
91.2251 114.304 145.258 0.707854 183.195 -2.24961 1 11 1 454.67 0.405608 1.35326 155.82 0.573571
320.673 86.5067 390.713 -0.332871 412.56 -1.60254 1 11 1 851.736 0.257779 1.28311 175.406 0.461195
131.07 532.681 544.627 0.69129 680.026 -0.154079 -1 11 1 343.098 0.775799 3.08255 130.668 0.665285
52.0924 109.708 63.6502 1.01087 99.0362 -2.06988 1 11 1 695.695 0.135806 0.566178 130.867 0.726388
177.804 26.5817 86.543 0.50416 97.7766 1.47618 1 11 1 576.027 -0.156702 -1.07557 224.186 0.458407
40.1816 122.614 97.0796 2.06095 387.384 -2.26678 1 11 1 495.242 -0.836284 0.0101585 189.711 0.636536
33.133 45.0465 59.4517 -1.16249 104.356 -1.71024 -1 11 1 395.454 1.00089 0.429469 144.562 0.72403
108.206 95.3386 103.281 0.775113 135.892 2.93426 1 11 1 688.468 0.255516 1.20223 169.805 0.656954
