etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
60.1541 126.325 106.407 -0.649348 129.64 -2.09369 -1 11 1 457.382 -1.28791 0.709584 102.878 0.710469 2 285.753 -1.06271 1 384.059 -1.35723 0 883.349 -2.21697 -1.64485 245.886 1.3264 0.152554
167.245 36.491 160.706 -1.80737 502.89 1.36495 1 11 1 361.952 -0.253059 -1.8686 206.27 0.401951 1 74.6195 -0.530578 2 126.347 -0.485411 797.384 361.952 -0.253059 -1.8686 206.27 0.401951 1.32194
70.0257 41.3151 147.458 -0.983453 224.704 -1.97829 1 11 1 325.261 -1.93531 0.933916 104.427 0.234715 1 44.5744 0.222265 1 44.5744 0.222265 647.311 325.261 -1.93531 0.933916 104.427 0.234715 -0.7636
101.484 1.47028 141.297 -0.389955 152.177 -2.39848 1 11 1 302.41 -1.76013 0.676957 124.286 0.535617 1 32.3769 -1.85012 1 63.8322 -2.33214 0 302.41 -1.76013 0.676957 124.286 0.535617 1.23372
87.2448 119.17 47.7582 -0.214588 48.862 1.18339 1 11 1 477.108 0.342044 -2.44989 161.68 0.749342 4 209.075 -0.346751 2 118.653 -1.85762 0 800.769 -0.139789 -1.79089 289.629 1.22489 1.94145
168.898 24.9424 81.224 -0.47708 90.6442 0.913337 1 11 1 334.052 -0.255132 -2.47557 156.513 0.436155 3 67.0201 -1.58427 1 67.0201 -1.58427 539.609 334.052 -0.255132 -2.47557 156.513 0.436155 0.567647
172.305 45.5399 38.7641 0.255547 40.0368 -0.525885 1 11 1 317.537 -1.27845 -2.67048 196.575 0.236087 1 105.693 -0.534153 2 231.167 -1.15457 528.405 317.537 -1.27845 -2.67048 196.575 0.236087 2.16667
77.1096 128.586 200.82 1.8842 676.066 -2.01968 -1 11 1 346.565 -1.44216 1.61477 213.477 0.567338 2 72.6765 1.97487 1 72.6765 1.97487 1728.52 346.565 -1.44216 1.61477 213.477 0.567338 0
33.9026 65.5541 132.506 -0.834223 181.351 -2.24471 -1 11 1 485.8 -0.341743 -0.3014 100.2 0.417318 1 218.069 0.238924 1 449.592 -0.336873 0 485.8 -0.341743 -0.3014 100.2 0.417318 0.892994
139.983 46.2909 159.202 0.741889 205.061 -2.03519 1 11 1 559.615 -0.146218 1.06186 212.981 0.315641 2 125.782 0.00634372 1 125.782 0.00634372 893.501 962.844 0.304339 -0.946038 360.613 0.677635 1.22767
227.061 42.0583 34.1467 0.585436 40.1673 -0.100783 1 11 1 309.078 0.864131 2.71846 161.239 0.648208 1 69.6211 0.0404859 1 114.725 1.28123 0 309.078 0.864131 2.71846 161.239 0.648208 -1.66571
91.0535 50.5574 333.288 -1.22612 616.815 0.788018 1 11 1 407.062 -0.875545 -2.52631 123.619 0.58219 1 120.123 -1.43241 2 381.291 -0.907211 0 859.788 -2.24933 -1.9349 312.577 1.12047 0.91813
21.0616 153.95 284.907 -0.352887 302.831 1.72197 -1 11 1 587.575 -0.664735 -1.1606 155.396 0.650066 2 241.861 -0.628204 1 526.796 -0.614859 0 1104.84 -1.1429 0.828519 338.699 1.03473 0.684627
230.825 147.529 128.541 -0.207123 131.308 0.688001 1 11 1 527.53 1.13259 -1.533 134.887 0.738627 1 251.981 -0.152572 1 80.3576 1.12668 0 527.53 1.13259 -1.533 134.887 0.738627 0.756889
316.325 93.3007 164.53 -0.413249 178.78 -2.81081 -1 11 1 747.148 -0.199036 0.600658 217.427 0.464384 3 104.801 -2.28536 1 690.322 -0.142233 0 747.148 -0.199036 0.600658 217.427 0.464384 0.394477
76.7422 26.9939 124.35 0.733166 159.296 0.421426 -1 11 1 373.563 0.332678 -3.01693 115.22 0.65299 2 99.0897 0.428161 1 312.314 0.385278 0 651.019 1.0809 -2.89502 250.808 1.07525 0.710525
75.5994 43.0367 195.709 -0.0287008 195.789 -0.908268 1 11 1 323.946 -0.169867 2.50561 169.645 0.598206 1 91.022 -1.74624 1 95.9389 0.221199 0 323.946 -0.169867 2.50561 169.645 0.598206 1.26173
20.8549 76.6417 70.4156 0.253044 72.682 1.63627 -1 11 1 390.092 1.24377 -2.56171 104.224 0.718582 1 390.118 0.923894 1 54.7388 1.41343 0 390.092 1.24377 -2.56171 104.224 0.718582 1.24402
316.269 11.8821 125.015 1.03566 198.271 2.03962 1 11 1 1071.72 1.28631 -1.13449 145.174 0.657297 2 52.2159 0.303554 1 56.1404 1.68323 0 1332.4 2.13715 0.817819 209.528 1.07258 1.25235
