etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
93.3528 30.5439 251.121 -0.0455997 251.382 2.24293 1 11 1 340.402 -0.761811 -0.684483 112.515 0.718485
327.75 78.2454 51.3917 -1.58587 130.748 -2.76371 1 11 1 321.454 -0.75304 0.725321 117.123 0.699724
56.6941 77.8407 60.6662 0.126692 61.1537 0.234795 -1 11 1 354.618 1.45341 -1.76449 119.856 0.590539
29.3422 119.849 267.088 2.46187 1577.42 1.79239 -1 11 1 304.715 -0.821042 -1.34151 169.931 0.701872
88.6472 46.3734 115.226 -0.294629 120.263 -1.31495 -1 11 1 334.53 0.884173 1.77965 107.86 0.617807
122.007 53.3807 37.6178 0.892627 53.6263 -0.820203 1 11 1 338.715 -1.77917 -3.13546 102.515 0.531248
113.171 48.7478 153.406 -1.61064 399.3 -1.47693 1 11 1 338.953 -0.161406 1.78427 133.91 0.387924
65.5461 91.6357 36.3287 -0.92521 53.0189 1.46476 1 11 1 343.738 1.26026 -1.00989 190.938 0.350326
60.859 79.8186 34.7966 -1.74722 102.874 -2.72377 -1 11 1 318.845 -0.411251 2.02356 122.48 0.552215
347.603 71.2791 43.1921 2.17806 193.12 2.01711 1 11 1 364.893 1.17507 -1.33041 160.604 0.356222
102.952 63.5639 58.5857 0.560052 68.0163 0.0422252 1 11 1 335.741 1.38864 2.31305 106.6 0.617015
137.784 42.9436 40.6364 -0.384011 43.6696 0.922362 1 11 1 303.569 0.243023 -3.08887 101.379 0.676959
169.067 72.7736 67.9018 -0.675323 83.9829 -0.817684 1 11 1 303.62 -0.0786572 1.88766 148.103 0.311311
85.77 48.7498 174.685 -1.62649 461.398 0.611632 -1 11 1 319.592 -1.28996 -2.55455 153.1 0.594414
173.854 83.665 190.194 -0.552759 219.997 -2.80166 1 11 1 350.924 -0.879964 0.648713 107.492 0.73451
34.2871 103.618 93.5969 -0.922713 136.349 -1.58422 1 11 1 448.642 -1.74037 2.22881 117.353 0.692912
181.401 132.953 197.214 -0.40635 213.722 1.1598 1 11 1 383.988 0.230039 -1.20406 103.674 0.725783
169.972 50.3403 37.7336 1.87244 125.613 1.97013 -1 11 1 316.548 1.21956 -0.67964 133.365 0.66856
108.693 67.6562 174.417 -0.830136 238.046 -2.90734 -1 11 1 342.744 0.222325 0.0341998 113.685 0.531814
90.9197 0.24702 178.725 -0.617153 213.855 -0.574211 1 11 1 307.218 -1.50857 2.58481 108.119 0.4992
74.5093 39.3715 183.432 -1.02088 287.612 2.30132 1 11 1 308.1 1.34887 -0.832058 104.72 0.681721
177.936 33.8991 266.895 -1.56055 663.428 0.730553 1 11 1 392.927 -1.07921 -2.14867 122.912 0.554322
59.1619 125.037 101.395 0.0718021 101.656 -1.84398 1 11 1 368.107 0.723766 0.964295 155.68 0.612425
296.21 67.2357 118.272 1.60612 306.567 0.864462 1 11 1 302.706 -1.21239 -1.87722 179.074 0.371162
132.739 89.3632 305.991 -0.428543 334.521 -0.775615 1 11 1 424.379 -0.516145 2.18295 100.891 0.465753
232.732 1.06768 154.104 -1.65665 418.583 -1.41919 1 11 1 376.875 -0.97356 1.82734 204.352 0.512942
113.044 122.437 86.0521 -2.05417 341.135 -1.77089 1 11 1 587.454 -1.1016 2.01979 140.774 0.737583
