etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
367.128 77.327 67.0482 1.03255 106.081 -0.421137 1 11 1 419.127 1.76888 3.08802 118.272 0.599291
89.4818 59.9306 250.122 1.32548 503.954 -0.366456 1 11 1 336.157 1.27946 2.54819 186.806 0.399938
236.428 64.2034 133.239 0.994977 204.815 -0.481993 1 11 1 353.758 1.84109 3.10963 131.663 0.625538
100.116 19.1592 102.293 -0.90258 146.866 -0.632312 1 11 1 422.838 -1.41205 2.56039 138.501 0.508023
334.168 87.6288 33.2917 1.54857 81.8524 -2.09948 1 11 1 372.499 -0.721073 1.72915 110.951 0.706062
254.76 62.5344 31.036 0.192711 31.614 -0.779954 -1 11 1 341.398 0.0363486 -3.09132 180.352 0.37539
180.413 18.7985 81.3541 0.585665 95.7099 2.48807 1 11 1 328.592 0.599713 -0.131561 109.721 0.520782
51.5726 60.2334 228.281 0.0368028 228.435 2.24205 -1 11 1 338.872 -0.540229 -0.861363 107.544 0.726857
201.82 90.0648 125.924 2.14444 544.899 1.70277 -1 11 1 370.167 1.08983 -2.02144 139.87 0.616717
242.393 56.5507 68.6113 -0.148718 69.3715 2.97959 1 11 1 341.519 -0.874508 -0.166747 202.311 0.628489
239.471 6.30983 155.519 0.661017 190.751 1.65824 -1 11 1 341.806 0.762182 -1.16928 105.413 0.535132
186.404 96.0957 136.556 -0.803553 183.067 -1.23587 1 11 1 377.381 -1.40753 1.62624 167.661 0.355166
31.1661 84.1183 200.664 -1.74275 590.762 -1.87071 -1 11 1 302.31 0.702912 1.45298 116.428 0.732946
143.963 19.9419 157.888 -1.79111 486.523 -0.0889731 -1 11 1 376.629 -1.43172 3.04464 177.972 0.648517
248.411 54.1973 89.9573 -1.95065 322.741 -2.19379 1 11 1 361.291 -0.0535799 1.29311 106.176 0.591734
133.483 79.7187 120.239 1.82372 382.137 -0.732628 1 11 1 363.836 0.382822 2.77386 107.062 0.404531
90.3394 91.2278 148.86 2.29377 745.271 0.910371 1 11 1 327.899 -1.21642 -2.47604 134.83 0.462205
335.997 36.3658 56.4359 -1.23143 104.914 -2.65057 1 11 1 427.218 -1.47281 0.740403 126.613 0.712074
102.288 80.5728 188.659 -0.175662 191.577 -1.75477 -1 11 1 665.437 0.421126 1.65357 124.178 0.493494
218.681 73.8805 71.433 0.736193 91.6809 -1.74615 1 11 1 326.727 1.2711 2.09544 114.029 0.557765
149.201 72.3033 205.78 1.25127 389.019 0.695345 -1 11 1 310.412 0.861643 -2.7227 100.605 0.512163
51.3982 39.1034 173.695 0.297102 181.418 2.95326 -1 11 1 358.384 -0.313394 -0.49164 100.949 0.736988
79.7305 1.86014 250.974 0.292277 261.77 1.54333 -1 11 1 370.174 -0.117399 -1.82845 110.413 0.323911
369.372 97.3325 62.7267 -0.464483 69.6157 0.4998 1 11 1 370.455 -1.0551 -2.11587 121.382 0.701558
66.8594 112.776 47.561 -1.2988 93.6415 2.30036 1 11 1 762.22 -1.11119 -0.499378 123.3 0.233103
