etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
266.094 12.3117 112.743 -0.0642558 112.976 -2.16076 -1 11 1 419.396 0.652835 0.98958 167.261 0.51351
57.8824 48.675 76.6848 0.151104 77.5619 2.58485 -1 11 1 414.43 0.875347 0.394674 106.403 0.713532
351.444 65.0316 121.33 -1.9844 449.659 -0.310858 1 11 1 485.828 -1.0934 3.00789 160.469 0.726401
133.189 74.8159 69.4953 0.908842 100.228 2.34568 1 11 1 348.046 0.529345 -1.37849 125.692 0.302616
286.762 44.0126 152.405 -1.02868 240.408 -3.01531 -1 11 1 436.211 1.01294 -0.0763764 110.746 0.395113
42.4044 84.1931 51.8737 -2.44842 302.332 -0.871832 -1 11 1 390.865 0.611649 0.50408 140.41 0.721309
428.827 82.7384 138.836 1.77212 420.207 0.519734 1 11 1 596.752 -0.233134 -2.82689 175.22 0.521849
50.7679 112.788 67.8238 1.91172 234.418 -0.223743 -1 11 1 328.656 -0.0411002 -2.89345 139.411 0.494896
118.323 108.144 76.0732 -1.54671 186.72 -3.03178 1 11 1 372.816 -1.81515 0.591897 193.836 0.631617
68.7981 27.1614 86.7275 0.207461 88.6006 1.54988 1 11 1 309.398 0.676716 -1.87071 151.878 0.415548
116.206 39.3626 85.134 1.90754 293.071 1.63755 1 11 1 502.876 -0.536346 -0.526538 145.306 0.617123
31.7962 31.5932 57.2925 -1.07629 93.8061 1.42196 1 11 1 433.329 0.0506471 -1.23414 254.724 0.456379
108.244 64.4488 59.0511 1.52878 142.589 -0.251205 1 11 1 321.19 0.383736 -2.72478 123.263 0.63906
163.34 36.1544 94.8438 -0.069576 95.0735 -0.193801 1 11 1 423.101 0.148917 2.65107 168.839 0.656986
267.495 45.6486 32.7933 -2.00126 123.524 -1.05662 1 11 1 364.829 0.128338 1.90353 130.599 0.652209
43.2625 49.4962 64.2118 -0.725487 81.8644 1.11549 -1 11 1 341.205 0.364673 -1.17762 160.256 0.73521
30.9225 146.935 382.383 0.335 404.041 -0.672709 -1 11 1 607.271 0.378349 2.29881 108.972 0.600964
293.022 93.2287 166.8 -0.782161 220.477 -2.06714 -1 11 1 408.498 -0.487412 1.16367 161.199 0.425135
49.6699 43.1036 106.501 -1.69289 299.223 0.721759 -1 11 1 345.958 1.46195 -1.83916 121.685 0.537436
89.7815 81.5489 40.0909 2.02121 153.949 1.49604 1 11 1 360.561 1.24347 -2.80034 108.458 0.485137
80.3364 4.47951 106.994 0.46229 118.632 -1.31919 -1 11 1 379.137 0.834872 0.745635 121.196 0.67707
81.3931 72.9425 30.1099 0.731342 38.5276 -0.560947 -1 11 1 418.158 1.13488 -3.04514 201.425 0.673311
71.3499 19.0936 173.263 0.221111 177.516 1.30093 1 11 1 366.518 1.42248 -1.5105 126.028 0.619025
181.253 90.2843 36.5807 1.64758 98.5287 -1.57895 1 11 1 342.65 -0.207822 0.450953 116.892 0.461131
51.2845 74.6188 34.0325 1.53245 82.4529 1.45426 1 11 1 374.11 -0.65966 -2.78678 139.146 0.419131
170.745 70.6745 112.263 0.233859 115.346 2.5762 -1 11 1 459.773 0.00782943 -0.661093 132.482 0.611081
230.245 135.882 113.359 -2.09164 466 2.8774 1 11 1 384.168 1.13618 -0.489473 120.292 0.681701
37.8022 85.2414 165.872 -1.11438 279.976 -1.07343 1 11 1 366.787 0.715291 1.27623 134.644 0.543886
59.1502 116.31 136.269 0.149685 137.798 -0.764152 -1 11 1 332.464 -0.079737 2.1802 122.344 0.693868
31.8015 49.7486 96.5935 0.474029 107.651 -1.37594 -1 11 1 353.976 -0.149248 1.55595 140.943 0.528076
173.604 10.6132 85.814 1.96462 312.037 -0.081563 1 11 1 514.21 0.616426 -2.41858 192.935 0.569444
20.9014 89.7624 98.5396 -1.57846 248.999 2.18795 1 11 1 319.874 -1.42297 -1.88536 134.258 0.435166
160.531 53.6306 87.8965 2.11245 368.699 -0.70947 1 11 1 323.114 -0.68662 2.3589 167.385 0.711995
163.254 69.9441 191.558 -1.54976 471.488 2.54234 1 11 1 479.806 -1.04925 -0.646549 154.549 0.658319
106.611 76.3658 264.145 -0.09756 265.403 0.229387 -1 11 1 420.728 0.107472 -2.88044 115.261 0.615039
34.0075 149.082 196.053 -1.10484 328.389 -0.0398328 1 11 1 497.411 0.225591 2.84609 120.496 0.648624
216.491 17.8583 116.691 -1.1221 198.194 -1.18727 1 11 1 436.585 -0.428333 2.14995 147.276 0.433526
66.6844 100.292 70.7184 -1.70091 200.184 0.396707 1 11 1 350.538 -1.14332 -2.01739 109.811 0.483799
61.9996 42.6544 73.9885 0.517062 84.1013 0.694261 1 11 1 321.378 0.469689 2.50257 100.671 0.604372
41.5868 73.8206 38.3208 0.0814191 38.4479 -2.14382 -1 11 1 407.509 -0.452252 2.27171 155.257 0.457083
257.418 55.9642 88.2616 -0.111206 88.8079 3.10826 -1 11 1 503.588 -0.253015 -0.255761 181.451 0.428426
81.7977 12.4677 120.666 -1.15526 210.552 2.57675 -1 11 1 318.642 -0.905496 -0.675651 107.801 0.687439
70.4635 36.8469 57.45 -2.18904 259.636 -1.87244 1 11 1 310.332 -0.0308861 1.55074 130.038 0.342524
123.09 73.6649 43.7927 -0.759207 57.0316 2.20194 1 11 1 464.941 0.15871 -1.92973 209.629 0.485701
89.541 45.7269 143.665 -2.19474 652.89 -0.184697 -1 11 1 324.891 -0.10706 2.95935 133.527 0.735341
54.7165 125.937 84.0327 1.64209 225.188 1.28487 -1 11 1 361.531 -0.629702 -1.49715 120.668 0.745531
22.8552 95.6092 185.445 1.09253 307.577 2.39333 -1 11 1 451.627 1.35657 -0.830612 100.774 0.650397
271.162 123.693 95.6578 0.88661 135.783 -0.790988 1 11 1 487.191 0.159132 2.72364 175.875 0.685806
145.619 98.8087 220.82 2.1481 958.938 2.29754 -1 11 1 490.139 -0.644575 -1.23102 147.737 0.64334
54.4083 84.899 33.1206 1.23058 61.5268 0.712518 1 11 1 324.853 -0.966384 -1.60228 118.547 0.659964
77.3937 103.612 69.8465 2.32329 359.961 0.446532 1 11 1 380.772 -0.379451 -2.22031 200.842 0.474653
117.488 48.7148 199.619 2.13222 853.584 2.22155 -1 11 1 463.468 -0.192725 -0.916865 189.771 0.425694
135.422 17.4301 206.405 -0.063197 206.817 -0.410888 1 11 1 399.577 0.347186 2.92992 216.657 0.149555
107.315 66.6085 90.3862 1.52862 218.221 0.579948 1 11 1 397.261 -0.432409 -2.04493 130.241 0.439473
95.2711 114.023 89.8066 -1.15811 157.071 -0.314764 1 11 1 318.933 -0.248847 1.72407 102.412 0.685739
121.123 43.1593 236.354 -1.14475 408.888 -0.785435 1 11 1 466.031 -0.00671988 2.47027 138.344 0.123131
65.4803 76.4146 66.0794 1.66137 180.278 -1.42982 1 11 1 363.804 0.420181 2.8387 114.043 0.480495
123.574 3.54358 80.9981 1.15816 141.671 -0.904637 -1 11 1 321.74 0.704609 1.30485 136.205 0.543848
72.5485 51.3117 145.425 -0.017622 145.447 0.394153 1 11 1 317.345 1.61135 -2.14406 139.718 0.66348
46.4338 203.305 311.408 -0.974719 471.428 -2.95369 1 11 1 417.305 0.0473825 0.298405 238.299 0.507513
269.217 39.2807 148.002 1.34192 302.495 2.10975 1 11 1 366.017 -0.305829 -0.725669 227.011 0.551286
74.8015 87.01 60.2849 1.26787 115.588 1.30189 -1 11 1 469.096 -1.07902 -2.37808 210.052 0.314108
167.161 42.4203 72.0883 -1.09694 119.986 -1.24993 -1 11 1 343.44 -0.759525 1.95802 164.68 0.383878
169.03 64.9087 44.7006 -1.01892 69.9831 2.65124 -1 11 1 395.948 0.19273 0.287197 212.28 0.479119
115.589 38.3366 101.894 -0.620466 122.144 0.526552 1 11 1 389.939 1.82868 -1.14441 108.72 0.600134
79.4076 14.0341 47.3339 0.343363 50.1517 2.078 -1 11 1 404.918 1.52255 -1.25206 150.952 0.524355
73.3816 108.087 112.331 0.610914 133.953 2.49877 1 11 1 331.803 1.78049 -1.47561 107.681 0.711137
578.883 78.1712 76.1428 0.506684 86.1278 0.0228598 1 11 1 679.808 0.239469 2.78736 176.669 0.412209
106.396 17.0669 122.19 -0.716351 154.906 -2.5319 1 11 1 313.578 0.58354 0.0974316 161.882 0.332564
130.566 27.7223 130.053 0.070116 130.373 -0.103354 1 11 1 355.025 0.663203 -2.80896 135.045 0.562945
62.8701 62.5748 303.104 -0.888604 430.857 1.46763 -1 11 1 403.12 -1.36453 -1.74392 205.43 0.496914
86.4314 372.218 411.604 -0.235241 423.046 1.54492 1 11 1 327.392 1.36444 -1.74115 121.004 0.62545
79.1545 199.956 126.442 0.642114 153.417 1.9525 1 11 1 366.556 0.55554 -0.91414 130.853 0.345939
148.408 94.0678 54.1975 -0.937879 79.8334 -0.854217 1 11 1 351.476 -1.35488 2.54528 106.248 0.684376
81.9073 104.998 36.7397 -0.354442 39.0717 2.63315 1 11 1 477.636 -0.111147 0.900983 228.654 0.346601
94.9944 37.02 53.3088 -0.196512 54.3414 2.11834 -1 11 1 426.562 1.36965 -1.43283 155.057 0.410807
259.164 35.8651 138.919 -0.224032 142.42 -0.869793 1 11 1 517.474 -0.972808 2.32404 226.889 0.661885
279.514 49.8196 45.3697 -1.83635 145.931 -2.5514 1 11 1 343.384 -0.841922 1.14564 143.74 0.475494
99.8611 32.0275 280.422 1.7757 851.609 -2.44306 -1 11 1 522.134 0.282598 0.49699 202.797 0.44215
137.627 2.26238 79.7437 0.374202 85.3922 -0.134592 1 11 1 322.76 0.32253 -2.6102 156.496 0.38173
55.2752 88.0675 39.4094 1.25503 74.7402 2.43982 -1 11 1 906.553 0.535982 -1.71572 207.465 0.646188
213.222 114.609 46.2114 1.52856 111.563 -1.55307 1 11 1 490.912 -0.694486 1.45438 110.267 0.641992
63.2933 91.7921 242.777 -0.170243 246.304 -1.56892 1 11 1 419.187 0.913977 1.46221 153.182 0.706573
55.1708 248.193 420.245 0.576922 492.143 0.11171 -1 11 1 451.025 0.885207 -3.09032 245.916 0.51553
81.4715 74.7788 32.8475 -0.251448 33.8914 0.58318 -1 11 1 329.546 -0.173023 1.9887 118.906 0.635943
96.9168 115.522 89.5348 -0.860997 124.823 -0.218283 -1 11 1 429.58 -0.00761896 1.89253 120.447 0.654725
70.0912 75.8254 68.0532 0.220331 69.7118 2.04149 1 11 1 329.818 1.00938 -1.36096 100.09 0.59695
149.228 31.1099 131.395 0.607157 156.367 -0.490732 -1 11 1 418.944 0.389538 3.0907 165.663 0.672476
149.01 22.3487 56.9427 1.01957 89.1939 -1.72682 1 11 1 405.775 -0.497487 1.92818 106.494 0.725676
97.9204 40.1892 51.8096 2.30262 261.649 2.01579 -1 11 1 381.889 -0.254649 -1.57718 109.703 0.622184
60.2457 90.1829 73.3383 -2.37223 396.561 1.28124 1 11 1 344.373 -0.528142 -1.84029 156.544 0.331977
