etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
177.51 20.0668 114.506 1.16134 200.801 -0.302728 1 11 1 318.696 -1.48983 -3.12906 152.164 0.712788
205.052 25.7108 33.1772 1.81307 104.381 -1.1113 -1 11 1 425.887 -0.0681604 1.97418 146 0.683308
58.4735 78.6699 656.141 -1.20784 1195.85 -2.5968 1 11 1 827.471 1.51779 0.493446 317.554 0.206061
401.556 98.8965 134.602 -1.23101 250.137 0.415649 1 13 1 705.415 -0.450448 -2.66762 148.941 0.578714
55.6427 58.8906 64.4734 0.0628616 64.601 -0.39974 1 13 1 528.426 1.40665 2.22857 250.744 0.560949
70.7264 201.161 144.823 -1.10258 242.139 -0.446302 -1 13 1 390.363 -0.419957 2.70504 104.124 0.62788
102.519 61.591 77.1932 1.22056 142.196 0.675249 1 11 1 643.329 1.11547 3.1339 227.269 0.727762
64.1284 0.536908 137.327 1.73025 399.574 -2.7722 -1 11 1 382.616 0.867027 0.314672 119.322 0.572186
310.277 56.0666 80.6202 -0.590643 95.0964 -0.555291 1 13 1 761.282 -0.0801584 2.65414 346.93 0.340453
98.7573 106.113 241.621 -0.89432 344.86 1.74175 -1 13 1 410.56 0.31405 -0.6173 218.719 0.683125
74.9209 66.96 62.0801 -0.890083 88.3386 1.08804 1 11 1 377.133 -1.09086 -2.10429 181.109 0.311692
85.3913 85.4374 42.1694 0.0687011 42.2689 0.922619 -1 11 1 352.308 0.188339 2.5959 131.689 0.526199
69.8786 56.5672 76.9527 1.36269 160.164 1.66519 -1 13 1 488.919 -0.540269 -1.52594 156.438 0.60508
83.8288 17.6628 97.985 -0.795265 130.638 -1.23296 1 13 1 389.154 -0.891804 2.93969 105.581 0.64636
31.51 44.339 63.9106 -0.505934 72.2662 -0.54045 1 13 1 616.612 -0.0967483 -2.97726 133.5 0.737752
106.198 87.9402 228.533 -0.05066 228.827 1.84049 1 11 1 429.697 -0.638931 -1.0416 136.503 0.569557
113.148 82.4061 47.5802 0.980469 72.3419 -1.90126 1 11 1 400.577 -1.38006 0.654147 104.648 0.748374
78.6055 3.00117 178.989 -0.803058 239.873 -2.83616 1 11 1 356.73 0.362587 -0.0190848 120.014 0.251785
64.4634 246.41 280.691 -1.60356 725.85 1.86622 -1 11 1 524.448 0.442435 -1.95612 114.594 0.577176
189.761 56.9525 191.355 1.22396 353.499 -2.21721 1 13 1 534.676 0.697981 0.52716 190.128 0.605374
120.276 83.044 111.878 -1.83156 358.223 -0.850556 1 11 1 305.199 0.499911 2.70767 102.587 0.714478
315.44 75.805 59.3258 -0.436751 65.0747 -2.96482 1 13 1 493.312 0.556619 0.115204 162.575 0.711387
250.435 116.591 41.7504 -0.656067 51.0627 -2.17464 1 13 1 923.052 -0.42609 3.08036 250.728 0.499146
333.242 24.1108 159.215 1.34107 325.174 2.7426 -1 13 1 489.333 0.085303 -0.230702 103.486 0.399235
156.469 86.2235 116.406 1.05514 187.444 -0.833642 1 11 1 363.148 1.53939 2.8114 117.228 0.516386
339.753 55.1699 32.816 -0.260817 33.9385 2.52653 1 11 1 389.094 -1.16192 -1.12191 212.486 0.311055
52.3206 11.6096 392.391 0.554678 454.317 0.148627 1 11 1 421.72 0.317576 -2.85144 111.729 0.546525
42.7937 110.93 180.704 0.341235 191.327 2.74484 -1 11 1 399.198 0.348951 -0.287346 104.06 0.681528
166.483 75.9201 51.3303 -2.23632 242.938 -2.94818 1 13 1 344.314 -0.0125926 0.772491 155.308 0.601265
54.6814 55.5625 124.515 0.274532 129.236 0.861933 1 13 1 370.731 -0.679273 -2.33188 100.925 0.688602
262.195 6.3675 274.952 0.534623 315.19 -0.452233 -1 11 1 1032.18 -0.661756 2.89294 222.659 0.637913
142.163 61.1852 67.5029 1.08155 110.985 -1.0949 1 11 1 480.662 1.99638 3.08386 187.92 0.722489
39.8979 26.0815 113.3 -1.27953 219.412 -1.32881 1 11 1 458.257 0.152179 2.44971 132.925 0.586607
42.9041 228.646 306.631 0.333868 323.88 1.44022 1 13 1 1071.44 -0.582014 -1.75567 198.507 0.464102
236.41 23.2435 61.129 -0.370524 65.3734 -0.986201 -1 11 1 566.469 0.464919 2.19099 195.61 0.714286
160.835 11.2273 162.16 1.95435 583.858 0.0378699 -1 13 1 577.445 -0.907949 -2.19716 222.442 0.463843
136.117 43.7313 37.2094 1.76692 112.068 1.15888 1 11 1 414.508 -0.676912 -1.16225 227.515 0.624612
90.2892 151.029 65.7224 -2.40882 368.4 2.24562 -1 11 1 308.318 1.86409 -2.83076 126.228 0.476671
150.107 21.4886 197.754 0.74486 255.196 -2.97098 -1 11 1 400.384 -0.931751 0.374241 106.626 0.612285
74.5511 55.766 97.6478 -0.251571 100.754 1.4845 1 11 1 301.3 -1.99099 -2.86512 120.107 0.739578
29.4246 43.3358 70.3937 0.196717 71.7602 -2.51104 1 13 1 310.675 -1.22816 1.15696 108.721 0.653253
23.9763 106.246 211.057 -1.78668 647.644 -2.10472 1 13 1 529.502 -0.878658 1.95385 210.088 0.324337
199.133 53.7777 188.668 0.0445583 188.855 0.742972 1 13 1 368.07 0.570803 -2.48994 119.679 0.556893
113.59 25.7556 121.119 -0.866253 169.476 0.582181 -1 11 1 400.96 0.012299 -2.21858 110.722 0.651264
56.5164 101.222 454.904 0.837101 623.816 1.68498 -1 11 1 506.229 -1.83749 -1.24653 199.387 0.604616
100.656 117.171 126.971 2.30069 640.015 -1.47444 -1 13 1 462.21 1.74981 2.17656 185.263 0.332931
30.3275 31.3646 122.516 -1.23399 228.25 0.260716 -1 13 1 636.711 0.085982 2.53638 222.039 0.436434
711.409 56.7126 145.562 -0.959206 217.821 -0.131505 -1 11 1 979.005 -1.32086 3.0829 416.135 0.685494
31.9733 68.1908 52.2993 0.0817779 52.4744 -1.75354 1 13 1 311.602 0.554177 2.58658 117.254 0.397196
85.3515 89.1029 58.5335 -0.564334 68.1042 1.55648 -1 11 1 589.351 -1.72018 -2.87709 147.465 0.529081
119.056 21.5994 218.412 0.487914 244.93 1.31817 -1 13 1 805.592 -1.19585 -2.27126 167.957 0.671484
42.2883 48.0959 192.419 -0.965142 289.215 2.103 -1 11 1 422.696 -0.561308 -1.35668 160.419 0.442028
356.986 30.3394 52.2375 0.607146 62.165 2.3186 1 11 1 538.875 -0.286392 -0.295313 142.785 0.510036
84.7163 65.1729 62.8228 -0.0431159 62.8812 2.83463 1 11 1 379.356 -0.823713 -0.791905 190.804 0.560124
51.3318 30.5003 85.0237 -1.677 235.364 -0.347033 1 11 1 382.682 1.40611 1.52938 178.119 0.697533
38.0704 41.0758 55.9056 -1.31643 111.761 0.756888 1 13 1 573.69 -0.209962 -1.14239 159.951 0.587648
80.4369 52.6666 409.077 -1.0524 657.31 -2.54114 -1 11 1 518.25 -1.69134 0.365322 266.839 0.456905
26.4502 74.1248 52.2027 1.52141 125.211 -0.275035 1 11 1 376.443 1.82368 1.66787 104.301 0.668327
189.789 85.6342 67.0952 -1.22637 124.2 2.40359 -1 13 1 677.526 1.61393 -0.0319342 128.987 0.672846
168.827 94.111 136.726 1.8151 430.995 -1.21689 -1 11 1 485.076 1.34428 2.41708 174.043 0.357907
25.2483 90.2459 200.926 -1.38784 427.549 2.24203 1 13 1 368.859 0.536299 -0.336672 132.327 0.60436
140.847 87.4837 145.901 -1.1387 251.165 -1.94434 1 13 1 495.204 -1.09129 1.30232 112.001 0.505578
157.434 77.2624 305.798 0.0668806 306.482 -0.659709 1 11 1 426.235 -0.656875 2.71746 199.134 0.373441
60.7369 111.566 59.813 0.412566 64.9761 1.79149 1 13 1 320.095 -0.0305335 0.398136 199.858 0.388257
211.22 48.9302 135.883 -2.27168 665.745 -0.703794 1 11 1 460.573 -1.42317 2.27094 128.58 0.625656
141.371 7.79771 134.765 0.90489 193.808 0.15047 1 11 1 337.9 -0.489836 -2.7543 161.378 0.638383
70.6796 118.686 50.8582 -0.551763 58.7984 -0.811473 1 13 1 335.676 -0.301629 1.68593 102.446 0.548129
49.286 88.5054 50.0217 -1.12096 84.8806 -2.95007 1 11 1 345.989 1.94136 1.2685 164.144 0.33541
198.515 77.6554 185.738 -0.752691 240.884 0.0289132 -1 13 1 422.811 -1.8415 -2.96665 197.175 0.522108
275.329 110.038 73.1553 -1.26189 139.551 2.76051 1 13 1 339.42 0.320331 -1.63939 112.878 0.625959
149.966 19.3778 509.788 0.0732825 511.157 -2.96884 -1 11 1 651.267 1.07038 0.160039 143.862 0.617791
417.251 15.6217 118.661 1.11611 200.567 1.25605 1 11 1 485.116 -0.0731989 -2.16524 109.029 0.686882
139.207 39.8573 241.782 0.856476 336.017 -2.4775 -1 11 1 782.019 -0.167167 1.14949 183.353 0.582866
312.688 50.0651 245.078 0.174081 248.801 -1.71835 1 11 1 581.73 -0.371063 1.46021 257.161 0.380524
66.8839 45.5421 179.58 0.372349 192.173 0.549484 -1 11 1 344.821 0.180793 -2.73001 138.152 0.600444
67.7874 4.80027 123.812 -1.13498 212.496 1.14535 1 11 1 592.09 0.167762 -0.478237 268.41 0.726887
328.363 4.00099 73.1152 -0.108955 73.5496 1.3321 1 11 1 413.081 0.25591 -1.95928 133.094 0.596187
82.7558 77.9763 51.903 1.47517 119.391 -0.758938 -1 13 1 1329.63 -0.849906 2.78217 124.726 0.631081
246.104 66.3345 213.254 -0.874153 300.055 0.105208 1 11 1 474.14 0.287249 -3.12285 174.328 0.640066
39.9653 79.1412 42.9357 -2.32751 222.19 2.6297 1 13 1 363.505 0.264137 -2.60132 169.084 0.462388
237.431 8.51794 205.37 -0.405965 222.527 -1.41263 -1 11 1 499.208 -1.11594 1.82221 118.091 0.698976
99.241 47.7714 52.4258 0.653513 64.025 2.37091 1 13 1 507.058 -0.192934 0.188262 123.922 0.555889
146.446 13.0201 86.6737 1.35246 178.788 -1.30397 -1 13 1 322.218 0.487046 2.992 111.371 0.697011
174.648 10.4939 69.5118 -2.13606 298.35 -3.04281 1 13 1 426.678 -0.925751 0.805499 121.607 0.731618
128.998 42.0463 96.7818 -0.599468 114.699 2.25383 1 13 1 399.128 -0.957159 -1.23223 115.457 0.690161
123.937 128.648 76.4177 0.56238 88.8241 -1.65504 -1 13 1 368.166 0.0470669 -2.87359 130.809 0.556604
49.4383 105.981 196.497 1.28811 383.338 0.429237 -1 13 1 403.21 -1.19934 2.64156 153.87 0.632691
42.6355 95.5294 84.1837 -1.18784 150.894 1.56272 1 13 1 329.235 -0.826281 -1.91612 144.005 0.395901
113.552 148.644 141.632 -0.59959 167.863 1.40435 1 13 1 838.9 -0.760833 -2.71206 340.656 0.437314
39.8835 27.7902 49.5229 0.168879 50.2307 0.717788 1 11 1 320.211 0.00685845 -1.8462 101.346 0.747168
46.6113 111.009 71.8189 2.01653 274.54 2.66259 1 13 1 378.403 1.58054 -0.00276387 105.472 0.559163
114.132 44.4986 38.8313 1.1802 69.1631 -0.31611 1 13 1 529.548 0.254525 -2.44395 148.402 0.626186
35.2213 74.3828 39.3428 0.852327 54.5196 -2.70011 -1 11 1 575.92 -0.0387788 -0.539819 133.903 0.685234
494.618 54.4274 165.409 -0.412951 179.714 -0.627255 1 11 1 636.707 0.191625 2.46331 248.267 0.687533
219.397 60.2737 143.047 0.458739 158.365 0.546854 1 11 1 690.361 -0.472623 2.5734 101.63 0.595968
137.857 133.679 160.107 0.707896 201.927 2.50986 1 13 1 486.689 -0.194807 -1.52148 148.058 0.384073
307.36 28.7084 89.3059 1.92468 312.52 -1.01376 1 13 1 659.247 0.360532 1.93909 133.101 0.600951
152.114 39.4147 197.856 0.240355 203.599 -0.938794 -1 13 1 379.537 -0.669848 2.04898 101.415 0.660228
169.265 77.2503 48.66 1.15824 85.1154 1.91474 1 11 1 417.272 1.95495 -1.86451 136.313 0.718872
