etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
167.793 43.8974 36.9731 0.470475 41.1412 1.1718 1 13 1 1437.32 0.925042 -1.55875 130.446 0.737152
35.3816 94.8407 104.742 1.03254 165.717 0.108307 -1 13 1 630.395 0.177264 -2.04053 139.822 0.698625
82.6142 105.71 39.0527 -1.10318 65.3263 0.272485 -1 13 1 614.619 -0.553524 -1.86782 126.109 0.703153
24.32 43.8221 53.8262 -1.61668 140.887 -1.0418 1 13 1 539.238 0.704249 0.614583 149.945 0.645192
119.462 15.2951 594.915 -0.519684 677.074 -0.590968 1 13 1 814.424 -1.5515 2.89363 175.851 0.613691
131.786 62.2546 38.2769 -1.0836 63.0359 1.04356 1 13 1 468.36 -0.215521 -3.13679 131.518 0.699113
102.787 34.5376 40.3439 -1.44995 90.7235 0.407155 1 13 1 535.876 -0.0601291 -1.20789 245.202 0.371865
74.7108 105.457 47.2752 0.200175 48.2257 2.34439 -1 13 1 700.373 0.0526012 -1.83739 215.95 0.419249
35.3945 60.396 118.966 -0.534721 136.383 1.38019 1 13 1 574.546 0.160971 -0.798032 164.841 0.51646
178.979 35.4639 43.7229 -0.979031 66.4053 -1.2094 1 13 1 540.093 1.2478 1.93796 179.248 0.675482
38.8417 63.5835 31.97 1.87972 107.168 2.65671 1 13 1 605.653 0.602625 -0.534593 102.925 0.484716
116.559 143.183 57.8427 2.06425 231.553 0.902464 1 13 1 305.796 -0.620343 2.80217 114.887 0.544808
31.5509 105.856 113.225 1.82523 360.359 -0.411033 -1 13 1 571.445 -0.889479 2.2277 278.674 0.724873
133.709 102.907 39.2725 -0.139511 39.6554 -0.641801 1 13 1 448.971 1.76175 1.66866 169.329 0.586522
64.4037 210.544 174.737 -0.44239 192.116 0.0198434 1 13 1 695.601 -0.103529 -2.71818 179.069 0.605045
121.434 52.4951 391.597 -1.33007 792.156 2.88013 -1 13 1 780.99 -0.602962 -0.304575 101.095 0.507253
860.558 46.3131 286.48 1.33798 583.519 -1.80991 1 13 1 1188.68 -0.0609811 1.16823 412.686 0.388555
35.4388 85.35 144.119 0.511994 163.425 2.12715 1 13 1 726.714 0.189256 0.582147 172.064 0.384917
59.6011 95.4366 121.419 1.6634 331.88 2.56972 1 13 1 321.656 1.50436 -0.753221 143.287 0.395857
109.757 55.5527 439.147 0.644826 533.654 -1.41577 -1 13 1 781.257 -0.237779 1.61852 103.547 0.636825
147.283 273.028 131.546 0.664127 161.638 1.00562 -1 13 1 435.101 0.430562 -3.06792 182.761 0.520085
196.698 57.7051 129.377 1.42077 283.453 2.46197 1 13 1 644.809 -1.24339 -0.760458 148.992 0.603824
143.319 230.69 92.9985 -1.15498 162.236 1.19536 -1 13 1 690.711 0.267812 -2.35727 199.675 0.335823
46.3082 83.2458 39.0399 -1.66732 107.1 -1.28672 1 13 1 452.656 -1.37891 2.43039 125.082 0.696803
161.951 3.76415 53.8436 1.39225 115.021 -2.57023 1 13 1 686.455 0.564778 -0.0580636 262.382 0.498527
57.5859 112.518 62.4994 0.110389 62.8807 -1.42404 1 13 1 454.178 0.185413 0.691176 135.942 0.560204
348.837 63.7222 130.374 -0.852174 180.647 -2.99877 1 13 1 804.818 0.147344 0.366111 188.641 0.551824
122.67 6.34104 340.608 0.0856126 341.857 1.5137 -1 13 1 654.677 0.527546 -1.72407 117.533 0.714831
77.888 51.5951 70.1727 0.707783 88.4956 0.648091 -1 13 1 598.582 0.0643732 -2.74345 280.738 0.467478
72.7328 150.638 186.498 -0.802801 249.894 0.281788 -1 13 1 743.943 1.43746 -3.0579 346.113 0.587203
109.529 68.7914 34.221 -0.171715 34.7269 -2.36395 1 13 1 474.982 0.713476 1.10687 231.162 0.679321
77.1067 98.0112 59.902 -0.598365 70.9495 0.412164 1 13 1 550.79 0.310869 -1.24703 102.708 0.554878
245.619 325.08 200.635 -2.1417 865.878 2.55426 -1 13 1 1037.09 0.853566 1.11963 108.743 0.447439
75.7972 29.3318 210.535 -0.508016 238.292 -0.00419475 1 13 1 591.82 0.924503 2.53743 185.623 0.71128
43.5876 134.31 120.326 1.46721 274.806 -1.52951 -1 13 1 571.33 0.79379 1.76112 277.62 0.660859
36.5495 35.416 110.346 0.608213 131.393 -1.88429 1 13 1 1466.22 0.532581 0.237345 242.753 0.681121
