etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
165.617 12.1608 93.4349 -1.39453 199.998 -1.4035 1 13 1 339.957 0.617386 2.3616 179.04 0.604286 2 155.035 -2.25035 1 138.26 0.476434 0 339.957 0.617386 2.3616 179.04 0.604286 1.25982
39.9237 53.4885 42.2173 0.60314 50.1319 2.94103 1 13 1 594.132 0.717406 -1.06845 195.291 0.734214 1 450.364 -0.557355 1 450.364 -0.557355 1326.98 594.132 0.717406 -1.06845 195.291 0.734214 0.712876
133.373 70.9508 59.9182 -0.842641 82.4794 -2.50969 1 13 1 360.981 0.205972 -0.33587 141.805 0.514108 1 69.9148 -0.10622 1 77.2234 -0.101608 0 360.981 0.205972 -0.33587 141.805 0.514108 1.13469
236.459 88.0102 67.7437 -2.18151 303.918 2.67056 1 13 1 412.983 -1.36704 -0.422472 129.985 0.722181 1 116.583 -0.851172 1 245.698 -1.29784 0 412.983 -1.36704 -0.422472 129.985 0.722181 1.88877
26.8586 52.179 64.9428 -1.51831 155.33 -0.821605 -1 13 1 374.935 0.241416 -3.10213 117.894 0.665353 1 388.022 -1.10233 2 353.968 0.256968 0 374.935 0.241416 -3.10213 117.894 0.665353 1.30742
149.03 88.9476 112.372 -0.340526 118.951 -0.322983 1 13 1 346.651 -1.14657 1.93487 142.276 0.456784 1 190.612 -0.621823 1 50.3669 -1.83148 0 346.651 -1.14657 1.93487 142.276 0.456784 1.21422
213.162 83.3379 65.5312 0.744661 84.5558 -0.659093 1 13 1 400.925 0.093947 3.03441 131.834 0.501981 1 204.795 1.22079 1 204.795 1.22079 773.28 400.925 0.093947 3.03441 131.834 0.501981 0.818565
40.7387 62.0872 234.885 2.34708 1239.09 0.879853 1 13 1 335.008 0.574923 -2.64261 152.64 0.460205 1 38.418 2.47995 1 237.932 0.382219 0 335.008 0.574923 -2.64261 152.64 0.460205 0.654048
62.1989 78.338 45.5262 -0.928484 66.6009 3.11231 1 13 1 364.487 -0.591856 -0.897706 109.849 0.612861 2 194.187 -0.429784 2 138.885 2.17827 0 364.487 -0.591856 -0.897706 109.849 0.612861 2.15914
220.914 20.1941 115.691 -1.48064 267.436 -1.84619 1 13 1 354.461 -0.658114 1.1059 107.932 0.568716 1 40.7059 -2.24159 1 40.7059 -2.24159 566.155 354.461 -0.658114 1.1059 107.932 0.568716 1.17615
123.018 32.6484 251.024 1.58178 636.247 2.21001 1 13 1 612.52 0.272322 -1.14697 147.318 0.687152 1 62.6405 1.49376 1 62.6405 1.49376 1085.68 612.52 0.272322 -1.14697 147.318 0.687152 0.890937
65.5344 80.5569 53.3191 2.05118 210.762 0.460191 -1 13 1 324.937 0.352819 -2.68246 121.781 0.633873 1 54.575 0.299238 1 54.575 0.299238 480.053 324.937 0.352819 -2.68246 121.781 0.633873 1.273
183.954 87.2278 75.9585 -2.13796 326.622 3.13504 1 13 1 345.107 -1.021 -0.252185 129.805 0.562288 1 35.8578 -1.74777 2 115.567 0.739304 0 345.107 -1.021 -0.252185 129.805 0.562288 1.0851
