etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
56.5731 67.05 275.946 2.27041 1350.3 2.55659 -1 13 1 344.923 0.946455 -0.57701 130.968 0.548186
315.474 51.3592 35.3982 1.85177 115.541 -1.24463 1 13 1 385.07 1.18293 1.36609 141.028 0.461417
131.502 23.1615 135.655 1.37312 284.941 -2.23968 1 13 1 326.863 0.0218787 1.24389 110.859 0.746279
221.847 27.5131 120.849 0.497753 136.131 -3.0393 -1 13 1 317.773 -0.189746 0.299888 126.159 0.550961
144.477 50.0395 154.101 -0.238121 158.491 -2.90661 1 13 1 332.871 0.522478 0.0919761 101.735 0.676686
53.8256 12.2177 231.638 1.22363 427.797 2.27632 -1 13 1 312.367 -0.409067 -0.960545 107.155 0.533234
174.619 79.5074 57.759 -0.147307 58.3869 -1.51393 1 13 1 300.443 1.51596 2.50862 134.926 0.71419
224.508 51.8728 109.004 -1.26965 209.318 -1.68801 1 13 1 308.008 -0.256935 1.06979 136.104 0.606853
149.118 90.0981 38.419 1.50413 90.7156 0.84848 1 13 1 311.66 -0.461141 -1.22223 121.448 0.583903
64.2716 49.873 252.706 -1.60976 657.231 -2.50575 -1 13 1 304.877 -1.72756 0.724097 108.412 0.313837
47.4102 132.468 222.794 -0.894299 317.984 -1.77339 -1 13 1 305.942 0.297186 1.58969 107.111 0.610706
202.449 46.7237 92.7657 1.28861 181.051 -2.58087 1 13 1 315.764 -1.08633 0.442205 100.92 0.734529
161.017 32.7837 78.9962 -0.762379 103.087 -1.03582 1 13 1 310.502 -0.308952 1.85047 137.42 0.451365
146.687 113.608 203.768 0.465242 226.222 1.37527 -1 13 1 354.283 1.86849 -1.44505 111.405 0.748019
92.0894 44.3946 113.486 -0.32677 119.6 -0.874195 -1 13 1 343.411 0.0123863 2.68121 142.504 0.691188
358.021 52.6313 136.783 -1.71605 392.725 -0.565393 1 13 1 436.874 -0.569113 2.45681 105.378 0.552231
72.109 0.135133 142.672 -0.749462 184.652 -2.01113 1 13 1 312.129 1.50248 0.872202 143.444 0.52918
140.836 74.0875 267.876 -0.654397 327.309 -2.5171 -1 13 1 400.692 0.595505 0.604198 113.62 0.548982
55.4294 73.1242 139.769 -1.52664 336.84 -0.0258035 1 13 1 341.504 -1.9941 -2.89936 109.15 0.419128
47.6612 64.8355 87.21 0.217065 89.2727 -2.20172 -1 13 1 325.062 0.892795 0.273685 104.675 0.721764
93.061 34.5319 319.371 -1.48753 742.871 2.95463 -1 13 1 402.966 0.317969 -0.0768563 144.392 0.55754
362.937 72.9046 46.4885 0.449479 51.2643 -0.506241 1 13 1 340.082 -0.800094 2.07265 174.812 0.349759
