etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
148.708 71.1339 103.72 0.0936019 104.174 0.421701 1 13 1 590.506 -1.18767 -2.41156 152.608 0.6151
311.458 68.7688 97.0042 -0.684836 120.655 -2.07741 1 13 1 399.928 -1.51138 0.864422 114.593 0.395645
194.787 47.8823 63.5584 -0.466893 70.6127 0.508132 1 13 1 556.457 -1.26876 -2.28231 283.424 0.698766
32.7329 46.3657 160.283 0.28169 166.684 -0.339398 -1 13 1 629.147 -1.33495 2.29088 236.361 0.646745
97.1238 11.1074 231.055 -1.39229 493.598 0.24549 1 13 1 327.099 -0.124816 -2.82194 132.639 0.565537
132.025 95.9516 249.107 1.27151 479.111 1.13098 -1 13 1 353.416 -0.488598 -2.37603 161.474 0.340371
105.716 54.9431 194.512 0.592861 229.709 -2.1714 -1 13 1 356.061 -0.0479678 1.30412 131 0.5735
89.8299 173.991 116.544 -0.591075 137.502 -2.40354 -1 13 1 311.663 1.01275 2.19845 104.488 0.693149
266.917 77.3978 160.334 1.81655 506.112 -2.27179 -1 13 1 433.219 1.55668 0.57301 104.588 0.619506
174.268 67.3918 72.6007 1.22979 134.778 -0.300481 1 13 1 329.021 -0.947562 2.77912 107.512 0.693894
172.936 56.6814 57.374 -1.23015 106.544 -1.72383 1 13 1 322.317 -1.30284 1.25813 107.698 0.684064
193.141 31.2485 126.054 -1.31174 250.973 -1.86899 1 13 1 341.181 -0.602195 0.931311 128.724 0.411791
114.465 76.4128 272.005 1.64328 729.713 0.0988366 -1 13 1 362.55 1.67494 3.02598 167.422 0.735425
110.563 8.53228 57.3621 1.79671 177.696 -2.1205 1 13 1 332.529 0.207401 1.35604 154.221 0.590751
59.4674 17.366 245.201 -0.148999 247.927 2.0926 -1 13 1 356.771 0.494578 -0.813853 113.848 0.507556
218.733 46.0135 73.1702 1.12772 124.842 0.219057 1 13 1 344.318 0.721972 3.08891 143.553 0.454103
25.2447 123.098 311.764 -0.575923 364.913 1.97019 -1 13 1 360.281 0.327222 -1.22241 116.181 0.357887
74.5616 2.9688 277.339 1.24416 521.147 1.20266 -1 13 1 380.697 0.994449 -2.0374 128.531 0.661865
228.553 95.5913 31.8009 -0.765601 41.5852 -0.139145 -1 13 1 524.973 -0.900821 1.95004 125.314 0.528302
254.199 67.473 46.7085 -0.451437 51.5494 2.77652 1 13 1 353.411 -0.608626 -1.10239 117.199 0.671028
30.6287 31.3349 184.997 -0.869634 259.472 -0.917464 1 13 1 340.455 -1.17291 2.40005 101.673 0.410913
38.9701 69.6983 242.854 -0.37171 259.826 2.83663 1 13 1 303.397 0.828653 -0.542559 105.867 0.665744
92.4208 10.3639 168.665 0.765061 220.482 2.97933 -1 13 1 325.88 0.727462 0.228191 166.04 0.39265
295.595 16.8489 84.0668 -1.4506 189.154 -2.68464 -1 13 1 436.25 -0.781768 0.526321 178.19 0.55413
129.113 48.489 145.798 -0.345344 154.579 -0.715494 1 13 1 324.588 0.188521 2.58741 122.006 0.615407
177.819 99.8233 185.913 1.62715 491.352 -2.4289 1 13 1 365.067 -0.0358054 0.450414 141.048 0.566726
118.542 41.303 277.26 -1.66476 758.807 3.02065 -1 13 1 404.394 -0.124042 -0.085872 144.142 0.481712
131.577 80.8499 155.52 -1.62598 410.582 2.20418 1 13 1 352.667 -0.642817 -0.803757 160.367 0.716911
