etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
398.557 83.2297 74.2012 1.09574 123.385 -1.7583 -1 13 1 443.406 1.04138 1.83444 227.384 0.5366
92.6219 44.7261 139.084 0.501612 156.952 2.04698 -1 13 1 327.092 -0.180315 -1.26494 109.241 0.698583
63.0509 13.4135 99.7145 1.88025 334.427 2.42406 1 13 1 342.734 1.81805 -0.805822 109.43 0.696796
187.416 64.2638 54.1972 -1.75639 161.62 2.40573 1 13 1 326.338 -1.37647 0.269059 106.152 0.715023
242.432 99.8987 166.848 0.338922 176.523 2.972 -1 13 1 344.85 -0.72005 -0.317881 159.516 0.722816
215.066 71.9264 156.06 -1.81953 494.013 -2.52647 1 13 1 355.483 1.15063 0.714909 149.092 0.740769
157.936 51.5626 190.019 -0.672848 234.68 -3.14039 1 13 1 354.983 -1.7016 0.00892169 139.69 0.709389
114.588 136.068 116.002 0.143286 117.195 1.51302 -1 13 1 317.51 0.937204 -1.47868 111.927 0.694577
396.749 81.3686 56.8584 -0.996425 87.4988 -1.75025 1 13 1 317.592 0.497445 1.76714 178.395 0.729264
183.071 8.47456 96.6261 -1.66098 263.519 -2.94181 -1 13 1 411.288 -1.14457 -0.00995986 135.22 0.69829
92.2423 43.9709 194.649 -0.693726 243.396 -0.68614 1 13 1 331.521 -0.361987 2.03526 153.313 0.723929
188.196 67.0937 125.922 -1.09129 208.647 0.981061 1 13 1 350.788 -1.41166 -2.28401 180.13 0.519097
237.147 71.6424 53.5681 -2.3434 281.569 1.76735 1 13 1 328.699 1.37301 -1.82298 150.841 0.630875
25.5696 74.8947 61.5068 0.528265 70.2905 2.28489 1 13 1 402.623 1.46872 0.691361 213.193 0.73088
321.796 17.0742 87.3168 0.431351 95.5669 1.88149 -1 13 1 410.493 -0.374706 -1.09317 104.695 0.39336
67.4829 88.9021 31.2253 -1.86396 103.11 1.20493 1 13 1 324.869 -1.72292 -2.82341 124.918 0.597711
154.956 14.7249 156.226 -1.28809 304.769 2.3737 1 13 1 358.224 -0.35196 -0.601284 100.321 0.2799
64.3414 39.8757 173.068 -1.96891 631.914 -3.01181 1 13 1 307.05 -0.735501 0.340647 102.104 0.724703
260.85 25.073 112.073 0.608968 133.504 -1.09181 -1 13 1 308.305 -1.07211 2.25743 129.204 0.659607
183.092 6.79347 184.669 1.66538 505.697 0.1804 1 13 1 347.102 1.45147 -2.97554 136.69 0.640493
83.7155 37.8892 227.043 -0.322296 238.938 -0.779866 1 13 1 325.142 -0.946159 2.14342 110.59 0.596139
