etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
46.4053 45.0979 33.9572 -1.43742 75.5103 -0.0357513 1 13 1 464.636 -0.544114 2.31492 146.417 0.39474
101.845 92.4832 98.0684 0.936953 144.357 1.95294 1 11 1 414.329 1.08202 -2.42894 112.689 0.552538
67.058 99.4245 91.5911 -1.369 191.691 2.68683 1 13 1 311.058 -1.82895 0.233336 120.209 0.564957
211.08 66.1955 190.688 -0.696996 238.912 2.98891 1 13 1 370.604 -0.696425 -0.436499 156.471 0.439264
89.2527 1.77268 365.843 0.811573 493.084 1.09055 1 13 1 644.434 -0.265743 -1.66504 108.971 0.703868
52.4187 30.8051 119.353 -1.09437 198.248 0.786328 1 11 1 608.895 -0.522301 -1.31571 106.295 0.558064
96.0467 2.30465 58.5196 -0.590789 69.0329 -1.21237 1 13 1 782.525 -0.139079 2.23453 379.672 0.622149
103.916 76.4384 102.856 2.39438 568.413 -1.84961 1 11 1 305.422 1.76064 0.976356 120.958 0.525863
49.1205 75.2733 144.824 0.88132 204.804 0.752152 1 13 1 325.833 1.00697 -1.97914 100.006 0.503504
165.18 53.1925 176.043 -2.41843 996.164 0.644347 1 13 1 416.045 -0.77807 -2.79087 232.22 0.25929
30.9567 172.453 249.714 0.367854 266.801 -1.05627 1 11 1 537.418 0.131344 3.04954 130.065 0.363466
157.876 76.0459 81.2552 -1.05074 130.392 1.75102 1 11 1 360.026 -0.461446 -0.629344 110.578 0.678757
225.992 60.1947 44.4417 0.326365 46.8297 1.21569 1 13 1 862.103 1.23879 -3.04584 324.163 0.43622
116.384 102.118 82.606 -0.335224 87.2911 -0.848323 1 11 1 352.929 -0.0922953 2.47386 151.638 0.693504
77.0995 34.2543 53.1641 1.97065 194.44 1.01801 1 11 1 330.487 0.816194 -3.0636 150.037 0.615611
149.947 57.5958 555.355 1.18376 992.075 0.0932532 1 11 1 1083.46 -0.680843 2.755 424.329 0.578479
60.6638 105.838 47.8886 -1.75543 142.678 0.749969 1 13 1 367.79 -1.02638 -1.64336 100.336 0.707949
80.7524 93.2163 92.8724 -0.970848 140.188 1.93196 1 11 1 706.014 1.4097 -1.26007 257.689 0.332237
209.247 46.3433 70.974 0.556143 82.2359 0.0591855 1 13 1 570.697 -0.222819 -2.80195 139.154 0.671142
151.218 14.5592 30.6855 2.36692 165.061 0.702354 1 13 1 419.228 0.853874 -1.98728 170.129 0.52885
148.694 10.4005 36.1874 0.255427 37.3745 1.15247 1 13 1 357.518 0.153943 -2.187 129.403 0.737894
33.8614 44.9747 175.185 -1.09942 292.165 2.22596 1 11 1 750.989 0.0494807 -2.46906 293.304 0.519071
141.07 84.1385 262.831 0.928068 384.382 3.0279 1 11 1 344.112 0.528585 0.41413 147.492 0.472359
20.2151 73.2979 95.8987 -0.20669 97.9544 2.97253 1 11 1 467.031 1.19791 0.752126 150.052 0.442517
72.6926 35.2259 90.0877 -1.17155 159.314 -0.0609098 1 11 1 316.258 -0.313085 -2.29023 174.007 0.627941
357.128 69.3185 73.9503 -1.70059 209.27 -0.811381 1 11 1 406.733 0.414069 1.66914 144.713 0.602331
72.9482 39.535 146.952 -0.715241 186.17 -1.17385 1 11 1 1235.39 0.204814 -3.11416 206.644 0.522564
90.2495 13.2443 58.8397 0.0517467 58.9185 -1.65149 1 11 1 357.796 1.14117 1.28831 159.453 0.349348
306.553 94.6277 147.621 -0.810997 198.887 -1.26055 1 13 1 351.308 -1.4373 1.73596 112.341 0.713101
39.2128 82.5625 43.4637 1.39146 92.7829 2.48519 1 13 1 454.723 -0.603242 0.879896 174.982 0.594572
37.1852 52.3734 43.3344 0.865584 60.6074 -2.2923 1 11 1 395.357 1.41579 -0.1577 103.71 0.469056
106.804 75.9805 68.2848 1.27284 131.483 1.23539 1 11 1 501.349 0.852601 -2.44951 105.11 0.393644
31.0416 79.3016 71.8063 -1.56924 179.917 -2.34549 1 13 1 394.322 -0.661489 0.652077 117.751 0.528089
516.303 31.7192 67.1689 -1.31733 134.381 -1.6862 1 13 1 575.27 -0.665107 0.633437 245.622 0.341774
113.561 93.0005 67.3807 -0.0303342 67.4118 1.35308 1 13 1 371.772 1.23146 -1.94813 203.927 0.414975
285.888 62.1038 52.0773 -0.68364 64.7283 0.290265 1 11 1 359.436 -1.24428 3.06177 146.816 0.253789
267.304 47.9487 402.409 -1.32471 810.243 -2.34559 1 11 1 739.52 -0.961405 0.366767 257.996 0.319744
216.444 30.0523 117.57 -2.41072 660.258 0.0425805 1 13 1 308.376 -0.36319 2.97146 124.499 0.675469
53.7644 50.5224 67.0165 -0.139245 67.6673 2.42945 1 13 1 332.429 0.00741542 -0.268031 154.892 0.540738
195.751 76.3623 42.6613 0.337194 45.1096 -2.10767 1 11 1 339.098 0.889378 0.879773 187.05 0.734166
87.074 70.2399 152.275 0.825837 207.22 -2.21537 1 13 1 556.617 0.839136 1.01885 291.211 0.48696
280.638 32.218 50.4486 -0.624454 60.6085 -0.0442023 1 13 1 340.089 0.899273 -2.60747 112.307 0.665055
149.134 59.485 47.8096 -2.45089 279.323 -2.07165 1 11 1 1099.29 1.66683 1.37124 221.112 0.481886
48.087 110.984 89.7695 0.485817 100.573 -2.96886 1 11 1 309.553 -0.932104 -1.38639 104.27 0.457155
340.528 56.775 54.7717 -0.718082 69.5103 1.83211 1 11 1 486.015 1.25612 -1.01967 100.165 0.427906
60.932 168.019 123.599 -1.18779 221.533 -2.69877 1 13 1 380.027 0.63518 -0.437818 186.492 0.708426
22.9383 55.1883 34.8177 0.476253 38.8417 -2.7839 1 13 1 326.052 -0.500949 0.859339 119.792 0.64024
83.1224 57.2478 57.9614 -0.965594 87.1479 2.56 1 11 1 688.2 -1.27304 -0.966354 251.415 0.624606
59.5426 63.045 36.2133 0.126364 36.503 -0.657329 1 13 1 392.984 1.40405 2.0573 248.439 0.387231
22.1207 93.7781 123.537 1.06146 199.916 0.117544 1 13 1 319.388 1.06371 3.07245 155.117 0.304856
100.045 143.521 156.223 0.184893 158.901 -2.58385 1 13 1 303.724 0.81408 0.821069 100.032 0.703252
67.0203 69.118 46.8016 1.18857 83.9399 -1.76468 1 11 1 302.394 -1.95305 0.695984 143.394 0.474455
73.5427 70.8137 136.844 0.423738 149.314 1.51586 1 11 1 379.679 0.768785 0.0426505 155.78 0.582018
94.1073 51.7321 99.7081 1.61718 261.102 -1.39996 1 13 1 466.177 0.586866 0.871967 112.45 0.67239
365.085 22.4745 72.23 1.12579 123.046 0.263535 1 11 1 447.299 1.01057 -2.60807 112.853 0.517042
104.313 101.645 38.5934 -0.430778 42.2301 -0.710969 1 13 1 342.858 -0.370019 0.638879 132.589 0.552796
235.827 90.0548 135.431 1.16214 237.653 -1.77036 1 13 1 369.748 0.953013 0.85763 111.454 0.461794
187.023 17.6234 93.9964 -0.828459 128.141 -2.1713 1 11 1 405.089 -1.30952 1.01812 110.048 0.688546
95.7615 33.5218 88.1341 1.36054 183.09 -1.09105 1 11 1 304.615 0.617096 1.57853 118.899 0.661488
35.2695 42.7555 54.5539 0.830593 74.4789 -1.66021 1 11 1 387.367 -1.21077 0.818259 143.082 0.646102
65.432 165.214 106.411 -0.454504 117.592 -0.237075 1 11 1 427.48 -1.04939 2.92509 136.142 0.713326
65.028 169.833 258.636 0.388408 278.392 -2.14364 1 13 1 459.741 0.476272 0.0744682 241.807 0.44883
141.38 76.8419 74.0046 1.65947 201.543 -1.72145 1 13 1 445.243 1.06594 2.27129 174.313 0.652725
169.896 9.39595 115.258 1.43675 256.144 1.46843 1 13 1 613.244 0.916861 -2.02272 162.758 0.296954
244.04 36.7068 175.148 0.519211 199.291 1.14154 1 11 1 584.981 0.792285 -2.96642 234.177 0.522138
368.782 38.2991 132.171 -0.10243 132.865 -0.976144 1 13 1 620.808 0.631028 2.11342 149.426 0.609797
389.02 83.7711 65.0825 -0.469237 72.38 -1.2733 1 11 1 415.573 -1.70095 1.27279 132.86 0.687839
127.656 135.12 61.7734 2.13506 264.878 1.50953 1 13 1 469.734 -1.49502 -0.608216 136.775 0.511976
316.273 35.4386 111.491 -0.210689 113.975 -2.11419 1 13 1 460.019 0.182452 1.26826 195.097 0.66582
87.7979 88.4655 54.158 -1.6263 143.023 0.568994 1 11 1 429.331 -0.614106 2.98296 107.477 0.690267
87.5755 61.5958 277.816 -1.55884 689.495 1.08475 1 13 1 445.019 -1.04336 -2.24483 126.967 0.682493
30.4205 133.608 165.202 -2.02697 637.908 0.422817 1 11 1 657.426 -0.469287 -1.68205 142.885 0.63646
87.8197 61.815 120.73 0.330779 127.395 -2.23868 1 13 1 315.767 1.01367 0.774171 101.605 0.605755
516.948 3.36133 101.255 -1.36776 211.685 -3.05283 1 11 1 867.07 -0.802801 0.144687 360.538 0.336777
43.6258 94.5572 307.535 -0.121664 309.814 -2.75774 1 13 1 312.888 -0.121968 0.28394 127.457 0.340046
47.6337 55.9971 86.7093 -0.654478 105.952 -3.10513 1 11 1 419.064 -0.112335 -0.28915 188.575 0.431503
178.434 211.427 373.702 0.672422 461.418 -1.15029 1 13 1 537.65 -0.248546 2.47615 196.307 0.567375
30.4429 35.3647 148.975 -0.477204 166.262 -0.0413407 1 11 1 308.968 1.75104 2.40708 180.755 0.543017
73.0912 63.4661 355.066 -0.0756788 356.083 -2.13987 1 11 1 718.962 -0.747657 0.440941 258.897 0.483061
61.1066 138.539 80.0344 -0.704226 100.714 -1.74865 1 11 1 321.276 0.10641 1.51882 103.209 0.666539
35.295 36.515 85.2163 0.0281354 85.25 -0.576713 1 11 1 322.508 1.07732 2.96047 160.088 0.721012
453.829 19.7708 60.7285 0.512141 68.8684 2.33195 1 13 1 558.539 -1.26246 -0.340935 112.119 0.721821
97.2009 26.9913 30.8571 0.500684 34.8065 2.45066 1 13 1 703.613 0.209184 -2.19421 111.9 0.663276
382.818 33.2738 94.8302 -1.21888 174.437 -1.89329 1 11 1 502.5 1.11363 0.859419 106.58 0.56896
76.3686 69.7452 331.369 -0.249704 341.754 -1.21561 1 11 1 564.561 -1.19551 1.42625 145.003 0.261765
103.02 62.4397 243.185 1.05497 391.538 -1.451 1 11 1 369.687 0.623873 1.68763 193.207 0.323684
129.318 62.4272 31.3327 0.703708 39.4163 1.03555 1 13 1 441.479 0.727742 -1.89805 123.398 0.658609
45.3219 40.0861 37.6627 0.0611743 37.7332 -2.57859 1 11 1 554.234 0.900265 1.26214 136.342 0.698382
192.764 30.7247 104.321 -0.183721 106.086 0.974946 1 13 1 315.477 1.36178 -2.47499 132.496 0.28859
40.1213 45.8863 34.7946 0.11193 35.0128 1.20006 1 11 1 319.973 0.30854 -1.30203 129.322 0.437898
379.226 15.145 37.7056 2.11304 158.255 -0.750842 1 13 1 486.415 1.91737 2.47236 149.716 0.729224
66.9974 88.1565 65.4779 1.07437 107.045 1.70192 1 11 1 306.03 0.907394 -1.85825 151.048 0.72345
171.744 90.5703 30.1945 -1.63357 80.2779 0.0164592 1 13 1 825.523 -1.07275 -2.31053 191.909 0.679464
100.1 27.6423 89.2769 0.825766 121.485 1.79121 1 13 1 311.74 0.198524 -1.63865 123.942 0.447717
271.825 57.5266 295.079 -0.124243 297.36 -2.56874 1 13 1 554.386 -0.186544 0.235059 207.927 0.644459
189.979 64.4665 138.681 0.628435 166.979 0.562382 1 13 1 366.243 0.624904 -3.10816 184.857 0.383411
146.023 20.5853 268.732 0.491965 301.914 -1.279 1 11 1 310.605 -1.2175 2.38761 100.823 0.467398
61.3252 65.3299 98.658 -0.794858 131.5 -0.485804 1 13 1 353.556 1.86718 2.88645 106.264 0.605881
36.8559 53.7294 122.141 -1.81397 384.607 -2.62924 1 11 1 405.785 0.751324 0.74621 139.428 0.621223
22.8698 129.984 223.046 -0.984203 340.08 -3.11196 1 11 1 323.458 0.613044 -0.153756 107.454 0.510041
165.73 105.722 286.334 -0.550255 330.787 0.264241 1 11 1 424.82 -1.71879 3.03643 188.461 0.56775
46.6636 20.8401 235.362 0.475416 262.465 2.64289 1 11 1 314.627 0.650087 -0.631116 204.804 0.372656
44.8599 78.4531 53.8546 -2.18142 241.585 1.55914 1 11 1 676.707 0.15236 -1.87199 315.562 0.414715
69.7306 294.372 436.637 0.822177 592.717 2.37606 1 11 1 476.875 0.170575 -0.736798 228.888 0.670857
116.756 95.4748 90.067 -0.856947 125.212 -1.16754 1 11 1 530.175 -0.289368 2.51186 345.111 0.60048
35.8527 81.5777 353.391 -1.71707 1015.6 -2.05477 1 11 1 327.897 -0.77836 1.73874 144.232 0.507766
279.855 40.0504 242.369 0.142305 244.827 3.08628 1 13 1 480.404 0.398706 -0.931106 135.057 0.714878
324.745 25.1017 72.1823 1.52612 173.876 -2.36701 1 11 1 403.601 -0.472494 0.990174 153.348 0.452978
191.285 55.8321 67.93 -0.4086 73.68 -1.42911 1 13 1 349.561 1.42256 1.1315 168.192 0.528561
82.3265 47.392 33.5011 0.911995 48.4261 -2.74991 1 13 1 445.323 0.00767069 0.252753 101.109 0.698579
67.5474 61.2018 111.603 -1.46297 253.914 -2.23198 1 13 1 482.14 -0.697995 1.7256 242.422 0.577685
227.013 87.6141 188.969 1.98789 702.687 -1.44727 1 11 1 460.282 0.722328 1.76445 191.452 0.44784
220.654 85.8078 87.39 -2.019 334.86 -2.72906 1 11 1 502.998 1.02648 0.567168 109.925 0.542847
239.038 75.9897 36.1751 0.68074 44.8858 -0.326294 1 13 1 303.626 0.0460905 2.67211 121.121 0.704013
212.859 2.09512 222.202 1.31263 442.74 -0.413615 1 13 1 653.118 -0.978952 1.9263 157.933 0.433758
183.877 14.1781 140.711 -1.14418 243.314 -1.90081 1 13 1 529.276 -0.499882 1.4447 226.605 0.56177
186.645 68.9054 560.914 -1.09597 932.883 2.32655 1 11 1 1053.72 -1.13971 -0.75236 150.114 0.482133
150.045 62.2232 148.743 1.625 392.335 1.87629 1 13 1 355.664 1.81466 -0.827822 129.478 0.35091
51.2833 58.2191 306.413 -0.568931 357.356 2.55753 1 11 1 507.899 -0.23363 -0.151299 108.485 0.700986
127.275 61.3906 97.635 -2.06348 390.556 -2.6626 1 13 1 503.185 -1.60804 0.68249 103.823 0.700432
158.196 147.463 34.8772 0.715727 44.1984 -2.14231 1 13 1 629.206 -0.020837 1.53901 287.785 0.697903
118.426 87.9763 160.325 -1.15325 279.294 -1.92081 1 11 1 383.945 -1.4005 1.547 114.356 0.429097
377.835 76.5573 31.1352 1.34836 63.9948 -2.68159 1 11 1 344.067 -0.207285 -0.139071 185.567 0.455379
143.251 84.7686 69.3328 1.31369 138.274 -0.410512 1 13 1 346.614 0.264614 1.70681 119.046 0.571751
32.1152 134.481 148.432 0.259855 153.472 -2.84323 1 11 1 380.97 -0.472596 0.813781 115.461 0.570046
377.59 9.69096 76.8432 -1.3394 156.712 3.05227 1 11 1 481.998 1.34216 0.0523747 228.008 0.224845
50.928 80.382 85.7613 -1.61773 224.694 1.07454 1 13 1 380.471 -0.958444 -1.24448 128.943 0.632156
108.177 49.182 72.0406 1.96395 261.786 -0.0878206 1 13 1 429.82 -0.15394 2.8525 101.776 0.28915
325.945 33.3775 63.5164 -0.447747 69.9903 1.79534 1 13 1 372.539 0.918466 -1.50787 197.111 0.712216
185.255 92.5256 48.0558 -1.34504 98.4871 2.39734 1 11 1 300.848 0.0587986 -1.58195 141.849 0.306118
33.2523 48.3794 86.9423 -1.67289 239.755 0.707486 1 11 1 338.45 0.83941 -1.98939 164.211 0.517912
60.5984 90.0153 41.8074 -1.61843 109.606 -2.05423 1 13 1 534.076 -1.66046 1.58939 208.965 0.577215
110.857 40.4991 159.51 -0.785366 211.284 2.16757 1 13 1 439.103 -0.819089 -0.692268 156.891 0.568376
170.877 19.3872 134.469 0.253481 138.812 -2.39575 1 13 1 967.636 -0.173509 1.94019 287.403 0.197124
246.197 30.3348 299.402 -0.433106 327.925 0.0448371 1 11 1 558.902 -0.317445 -2.35256 186.832 0.383346
55.5144 86.2212 51.6403 1.76036 154.572 -1.31093 1 13 1 503.39 -1.68628 -2.55885 136.861 0.635424
55.9054 4.85535 31.7446 1.7535 94.4079 -0.706653 1 13 1 338.313 0.980602 2.22694 196.053 0.319134
52.8813 136.97 108.291 2.0223 416.271 -0.209871 1 11 1 394.972 0.0823386 -1.53396 101.461 0.718213
224.46 41.0648 182.764 -0.279813 189.965 3.02359 1 13 1 731.932 -0.807682 -0.304686 528.386 0.626727
110.832 96.5053 35.589 0.10436 35.7831 0.097796 1 13 1 541.689 0.0862384 -1.46006 240.436 0.314863
297.071 44.1214 221.763 0.126055 223.527 0.529767 1 11 1 547.052 1.063 3.05815 156.441 0.741891
150.395 52.9368 104.832 0.923167 152.768 0.68776 1 13 1 581.548 1.25402 -2.3355 181.621 0.501842
63.4992 87.0867 124.42 -1.87277 414.316 0.554978 1 13 1 373.664 -0.62477 -2.34665 186.748 0.496226
59.1812 31.8749 99.522 -2.10637 415.01 -2.33123 1 11 1 953.325 -0.943442 0.893204 329.635 0.329872
86.8494 35.4051 545.58 -0.703316 686.171 -1.67158 1 11 1 644.298 0.71312 1.59446 214.045 0.451701
65.1148 202.532 225.78 -1.92847 792.981 0.071213 1 13 1 577.034 -1.90068 2.30916 160.807 0.39842
39.3603 164.95 403.523 -0.865445 564.312 2.58256 1 13 1 423.441 -1.59308 -0.279515 132.438 0.564679
331.343 70.7322 44.2382 2.10701 184.588 -0.0407463 1 11 1 434.788 -0.629111 2.73549 161.225 0.735216
326.064 71.3757 309.754 0.691298 386.764 0.982761 1 13 1 461.373 1.87429 -2.01338 274.2 0.290457
67.3752 316.303 373.667 -0.0535616 374.203 2.09694 1 13 1 686.142 0.470334 -1.01839 211.299 0.681432
25.952 71.7202 193.797 1.2374 362.087 0.126365 1 13 1 678.742 -0.951534 2.22122 166.652 0.699846
64.1791 79.9182 96.5451 -1.35641 199.839 1.80319 1 11 1 612.556 -1.63725 -2.46903 229.27 0.551071
41.6805 44.246 34.0987 -2.42834 194.843 -1.45827 1 13 1 779.541 -1.32903 2.56754 289.471 0.484936
78.5686 32.7367 67.8391 1.33863 138.256 1.89645 1 11 1 463.222 -0.248413 -2.78414 135.837 0.336914
38.1834 46.007 62.1599 -1.19586 112.163 0.943851 1 11 1 323.934 -0.723641 -0.503942 153.609 0.338334
33.5119 42.6941 93.5014 -1.97079 342.014 1.56651 1 11 1 454.377 -0.418936 -0.0605254 147.77 0.723113
