etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
60.5726 29.5466 166.198 1.90276 569.522 1.86837 -1 13 1 374.068 1.24296 -1.47134 189.326 0.198259
64.6899 112.033 48.9223 -0.510506 55.437 2.3556 -1 11 1 506.263 0.736017 -0.163974 148.23 0.625782
68.454 292.22 340.088 -0.997702 523.867 0.180751 1 11 1 337.023 1.15617 -2.94002 211.489 0.709312
82.1534 110.006 72.0684 -2.23112 339.36 -0.972531 1 11 1 323.229 -1.15436 0.809678 100.589 0.642864
41.3106 234.54 348.735 0.469558 387.892 -0.47874 1 11 1 558.39 -0.483099 2.43566 217.304 0.47707
138.437 111.921 216.386 -0.314336 227.164 -1.13951 -1 13 1 456.719 0.835993 1.82423 213.529 0.316638
111.155 440.587 436.716 1.70955 1246.26 -2.36747 1 13 1 407.852 0.555724 0.577769 220.271 0.273017
26.2462 159.035 276.336 -0.0501736 276.684 -1.63585 -1 11 1 344.523 1.8051 1.9689 125.839 0.717618
26.6891 64.3418 70.44 -0.837332 96.6106 -0.939245 1 13 1 557.549 1.8303 3.08121 187.714 0.370396
47.6688 78.5661 192.742 -0.652226 235.213 -2.46505 1 11 1 457.283 0.490004 1.185 123.594 0.497588
183.747 20.3983 30.5752 -1.21543 56.0799 -1.98454 1 11 1 711.304 -1.0755 0.85462 150.103 0.640473
22.738 84.3279 113.856 -2.10192 472.736 3.11852 -1 13 1 355.083 -1.04246 -0.762983 157.411 0.676462
59.3251 59.5171 180.146 -1.92789 632.355 0.743582 -1 13 1 380.166 1.03659 -2.67207 103.427 0.717878
36.9666 102.347 158.758 -1.66113 433.025 -2.70021 1 11 1 615.7 -0.200773 -0.280576 316.825 0.559046
46.0239 257.129 359.826 1.3022 710.535 1.44634 1 13 1 315.399 0.723782 -1.75623 102.386 0.66669
44.5329 18.8231 158.847 0.149568 160.627 2.44416 1 11 1 335.576 1.25162 0.166827 124.573 0.573099
78.6895 33.7846 101.449 -0.702737 127.546 -0.66976 -1 13 1 881.502 0.607046 2.80979 300.055 0.678663
38.2729 143.334 178.123 0.0793499 178.684 1.75094 1 13 1 857.825 0.340088 -1.3477 274.148 0.710279
80.9804 84.0905 32.1551 -1.42629 70.7962 1.08286 -1 13 1 575.038 0.439765 -0.896035 147.53 0.350073
118.971 0.597988 62.5323 -0.963994 93.9084 2.25034 1 11 1 518.475 0.264549 -0.713015 165.497 0.621501
100.006 8.99527 32.4866 0.902423 46.637 -1.54126 -1 11 1 624.402 0.29021 0.946782 326.67 0.343953
52.0435 15.7344 38.0963 0.343628 40.3679 0.627957 -1 13 1 327.922 -1.56006 -1.90586 124.179 0.698078
27.2266 87.1589 142.476 -0.75448 184.988 -2.56808 1 11 1 375.405 0.435865 0.0803335 132.567 0.357462
63.4373 115.33 309.796 -1.70043 876.553 0.717243 1 11 1 508.851 -1.21043 -2.55943 176.836 0.503945
40.4363 74.4093 36.5522 2.39579 202.28 2.80499 1 11 1 481.013 0.516379 0.441634 168.719 0.453612
29.2674 33.4062 73.3556 1.1137 123.749 -2.55166 -1 13 1 417.03 0.880996 -0.194926 195.405 0.625719
20.6191 65.0796 54.8241 1.08759 90.5736 2.14236 1 11 1 455.709 0.494488 -0.669714 161.024 0.387849
74.4491 306.098 333.715 -1.22323 616.11 -0.616467 -1 11 1 337.882 -1.46437 2.402 109.651 0.688156
56.4462 53.5501 555.587 -0.884552 787.489 -1.40715 -1 13 1 707.021 -0.00181939 1.78551 110.442 0.587441
40.0947 133.996 140.004 -0.828817 190.908 -2.71726 -1 11 1 366.478 -1.47137 -0.318353 178.064 0.454796
36.4855 78.4474 125.644 -2.05172 496.911 -0.744233 -1 13 1 357.704 -1.05729 2.00444 109.032 0.642868
62.2406 215.122 186 -2.05415 737.34 0.392951 1 11 1 526.159 -1.4239 -2.50118 202.317 0.532681
78.2186 144.903 92.5991 -1.08053 152.124 0.656164 -1 11 1 433.917 -0.0539574 -1.37634 125.36 0.563193
96.684 168.925 80.6938 0.152432 81.6332 0.598949 -1 13 1 316.675 0.0639515 -3.05525 122.396 0.32984
56.8394 113.835 58.7532 2.35605 312.684 0.726427 -1 11 1 396.006 0.437696 -3.07591 205.365 0.517442
32.3647 68.1915 304.46 -0.727296 388.596 -2.98857 -1 11 1 646.636 -0.45496 0.0938012 101.77 0.302487
27.9794 89.8309 77.0073 1.32258 154.767 1.16235 1 11 1 388.863 -1.30512 -1.07171 137.573 0.665327
269.664 15.7996 113.332 1.59335 290.323 -1.00263 -1 11 1 346.161 0.539559 2.28817 162.051 0.392676
97.1152 43.8764 44.4431 -0.624462 53.3939 -2.42216 -1 13 1 422.463 0.810402 1.74863 130.654 0.418622
249.459 1.52574 78.0729 0.573965 91.29 -0.616652 1 13 1 329.733 -0.0377421 2.7908 100.884 0.635526
49.0427 11.0276 60.9711 -0.244957 62.8095 2.59662 -1 11 1 475.627 1.40244 0.119849 134.156 0.668151
22.5775 72.7652 126.146 -1.5278 304.328 1.71819 1 11 1 408.848 -0.901529 -1.74005 213.94 0.698761
93.6633 63.8146 70.9618 -0.305535 74.3 -2.78669 -1 13 1 855.64 -0.228676 0.609724 154.043 0.538427
49.9501 27.0008 56.998 -0.350987 60.5451 -0.20049 1 13 1 304.856 0.76075 3.03365 147.566 0.536648
44.0881 74.0909 41.7685 0.294636 43.5947 2.39998 -1 11 1 435.836 0.886579 -1.63646 118.054 0.665144
20.9935 92.1072 109.44 -0.370345 117.032 -2.95816 -1 13 1 345.09 -1.4273 -0.911747 194.716 0.178229
44.5492 28.1504 32.0873 0.937753 47.2606 2.33775 1 13 1 348.081 -0.557499 -1.69592 107.028 0.614556
20.462 51.392 119.836 -0.191345 122.036 0.286343 1 11 1 528.413 0.666114 -2.04839 147.5 0.528352
33.6989 174.642 239.355 2.13594 1027.21 2.48202 1 11 1 431 -0.0192777 -0.80637 128.006 0.679478
30.5811 173.8 253.984 -1.59021 648.758 -0.627409 1 11 1 497.446 -0.90713 2.16746 175.367 0.567728
74.4097 19.6545 32.1664 -0.383056 34.5555 1.00352 1 13 1 302.506 -1.63169 -1.59906 124.536 0.650059
72.1179 198.72 137.451 -1.54249 336.073 0.233615 -1 11 1 402.493 -1.15164 -2.59185 114.068 0.718758
101.701 76.7286 109.872 -1.26379 209.932 2.61016 1 11 1 492.711 0.589814 -0.629284 248.324 0.676517
60.8941 232.964 283.875 -1.11265 478.486 2.52923 -1 13 1 504.832 0.0420384 -1.48061 213.706 0.284195
132.722 32.6549 96.1197 -1.67157 264.737 -1.24927 1 11 1 349.9 0.454314 1.95105 168.91 0.351615
73.6124 11.3458 79.4245 0.81145 107.04 -0.339354 -1 13 1 702.631 1.13591 2.25123 210.37 0.738009
161.264 1.03628 65.7298 1.59776 169.067 -2.44869 -1 13 1 388.615 1.51058 1.06653 171.873 0.688115
123.124 249.108 126.001 0.885582 178.724 2.12516 -1 11 1 383.799 -0.0827857 -0.795975 145.554 0.674256
80.7187 131.2 110.944 -0.494195 124.77 -1.74266 1 11 1 584.859 0.288032 0.15897 130.441 0.577711
43.2034 54.1025 59.2715 -0.144129 59.8882 -1.47814 -1 11 1 378.977 0.147557 2.55218 107.101 0.510118
83.0473 193.316 131.069 1.28911 255.917 -0.877135 -1 11 1 409.789 -0.336997 2.01636 164.464 0.697119
58.2098 307.444 407.782 0.226166 418.256 -0.341422 1 13 1 536.781 -0.511038 2.87314 128.124 0.523236
32.2312 87.609 60.8458 -0.0407818 60.8964 -0.909645 -1 11 1 320.914 -0.720686 1.9433 149.318 0.413463
23.2135 146.16 236.621 -1.24712 445.753 2.98229 1 11 1 414.416 -0.038212 -0.215829 109.404 0.426703
170.455 35.69 152.998 -0.97295 231.311 0.0557538 1 11 1 332.386 -0.220495 -2.34346 146.314 0.274294
20.8791 72.3183 69.9254 -0.726339 89.1959 2.63745 -1 11 1 418.182 0.553604 0.484966 199.756 0.61804
36.2887 80.8279 200.874 -1.16494 353.304 1.59242 -1 11 1 401.921 -0.083976 -0.707755 155.206 0.339368
111.229 10.6078 33.0963 -0.59271 39.082 -0.636461 1 11 1 369.958 0.834415 2.42198 166.486 0.34844
47.0514 49.9159 130.178 -1.04285 207.617 -2.95543 1 11 1 358.097 1.403 -0.92508 112.609 0.605254
33.9738 98.2799 77.1566 1.8064 241.221 2.73723 1 11 1 380.305 -0.276877 -0.489157 152.4 0.425114
144.539 17.007 31.5097 0.127903 31.7678 0.886473 -1 11 1 412.93 1.50352 -1.94033 189.906 0.541919
61.9206 269.941 364.231 -0.0907809 365.733 2.48022 -1 11 1 362.511 -0.824162 -0.371687 141.754 0.683115
24.1543 78.7767 70.2425 -1.98773 261.16 1.09512 1 11 1 332.744 -1.02375 -1.64395 143.246 0.429781
41.7524 45.1743 58.0139 1.17761 103.108 2.64038 1 13 1 483.031 -0.37117 0.81335 128.644 0.725248
24.4 53.5752 244.516 -0.91231 353.528 1.78502 -1 11 1 476.716 -1.08718 -1.52595 241.585 0.566028
60.3749 2.63858 96.902 -1.75038 287.339 -0.962271 1 11 1 371.241 0.355646 1.97106 138.124 0.57238
151.433 40.6428 104.058 -0.984715 158.719 -3.09775 1 11 1 357.488 -1.70508 0.00775545 185.348 0.607468
28.7051 87.3644 95.5801 -1.32861 193.102 -2.5161 -1 13 1 450.263 -0.393956 0.946296 138.108 0.652909
35.4597 77.5788 46.8118 0.989474 71.6593 0.950668 1 11 1 447.011 -0.594694 -1.58307 168.608 0.44113
26.5417 271.902 974.095 0.4188 1060.78 2.51951 1 11 1 1012.7 -0.401781 -0.818726 100.8 0.548821
25.1074 84.9073 73.5406 -2.16349 324.181 -0.387159 -1 13 1 305.279 -0.735469 3.07832 106.999 0.241094
115.027 218.738 107.43 1.20843 195.893 -2.49921 1 11 1 356.002 -0.0050924 1.33465 167.523 0.413864
20.8307 93.2888 297.986 1.0623 482.542 -2.65277 -1 11 1 439.675 0.811219 -0.0469099 105.305 0.611581
37.4383 159.49 170.038 -0.627984 204.682 1.02909 1 11 1 369.833 0.634064 -2.26384 160.167 0.626785
75.4214 136.745 75.2067 -2.3027 379.835 -3.09428 -1 13 1 479.945 -0.614811 1.00354 113.486 0.556038
41.565 186.863 319.715 0.180437 324.933 0.230584 1 11 1 376.395 1.54383 2.88759 112.91 0.696317
54.1721 74.822 54.6166 0.414214 59.3694 -2.83768 -1 13 1 464.871 0.232403 -0.197231 252.842 0.477476
159.046 176.102 57.1529 0.27516 59.3303 1.69787 1 13 1 405.481 -0.896975 -0.747518 100.148 0.48732
124.715 20.1553 600.694 0.376411 643.753 -0.991704 1 13 1 864.838 -0.268027 1.90181 183.125 0.288607
138.539 69.3262 38.2488 -1.6568 103.908 -0.855428 -1 13 1 761.079 -1.07715 2.92019 120.315 0.715322
45.3033 43.4383 33.3875 -1.23122 62.0564 -3.09524 -1 13 1 323.216 -1.63583 1.04769 149.96 0.317237
26.005 93.734 190.943 -0.947419 283.244 -0.747836 -1 13 1 498.032 -0.164636 2.94473 149.758 0.347609
80.729 40.0824 30.8388 0.451888 34.0414 1.98173 1 11 1 726.617 -0.792744 -0.387083 259.992 0.685166
30.3661 126.341 180.631 1.2597 343.931 0.669679 1 11 1 449.972 1.69035 -2.88782 104.004 0.699225
94.4377 1.90799 233.712 -0.804734 313.561 -0.649011 -1 13 1 558.052 -0.242324 2.93468 219.807 0.703715
27.1168 55.3165 71.2502 0.689876 88.8885 2.48857 -1 11 1 340.833 -0.937205 0.408071 101.071 0.722514
139.757 22.338 76.6037 0.564422 89.133 -2.85613 1 13 1 590.426 1.27916 0.50001 254.82 0.469719
38.755 73.9403 183.976 -0.569592 214.636 0.500425 1 11 1 378.181 -0.82701 -2.98985 153.407 0.390378
63.0449 283.516 318.75 -1.30478 630.826 -2.06272 -1 11 1 387.925 0.609599 1.70267 174.88 0.363313
40.755 99.6456 147.949 1.0555 238.304 2.41459 -1 11 1 376.923 1.24615 -1.76845 169.713 0.422514
24.0158 51.8291 63.1679 1.95036 226.566 -2.01142 1 13 1 386.423 -0.24004 -0.127513 202.885 0.550449
286.158 4.7656 41.6025 -2.01032 158.083 1.85185 -1 13 1 354.117 -0.881467 -1.47949 190.745 0.525837
179.058 14.8884 47.3896 -0.0111194 47.3925 -2.5274 -1 11 1 351.79 0.413093 1.08323 142.623 0.734058
52.7769 98.7638 49.9563 -1.911 172.543 1.45601 1 13 1 435.823 -0.98188 -2.01235 180.368 0.497843
