etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
136.994 93.8711 48.8976 -0.609835 58.2754 -0.619644 1 11 1 478.644 0.950985 -2.86003 246.134 0.440374 1 574.926 0.379806 1 53.4262 1.25401 0 478.644 0.950985 -2.86003 246.134 0.440374 0.351411
173.976 0.731786 95.9052 -2.32112 493.204 0.85888 1 11 1 445.927 -0.00133958 -2.93066 131.437 0.715102 1 156.065 -1.31009 1 379.027 -0.0627963 0 736.656 -1.88903 -2.22951 251.016 1.1235 1.32098
230.694 49.1422 44.6594 1.76774 134.611 1.10633 1 11 1 384.811 0.115565 -1.28924 144.579 0.696886 1 299.76 1.66498 2 274.585 0.293799 0 713.691 1.85045 0.405356 224.476 1.20098 0.342676
293.131 75.5436 268.537 1.30073 529.599 -1.54176 -1 13 1 811.35 0.683598 2.34984 196.118 0.627622 4 250.505 0.22153 1 250.505 0.22153 1362.53 811.35 0.683598 2.34984 196.118 0.627622 1.67575
88.4516 11.9821 30.2388 -1.87417 100.829 -0.115388 -1 13 1 624.813 0.287691 -2.83927 128.734 0.729558 1 560.122 -1.32755 1 74.7477 0.0449114 0 624.813 0.287691 -2.83927 128.734 0.729558 0.604513
305.7 10.9356 248.715 0.496345 279.985 0.0478113 1 13 1 663.658 0.169808 -2.60606 134.015 0.576446 1 53.8785 1.12683 1 53.8785 1.12683 912.452 663.658 0.169808 -2.60606 134.015 0.576446 1.12009
127.994 64.5654 63.3142 1.64813 170.622 1.70972 1 13 1 511.309 0.833744 -2.04427 116.334 0.673265 2 188.671 1.48682 1 73.7983 0.219386 0 511.309 0.833744 -2.04427 116.334 0.673265 1.28018
227.41 0.624384 75.4518 0.999566 116.39 -0.311289 1 11 1 503.402 -0.178293 -2.97925 107.44 0.68891 3 195.508 0.197382 1 472.301 -0.2206 0 792.522 0.360373 -2.94629 250.121 1.04996 0
228.733 16.4241 132.854 0.302555 138.981 1.05257 1 13 1 493.302 1.02712 -0.819843 227.48 0.666187 2 456.382 1.07916 2 300.553 0.865258 0 493.302 1.02712 -0.819843 227.48 0.666187 0.426898
41.2975 70.0531 75.2816 0.898055 107.735 1.05192 1 13 1 371.397 0.406691 -2.17576 167.811 0.474599 2 442.469 1.53065 1 66.59 0.816024 0 812.591 1.92347 -1.56455 226.944 1.10038 0.860056
