etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
240.496 77.9229 111.44 -1.85656 365.408 1.3221 1 11 1 372.821 -0.187375 -2.11892 105.668 0.55526
192.024 25.2596 98.5909 -1.21713 181.09 1.29334 1 11 1 619.465 -1.1987 -1.83562 101.728 0.646758
203.287 36.0094 143.093 -1.26225 273.048 1.41139 1 13 1 310.657 -0.706743 -1.46571 101.129 0.686942
219.294 17.6861 195.235 -0.0397311 195.389 2.71108 1 11 1 346.378 1.70945 -0.042475 126.839 0.616892
176.544 8.71222 136.337 0.84279 187.691 2.97994 -1 11 1 323.037 -0.441733 -0.142705 169.524 0.687083
78.1701 75.2569 153.721 1.74929 455.351 -2.86604 1 11 1 307.86 0.738771 0.587885 101.644 0.339555
187.047 13.9051 37.9556 -0.107949 38.177 1.37666 -1 11 1 301.858 -1.50519 -1.7184 119.059 0.65944
290.746 26.4315 49.854 2.2865 247.825 2.68872 -1 13 1 360.728 -0.0692195 -0.227393 107.207 0.573022
227.327 66.5791 75.2621 -0.182432 76.518 0.650621 -1 13 1 352.912 -0.158879 -2.13253 106.375 0.668612
310.902 18.0342 30.114 -0.814892 40.6784 -1.9641 1 13 1 815.141 -1.23379 1.10192 149.889 0.497504
309.673 59.2866 135.05 0.456325 149.357 2.47735 -1 13 1 550.307 0.46552 0.248161 273.893 0.674013
163.742 5.56877 120.649 1.03583 191.373 1.50838 -1 13 1 309.527 1.22499 -1.61809 106.474 0.557294
341.02 53.2634 55.7121 1.60202 143.863 -2.2359 1 13 1 366.404 1.61713 0.720001 155.773 0.591813
46.9093 34.4286 254.408 -1.68619 710.321 1.36148 1 13 1 312.331 0.582915 -1.72774 197.75 0.598507
257.984 2.80781 43.9973 -2.06244 175.819 2.75103 1 11 1 365.318 -0.747589 -0.730522 100.98 0.487085
106.646 12.1538 48.6535 1.57612 122.678 0.488626 -1 11 1 305.667 1.9967 -2.81017 157.925 0.592781
136.583 62.7167 174.548 -0.0224083 174.592 2.24929 -1 11 1 308.226 -0.26783 -0.765835 157.435 0.715536
270.782 0.991435 30.2726 -1.39445 64.7941 -1.43359 -1 13 1 330.195 0.134543 1.64649 128.522 0.72404
97.9949 34.8824 104.871 -0.35667 111.612 -0.548807 1 11 1 338.988 0.960223 2.14937 147.414 0.486978
394.735 5.15658 82.5841 -0.0325758 82.628 -1.7503 1 13 1 352.068 -1.13105 1.50473 111.601 0.516885
269.386 32.1492 38.7136 0.227122 39.7164 2.62375 1 11 1 373.543 -0.612788 -0.139236 135.368 0.60746
408.214 16.848 72.6292 0.592734 85.7656 -0.620269 -1 11 1 457.295 0.444285 2.5444 197.825 0.570285
235.376 25.9364 37.7138 2.17079 167.436 0.380621 -1 11 1 324.332 1.77106 -2.53407 184.964 0.419631
64.8954 96.8729 48.3104 2.12653 205.44 0.032669 -1 13 1 412.115 0.567495 -2.9267 225.454 0.555421
315.136 11.0057 57.9551 -0.155799 58.6599 0.607519 -1 11 1 459.209 0.281143 -2.61492 184.191 0.609325
221.193 39.1459 74.4604 -1.3911 158.902 2.98973 1 13 1 361.29 0.487861 -0.540277 116.421 0.597184
198.093 8.31228 64.6941 0.253445 66.783 1.07595 -1 11 1 329.955 0.521758 -2.20957 152.42 0.68141
97.7521 21.5043 71.7459 -2.04806 282.745 2.34759 1 11 1 319.339 0.464049 -0.523046 138.968 0.502532
222.782 35.7229 155.017 2.26868 757.264 -0.482201 -1 13 1 349.873 0.141586 2.56828 103.774 0.454983
89.5722 28.5649 212.026 1.82057 671.838 0.685241 -1 11 1 327.538 1.22526 -2.28565 133.872 0.600952
251.085 33.8518 50.8703 0.300357 53.1822 0.894256 1 11 1 381.62 -0.853982 -2.53727 124.76 0.427156
271.553 10.027 66.3289 -1.17739 117.866 -2.46089 1 13 1 347.262 -1.59782 0.63579 126.968 0.697245
174.426 33.9466 117.874 0.294005 123.005 -0.793287 -1 13 1 427.466 -0.406351 2.59746 126.201 0.661082
75.6198 93.7464 30.7128 -0.325416 32.3536 1.7754 -1 13 1 484.843 -0.440775 -2.21816 162.686 0.47742
140.647 25.0356 53.5383 -1.46493 122.023 -1.19721 1 13 1 373.201 -1.24186 2.40316 112.366 0.590196
374.968 18.7802 60.7006 1.6009 156.583 -1.04794 1 11 1 416.893 -0.245396 2.3512 149.991 0.680984
336.065 8.55078 57.1015 0.298001 59.6558 -2.84134 -1 13 1 421.804 -0.654409 0.406828 127.086 0.729747
262.646 10.264 78.2149 -0.297335 81.6979 1.17533 1 11 1 454.541 0.506037 -2.07831 194.127 0.734824
186.075 4.87582 88.8367 0.905915 127.852 -2.20807 1 13 1 317.997 -1.13996 1.09099 158.99 0.481353
164.197 12.4799 47.9397 -0.0512435 48.0026 -1.58722 -1 11 1 480.768 -1.06785 1.91838 131.929 0.436276
207.584 8.60213 36.3089 0.697723 45.5113 -1.29646 -1 13 1 318.907 -1.50279 1.78982 112.452 0.663797
59.6528 27.8206 147.72 -0.302256 154.52 -1.50003 1 11 1 375.643 -1.21264 1.36848 109.843 0.713928
146.691 22.688 46.9767 -1.11984 79.6418 -2.75101 1 11 1 319.797 -0.0936631 0.590768 101.901 0.679992
191.148 38.2341 83.2832 0.661965 102.207 1.85033 -1 13 1 304.878 0.943092 -1.28486 115.254 0.403331
