etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
37.5691 58.3698 70.791 -1.80864 221.789 1.82436 1 11 1 487.115 -0.00596382 -1.07606 145.631 0.412958
350.325 49.7052 135.585 -0.602209 160.922 -1.2759 1 11 1 398.284 -0.290326 1.57054 162.707 0.634108
283.269 54.2661 67.9112 -1.84512 220.266 1.32149 1 11 1 391.986 1.1342 -2.15978 114.868 0.688317
82.0959 40.4465 37.227 2.15816 163.254 -2.32821 1 13 1 305.148 -1.7132 1.78421 165.915 0.56639
176.553 143.119 242.835 -0.795015 323.705 0.62673 1 13 1 415.83 -1.76536 -2.27821 121.516 0.732843
384.961 48.2253 170.505 0.63419 205.958 -2.28018 -1 11 1 610.313 -0.108616 0.92348 167.977 0.670064
82.4058 61.4335 31.4415 -0.980282 47.7976 -1.09575 1 11 1 429.891 0.413304 1.48509 137.379 0.472568
87.2874 32.5008 80.215 -0.218371 82.1352 2.79936 -1 13 1 436.888 1.10119 0.162518 109.151 0.57865
120.893 29.7626 53.287 -1.28331 103.528 0.575148 -1 13 1 490.277 0.660056 -2.68377 188.295 0.496926
469.919 29.7632 57.6002 -0.509522 65.2402 -0.513688 -1 11 1 583.357 -1.4154 2.57713 111.851 0.566951
168.737 53.3058 47.4584 1.41874 103.79 -1.41664 -1 13 1 463.637 0.0111251 2.32678 250.592 0.530635
200.637 30.9063 42.5256 -0.419888 46.3299 0.957439 1 13 1 308.496 0.823644 -2.30685 101.179 0.656696
65.4992 43.3221 47.8775 -0.651208 58.3932 -2.72734 1 13 1 426.196 1.88658 -0.30112 144.025 0.718605
317.845 35.3779 79.0436 -0.74417 101.959 -1.56295 1 13 1 351.314 -0.939885 1.8845 146.558 0.570315
147.593 28.1835 74.568 1.79275 230.134 0.829443 1 13 1 522.209 0.713461 -1.47537 288.424 0.394472
547.15 12.0789 238.326 -0.537773 273.626 -1.91652 -1 11 1 707.742 0.204652 1.31622 124.406 0.583144
111.502 30.754 76.4025 -2.16882 338.549 -0.54591 1 13 1 352.139 0.0812101 2.47289 109.988 0.419875
340.591 5.43842 120.373 0.80516 161.545 1.94977 1 11 1 411.755 1.12479 -1.42879 148.733 0.610684
162.916 9.23014 32.0262 -0.448128 35.2963 -0.690297 1 13 1 311.335 1.9511 2.28803 126.502 0.522082
199.577 71.6056 54.681 0.62127 65.5776 -2.64406 -1 11 1 318.276 -0.631302 1.35509 148.341 0.594408
328.284 51.4204 104.03 -1.95463 374.663 1.48313 1 11 1 378.855 -0.410893 -1.9149 120.475 0.623486
232.214 8.70847 131.311 0.962289 196.947 -0.256919 -1 11 1 345.228 0.00649689 2.44844 141.05 0.554848
61.432 62.7684 74.3615 1.89981 254.102 1.81775 1 13 1 355.578 0.721631 -0.235146 111.163 0.687282
84.8102 94.9861 30.0444 -1.71536 86.2064 -2.15216 -1 13 1 405.738 -1.49705 0.447014 159.844 0.679365
57.2444 42.9891 46.5658 -0.421472 50.7633 -0.179477 1 11 1 432.469 0.459162 2.85222 190.363 0.727983
102.796 36.6446 147.36 0.144361 148.898 1.55003 -1 13 1 484.082 1.39145 -1.98683 149.804 0.641246
96.5441 38.4798 73.404 -0.465417 81.4988 -2.29246 -1 13 1 550.407 1.11273 0.818538 106.041 0.732069
92.1286 30.3536 68.4628 -0.551963 79.1593 2.95665 1 11 1 413.272 0.354008 0.601876 215.516 0.734899
419.678 39.4958 161.076 -1.96125 583.812 -0.983841 1 11 1 440.876 -0.725603 2.13854 204.371 0.703425
356.654 30.8085 42.093 0.979593 63.957 1.47836 1 13 1 430.245 -0.899821 -1.04539 161.766 0.546217
420.392 20.522 39.1697 -1.52992 94.6797 -3.0685 -1 13 1 458.2 -1.3845 -0.276002 139.005 0.533022
127.351 24.2883 68.0912 2.4377 392.685 -1.34497 1 11 1 396.485 1.74393 1.28158 177.765 0.549085
112.68 40.0606 44.1646 -0.843354 60.8239 3.04935 1 13 1 560.397 1.47712 -0.394042 176.113 0.701341
270.687 36.1341 88.9063 0.485755 99.6033 1.91266 1 11 1 396.194 1.13883 -0.854047 118.737 0.644585
