etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
284.007 51.4513 158.295 0.12575 159.548 0.24657 -1 13 1 434.907 0.00379473 -3.10585 172.235 0.263504
194.795 100.979 58.2204 -0.676782 72.0706 -0.338934 1 11 1 373.238 0.0313075 -2.60612 158.346 0.46214
248.782 68.835 44.5272 -0.3111 46.6994 3.06682 -1 11 1 403.84 0.685499 0.631162 175.933 0.290648
98.7296 19.8922 261.851 0.385745 281.575 -2.18472 1 13 1 472.371 0.0486113 0.576137 223.665 0.428973
248.705 32.914 149.741 1.61744 392.216 -1.36159 1 11 1 420.366 0.136872 1.32852 121.342 0.496269
190.222 32.8977 124.286 0.634557 150.159 -0.896825 1 11 1 318.991 0.623246 2.86891 128.299 0.423525
162.815 24.865 42.4513 0.41922 46.2367 -1.64791 -1 13 1 414.73 1.32733 1.42156 141.674 0.329612
110.842 10.8379 208.609 1.3084 414.142 1.65616 -1 11 1 436.416 1.5782 -1.71059 175.255 0.309743
168.183 55.1524 70.723 -0.208902 72.2718 -2.72494 1 11 1 535.859 1.23715 1.09665 202.342 0.683482
39.5592 52.9487 287.253 0.26242 297.2 0.120173 -1 13 1 359.83 -0.920795 -2.77506 182.7 0.446452
292.78 107.737 221.356 -1.06357 358.809 -1.05382 1 13 1 488.786 -1.10996 2.24714 100.042 0.395248
289.23 16.7756 145.146 -0.643993 176.299 2.17815 1 11 1 501.642 -0.590448 -0.930158 176.28 0.567605
88.3803 16.5261 206.749 -0.370919 221.135 0.158329 -1 13 1 408.041 -0.217052 -2.97723 168.944 0.220409
119.562 24.7432 161.522 -0.261898 167.094 1.24824 -1 13 1 381.101 -1.52943 -2.07514 167.577 0.293531
228.61 74.3405 142.407 -0.647631 173.33 3.07837 -1 11 1 410.066 -1.13535 0.0604023 170.337 0.375488
192.742 17.6741 224.141 -0.730488 286.651 2.97906 1 13 1 412.459 0.025689 -0.257812 106.218 0.710291
