etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
20.6807 186.409 436.996 -1.59353 1119.65 -2.61734 -1 11 1 556.213 -0.120481 0.565569 144.645 0.726485 1 87.203 -1.01932 1 70.4026 -0.707497 0 1109.27 -1.65976 -2.10058 382.478 0.85538 1560.65
42.7955 98.8868 58.6696 2.27361 287.991 0.708512 -1 11 1 498.761 1.4764 -1.94352 153.782 0.675983 1 474.593 2.48169 1 150.497 1.72998 0 498.761 1.4764 -1.94352 153.782 0.675983 828.61
63.8986 276.113 302.967 -0.348812 321.586 2.26343 -1 11 1 380.875 -1.13994 -0.913778 113.609 0.722516 2 48.2991 0.148429 1 88.062 -0.597133 0 796.743 -1.49471 1.38337 245.466 1.2636 1235.26
27.968 130.258 419.944 -0.258971 434.105 1.44374 -1 11 1 354.364 -1.59274 -1.59265 119.243 0.537482 1 57.9037 -0.350553 1 102.006 -1.98741 0 823.354 -1.8884 -0.0853685 220.001 -0.462518 2450.17
34.4487 171.012 239.607 -1.57375 602.847 1.9725 1 11 1 384.753 -0.805084 -0.712996 141.504 0.689669 2 186.371 -1.36576 1 221.632 -1.0935 0 694.844 -2.49307 1.17019 242.309 0.988513 1441.38
69.462 408.385 637.124 0.386836 685.392 0.990586 1 11 1 566.936 -0.614103 -2.18247 169.897 0.665794 1 31.8407 1.04251 1 37.1358 -0.997408 0 566.936 -0.614103 -2.18247 169.897 0.665794 1538.74
36.4969 245.469 416.315 0.126135 419.631 1.17493 -1 11 1 321.74 0.722941 -1.74714 155.784 0.676409 1 82.8299 0.540044 1 168.958 0.931698 0 827.433 0.896996 -0.573013 225.25 1.09141 2299.37
44.4689 136.238 106.408 -0.966669 160.119 0.48923 1 11 1 408.39 -0.513089 -2.59123 119.277 0.565353 1 377.798 -1.45057 1 46.7692 0.0351345 0 929.039 -1.86954 -2.09712 227.623 1.2179 2626.66
41.3325 197.6 341.666 0.0978838 343.304 0.717534 -1 11 1 441.21 0.0814918 -2.20456 117.585 0.704346 3 112.454 -0.0178493 1 72.4111 -0.531173 0 881.73 0.165375 -1.3562 227.616 1.27313 1671.74
56.3043 3.88464 211.551 -1.07959 347.284 0.777988 -1 11 1 329.951 0.475537 -2.59675 185.004 0.739769 1 34.5711 -0.382232 1 130.797 -0.104102 0 651.555 -0.5038 -1.96025 283.306 1.42852 3059.02
31.1868 142.549 249.315 -1.21514 457.175 -0.616613 1 11 1 344.79 -0.298375 2.89721 136.542 0.542265 1 47.3545 -0.00783164 1 104.134 -0.268871 0 696.281 -1.77261 2.43138 313.114 0.781193 2250.39
59.5086 43.3297 228.948 -0.68625 285.008 -2.6719 -1 11 1 522.825 0.0132891 0.676998 145.175 0.744708 3 154.228 0.741997 1 203.809 0.147925 0 823.758 0.655633 -1.54256 337.495 1.20877 2630.86
87.3981 115.46 38.1665 -1.61852 100.068 -3.03644 1 11 1 431.83 0.810926 -1.43696 166.32 0.561085 1 364.741 -1.43834 1 61.2631 0.186712 0 817.197 -0.68154 1.04149 264.219 0.596117 2419.39
20.0496 90.6173 171.475 -1.6753 473.925 2.79155 -1 11 1 312.917 -0.812897 -0.337742 116.104 0.702831 2 44.2937 -1.1817 1 140.018 -1.06938 0 312.917 -0.812897 -0.337742 116.104 0.702831 1375.91
34.14 149.287 206.427 1.73325 602.326 -1.77522 1 11 1 302.361 1.62476 1.691 130.298 0.364378 2 109.026 2.18122 1 195.809 1.56636 0 302.361 1.62476 1.691 130.298 0.364378 2776.1
32.3578 99.4253 128.201 0.1315 129.311 0.226261 -1 11 1 374.567 0.169566 -2.72591 100.144 0.450282 1 33.8118 1.20623 1 51.1679 -0.257566 0 875.004 0.57461 -2.54024 200.931 -0.549718 654.469
60.4417 24.4818 142.933 0.33965 151.257 0.0423422 -1 11 1 398.814 -0.9192 -3.09469 161.168 0.697253 2 179.889 0.0171776 1 311.31 -0.640167 0 720.468 -0.757325 -3.25644 244.496 -0.302747 2453.14
