etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
23.3157 60.3966 77.5366 -0.0686905 77.7196 -1.4427 1 11 1 755.818 0.746522 2.36914 176.511 0.59312 1 730.818 0.358809 1 86.7882 0.963572 0 1525.28 1.04998 1.59926 391.433 0.725245 0.326532
66.7252 177.366 158.158 -0.265709 163.774 1.3605 1 11 1 922.151 -0.847209 -2.44573 128.81 0.447919 3 560.425 -0.190728 1 905.295 -0.83998 0 1861.72 -1.4018 -1.78052 690.901 0.907846 2.39342
22.9291 79.8641 70.9133 1.67704 196.309 -2.6176 1 11 1 427.142 0.236448 -0.415151 173.318 0.635992 1 212.358 1.0776 2 354.503 0.247407 826.566 427.142 0.236448 -0.415151 173.318 0.635992 0.565493
45.3445 71.0815 90.6969 1.23109 168.557 0.278859 -1 11 1 302.465 1.64723 -2.20952 105.266 0.605569 2 105.935 2.05217 2 105.935 2.05217 516.287 302.465 1.64723 -2.20952 105.266 0.605569 1.35803
37.5871 135.173 209.233 1.49045 487.971 -1.43565 1 13 1 338.307 0.215094 1.5902 121.111 0.290628 1 100.243 2.06015 1 100.243 2.06015 871.626 338.307 0.215094 1.5902 121.111 0.290628 1.28512
148.575 5.11648 51.9141 2.02052 199.215 0.368531 1 13 1 342.322 0.778852 -2.55723 177.659 0.374304 1 167.353 0.802276 2 133.567 0.598252 0 342.322 0.778852 -2.55723 177.659 0.374304 1.41133
20.791 75.1381 164.51 -1.19599 296.877 2.28578 -1 13 1 356.887 -0.448492 -2.07707 207.344 0.202808 3 395.017 -0.695198 2 196.506 -0.549521 0 356.887 -0.448492 -2.07707 207.344 0.202808 1.23406
20.2588 69.2701 71.8091 -1.25129 135.755 -0.568337 1 11 1 321.083 -0.635616 -2.60064 102.768 0.357417 3 174.893 -0.627017 1 64.6972 -1.17258 0 644.074 -1.64242 -1.88933 256.342 1.20711 1.26291
92.0118 276.357 208.017 0.233438 213.711 0.030228 1 13 1 324.022 0.218827 -2.92186 125.569 0.529529 1 62.0718 1.75468 1 277.667 0.27356 0 324.022 0.218827 -2.92186 125.569 0.529529 0.675785
111.274 17.9291 31.5427 -0.896478 45.0897 1.1558 -1 11 1 523.183 -0.0925157 -0.0307946 118.162 0.544606 3 770.405 0.316588 1 770.405 0.316588 1244.82 1284.42 0.206138 2.22153 215.82 1.0338 1.10423
153.981 126.225 244.058 1.23909 456.646 -1.38048 -1 13 1 374.348 -0.981315 1.95016 123.808 0.687044 3 68.0105 1.53528 2 54.8294 -1.41678 0 374.348 -0.981315 1.95016 123.808 0.687044 1.43297
75.0656 21.1367 195.53 -0.247406 201.545 1.82635 -1 13 1 316.586 0.730342 -1.25657 105.287 0.660803 1 42.5932 0.370834 2 220.793 0.578513 0 316.586 0.730342 -1.25657 105.287 0.660803 0
84.0136 14.995 74.4262 -1.90176 254.796 -1.8689 1 13 1 555.524 -0.834927 0.82718 319.637 0.45532 2 461.039 -0.820357 2 461.039 -0.820357 1222.14 555.524 -0.834927 0.82718 319.637 0.45532 0.75785
101.174 82.5384 196.585 1.45712 444.921 0.746347 1 13 1 412.508 1.30383 -2.93468 125.124 0.496829 1 54.5416 1.96221 2 315.388 1.16102 0 412.508 1.30383 -2.93468 125.124 0.496829 0.573952
48.2366 121.652 79.7981 -1.92135 278.36 0.948951 1 11 1 320.987 -0.375736 -1.93038 125.601 0.445446 1 323.111 -1.46288 2 161.256 -0.556911 0 689.773 -1.9603 -0.69911 215.323 0.829706 -0.594452
280.437 14.2695 39.7771 2.33994 208.371 1.77437 1 11 1 378.439 1.76522 -1.61528 155.087 0.679949 1 40.6053 1.81505 1 110.802 1.80529 0 378.439 1.76522 -1.61528 155.087 0.679949 1.80972
146.383 39.2466 179.174 0.354652 190.561 -1.69507 1 11 1 369.906 0.698001 1.46134 101.466 0.645455 1 50.6796 0.983305 2 329.67 0.639335 0 369.906 0.698001 1.46134 101.466 0.645455 0.702503
62.5629 225.513 205.757 0.409888 223.284 0.285147 -1 11 1 334.546 0.971401 3.08503 146.845 0.245677 2 248.661 0.0527199 1 66.726 0.330385 0 936.74 1.50801 3.19252 409.016 0.343315 1.7263
48.5707 95.1079 209.408 0.0547429 209.722 0.148464 1 11 1 464.166 -1.13438 -2.77584 215.878 0.571037 1 91.3611 -0.491473 1 409.904 -0.911647 0 958.809 -1.37994 -2.45962 363.175 1.09915 0.522998
28.6979 96.6318 123.166 -0.283939 128.165 -0.522461 -1 11 1 339.368 -0.126546 3.05302 148.915 0.710871 1 257.962 -1.16926 1 257.962 -1.16926 843.768 339.368 -0.126546 3.05302 148.915 0.710871 0.989695
53.3072 156.992 117.013 1.55175 288.531 -1.20962 1 13 1 330.749 -1.72112 3.07619 154.038 0.289951 1 143.697 1.04497 1 143.697 1.04497 1403.12 330.749 -1.72112 3.07619 154.038 0.289951 1.28713
38.5528 122.528 125.912 1.75073 373.484 -1.03346 1 11 1 305.664 -0.366308 1.65165 162.294 0.665001 1 226.513 1.45409 1 243.711 -0.364346 0 613.701 1.25675 0.342999 248.601 0.857332 0.893315
147.729 1.83033 245.266 2.16219 1079.81 -1.41558 1 11 1 450.245 0.698208 1.73291 107.226 0.513652 1 30.3031 1.44737 1 261.709 0.719015 0 450.245 0.698208 1.73291 107.226 0.513652 0.512263
32.1437 192.874 327.862 -0.826662 446.414 0.102988 -1 11 1 345.953 -1.75594 -3.07313 183.225 0.303654 1 48.2919 -1.50167 2 169.453 -2.00929 0 701.771 -2.66121 -2.92492 294.031 0.946328 1.21097
102.01 70.8102 39.2384 -1.29699 77.1356 1.87789 -1 13 1 386.346 -0.023532 -2.06804 168.479 0.526062 2 253.564 -1.39532 1 278.964 -0.0185838 0 386.346 -0.023532 -2.06804 168.479 0.526062 0.712748
51.0638 97.1959 153.058 1.99409 572.565 1.46798 1 13 1 377.804 0.929968 -1.6135 107.079 0.5323 1 120.108 1.12981 2 303.558 0.80181 0 377.804 0.929968 -1.6135 107.079 0.5323 0.89054
111.36 14.9136 106.449 0.464399 118.135 -1.42908 1 13 1 348.267 1.01389 1.61065 113.404 0.30017 1 139.322 0.940769 2 294.474 0.897817 0 348.267 1.01389 1.61065 113.404 0.30017 0.980554
47.4611 129.78 197.163 -1.1735 349.233 -0.505602 -1 11 1 893.049 0.676455 -3.07014 329.457 0.470573 4 656.021 0.476818 1 75.5476 -0.139379 0 893.049 0.676455 -3.07014 329.457 0.470573 1.25099
34.4059 70.0779 35.6852 0.0169275 35.6903 -1.15992 1 11 1 748.02 1.47711 -2.93938 353.77 0.534092 3 650.976 1.03271 1 77.1503 0.998313 0 748.02 1.47711 -2.93938 353.77 0.534092 0.713869
34.7349 51.3964 56.7274 0.2269 58.1939 2.89927 -1 11 1 306.357 -0.494886 -1.70657 133.983 0.663064 3 304.538 0.454802 1 304.538 0.454802 755.629 624.425 -0.072966 0.00374842 193.392 1.38261 0.799251
96.3871 259.133 174.221 -1.88528 587.122 -0.0521568 -1 13 1 746.762 0.447496 2.99963 137.632 0.668479 1 649.515 -1.36828 1 721.187 0.385556 0 746.762 0.447496 2.99963 137.632 0.668479 1.33663
165.413 0.637528 39.3246 0.752461 50.9927 -1.89793 1 11 1 330.459 -0.70391 1.30008 101.996 0.659359 1 136.408 1.24444 1 242.951 -0.534882 0 330.459 -0.70391 1.30008 101.996 0.659359 -1.13466
32.9992 92.9918 68.9054 -2.38453 377.12 -0.450109 1 11 1 829.133 0.265443 2.87761 142.643 0.63556 2 33.648 -2.30047 1 772.352 0.227505 0 829.133 0.265443 2.87761 142.643 0.63556 1.08581
20.7495 42.4259 188.205 1.2674 360.712 1.43798 1 11 1 367.152 0.496804 -1.8982 102.475 0.624087 1 161.777 1.59356 1 81.0954 0.885744 0 707.636 1.94716 -0.667425 201.202 1.24099 0.592391
131.086 18.2332 39.4233 1.27283 75.9097 1.16566 -1 13 1 1027.53 1.32775 -2.24266 307.567 0.676755 2 886.92 0.432147 1 1008.26 1.26538 0 1027.53 1.32775 -2.24266 307.567 0.676755 1.58021
136.952 93.7633 45.8787 -0.665609 56.4225 -2.28015 -1 13 1 936.343 -0.508826 0.000865878 361.133 0.741175 3 594.239 -0.715458 1 594.239 -0.715458 1622.15 1569.8 -1.24764 -2.95738 462.082 1.36365 1.60279
144.275 25.0943 130.498 1.60797 338.836 2.61057 1 11 1 416.617 0.868084 -1.02209 202.266 0.41344 3 165.442 0.48859 2 212.043 1.08216 0 416.617 0.868084 -1.02209 202.266 0.41344 0.713347
