etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
45.376 30.4368 31.0944 0.330754 32.8108 -2.66029 -1 11 1 311.7 0.890736 1.07243 123.575 0.650795
258.183 3.3251 40.2407 -0.587718 47.393 -3.03522 -1 13 1 306.758 -0.0843238 0.229275 110.014 0.510636
155.953 19.3359 81.0131 -0.0586884 81.1527 1.93091 1 13 1 321.076 1.45911 -1.07355 177.276 0.506558
316.14 34.9195 48.3653 1.94363 172.356 -2.1241 1 11 1 354.156 0.813428 1.25393 148.664 0.359126
240.523 24.9785 141.924 0.905861 204.247 -0.152145 -1 13 1 402.78 1.82667 2.89777 159.285 0.713448
183.018 21.573 254.702 1.64207 682.528 -1.86703 1 13 1 334.832 1.00416 1.5839 149.412 0.338866
229.466 24.1939 48.4456 1.11182 81.6027 2.32578 -1 11 1 381.951 0.549923 -0.824741 156.726 0.614012
168.832 1.42282 48.85 1.10851 82.0656 -1.46389 1 13 1 317.418 1.39093 1.57306 118.627 0.491827
286.564 5.06881 74.5594 0.497657 83.9843 -2.31114 -1 13 1 434.302 -0.620983 0.738308 231.749 0.55072
275.017 10.7103 83.8493 -0.0959871 84.2359 -2.0896 1 13 1 402.109 0.393344 1.11728 143.745 0.670092
