etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
189.616 77.4309 191.225 -0.211129 195.503 -0.902687 1 13 1 554.717 -1.02388 2.22804 177.268 0.703301
66.4101 63.8224 226.482 0.957297 338.429 1.30777 -1 13 1 712.395 0.119121 -1.86796 108.449 0.658904
86.3645 118.411 89.8407 -0.389757 96.7514 -0.851228 -1 11 1 340.301 -0.232584 -2.50392 132.249 0.68726
29.6262 160.539 219.521 -1.73545 641.856 3.00419 1 11 1 928.497 -1.09063 -0.165719 163.072 0.687352
178.597 40.1533 69.6522 -0.0565164 69.7635 -3.13349 1 11 1 406.903 -1.00614 -0.00833731 140.68 0.619457
53.321 31.9756 34.1754 1.11076 57.5169 0.520104 1 13 1 396.491 1.2287 -2.33164 261.435 0.497839
63.1468 108.993 80.4813 0.612399 96.0505 -1.95756 -1 13 1 755.72 0.0865365 0.617813 181.162 0.61899
53.6975 37.1997 65.6824 0.264789 67.9985 0.804717 1 11 1 409.523 -0.712262 -2.03186 175.087 0.277106
430.553 369.664 263.395 0.431823 288.337 -2.82052 1 13 1 1000.03 0.138082 1.1904 263.774 0.50252
140.622 37.1354 56.2004 -0.637536 68.014 2.71443 1 13 1 437.879 -1.463 0.326063 224.509 0.677628
99.1576 261.621 893.934 0.512741 1014.04 -1.41659 -1 11 1 1095.57 -0.227619 1.8365 158.068 0.431393
381.612 24.4685 32.3079 -1.97827 119.03 -1.81802 1 13 1 487.797 0.910926 1.50017 221.477 0.629237
282.517 6.81863 68.7568 0.879361 97.0987 -1.52904 1 13 1 357.491 1.15792 1.70336 152.837 0.446233
110.134 201.089 103.937 -2.26032 503.601 1.5254 1 11 1 580.858 -0.307076 -2.44109 122.044 0.493568
63.2984 123.667 73.4855 0.711634 92.8916 2.42824 1 13 1 311.748 -0.690399 -0.794085 143.478 0.581049
66.5943 243.831 237.032 0.966182 356.546 -1.88676 -1 11 1 313.715 0.538218 1.23443 121.652 0.693887
189.86 56.9911 86.3438 -1.10289 144.4 2.54904 -1 13 1 616.447 -1.03346 -0.666951 219.041 0.225054
88.6127 71.1124 49.0733 0.83546 67.2195 -2.53551 1 13 1 746.873 0.421749 -0.101635 147.002 0.635292
274.26 0.827775 36.3351 0.603071 43.1452 2.95108 -1 11 1 326.021 1.04758 -0.178525 110.922 0.606686
225.229 291.603 99.2304 -0.160078 100.505 -1.79256 -1 13 1 566.642 1.88599 0.786824 132.623 0.644419
76.5732 105.646 84.6085 -1.79845 262.534 -1.50119 -1 11 1 494.919 1.62228 0.423736 209.863 0.672383
164.095 78.9167 90.1905 1.07934 148.028 -0.449463 1 13 1 390.114 1.47464 -2.99986 121.018 0.622235
188.478 67.4196 92.6342 0.818726 125.455 2.90535 1 13 1 409.537 0.299299 0.592016 121.308 0.7093
240.66 108.693 67.5634 1.14299 116.715 -0.785561 -1 11 1 749.661 1.6956 1.38458 305.948 0.526706
126.049 73.104 89.5656 1.98236 331.285 -1.54751 1 11 1 345.359 1.53656 2.13849 185.941 0.712562
118.345 54.9669 31.2784 -2.0153 119.425 -2.26438 1 11 1 1120.58 0.721964 0.689673 491.894 0.614993
172.459 131.978 43.3207 -1.23852 81.0162 0.934982 -1 11 1 915.976 0.361374 -0.750088 263.542 0.70396
90.9106 96.7609 60.3323 -0.764965 78.8625 -2.60727 -1 13 1 527.391 0.626548 0.264297 165.618 0.23883
228.291 44.6511 50.0978 0.982673 76.2964 1.2075 1 11 1 457.034 0.195659 -2.28722 123.897 0.627246
166.077 48.9142 172.348 -0.720848 219.099 -1.23435 1 11 1 918.712 0.233265 2.07586 280.243 0.552004
80.607 41.8151 217.078 -0.0937013 218.032 -0.284378 -1 13 1 371.398 0.696105 3.04374 139.229 0.39122
22.1182 40.3181 84.9326 -1.73274 247.703 1.45472 -1 11 1 454.613 -0.862261 -2.09645 151.43 0.544728
510.091 28.1535 54.4724 0.243535 56.0958 0.998042 -1 11 1 517.993 0.270776 -1.8853 193.971 0.554237
200.699 119.915 299.815 -2.04364 1176.51 0.734299 -1 11 1 319.829 0.480648 -2.11433 109.823 0.692826
116.74 29.8329 35.0765 0.836115 48.0684 1.21383 1 11 1 580.364 -0.0348248 -2.43868 345.504 0.480106
32.1587 96.6633 115.974 2.20254 531.074 2.82225 1 11 1 424.395 1.77736 -1.69701 108.875 0.74697
33.9333 95.0108 125.731 1.15092 218.611 0.0928709 1 11 1 516.461 0.635803 -3.09705 134.694 0.605439
138.937 48.6639 65.245 0.735576 83.7065 2.75837 1 11 1 366.095 0.117523 -0.794732 139.162 0.324179
77.0662 278.167 259.687 -0.928455 379.89 0.987959 -1 11 1 301.307 1.19464 -2.29438 102.785 0.714744
89.2933 83.2355 282.521 -0.421565 308 2.4976 1 13 1 375.339 -0.634567 -0.649476 176.435 0.513447
45.8208 192.043 239.563 0.92035 348.391 2.2266 -1 11 1 338.62 1.48065 0.0182226 176.962 0.396308
303.419 97.6493 338.927 -0.955997 505.965 -0.825845 1 11 1 608.767 -1.67233 2.76002 244.207 0.724897
33.2974 28.9983 341.273 -0.111909 343.412 -2.84598 1 13 1 550.191 0.768081 0.387977 272.324 0.310242
40.8736 62.4679 39.3355 2.00781 149.106 -2.86894 -1 11 1 375.059 1.81837 0.173411 140.431 0.648926
95.9806 41.2185 103.57 1.59558 265.863 0.645887 1 11 1 572.476 -1.17089 -2.16134 213.721 0.707206
218.181 207.524 207.801 -0.400705 224.709 -0.924348 1 11 1 432.193 -0.336161 2.68111 144.55 0.562861
87.7972 332.012 321.1 0.220569 328.943 1.58574 -1 11 1 361.351 -1.09294 -1.45197 121.256 0.686759
162.964 43.3678 76.6996 0.822263 104.123 0.302474 1 13 1 419.028 -1.12522 -2.40649 176.622 0.653847
196.143 5.06731 47.6923 1.34645 97.8624 1.92201 -1 11 1 557.09 0.0773619 -1.69626 225.806 0.274716
189.695 73.491 72.0331 -0.27153 74.7049 -0.310456 -1 13 1 365.021 -0.716026 1.45232 157.658 -1
185.815 159.777 37.8156 1.81121 118.765 -0.507354 1 11 1 587.314 -0.630645 1.4897 168.308 0.607702
115.022 313.194 216.758 -0.865476 303.134 -1.77974 -1 13 1 325.269 -1.57178 2.02269 117.872 0.60742
207.396 167.043 515.187 -0.356964 548.361 -2.67356 1 11 1 371.803 0.17559 0.364196 130.85 0.692437
