etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
51.9978 89.2569 63.3424 1.16997 111.872 -0.0312918 1 13 1 432.721 -0.999112 -2.14119 174.388 0.652737 1 226.997 1.50104 1 131.829 -0.915397 0 432.721 -0.999112 -2.14119 174.388 0.652737 0.0487004
104.382 77.131 131.5 1.56643 328.637 -0.268978 -1 13 1 466.436 0.453786 -3.00388 270.51 0.598006 1 220.176 0.892049 1 182.794 0.0783449 0 720.05 1.38974 -3.21436 330.552 1.01378 0.0336955
131.703 57.8507 77.8663 1.17533 138.132 -2.68319 -1 11 1 327.507 -1.48738 -0.0561831 123.395 0.436609 3 99.1373 1.71123 1 129.693 -1.70788 0 327.507 -1.48738 -0.0561831 123.395 0.436609 0
66.0095 161.39 99.1303 0.920901 144.22 3.06715 1 13 1 766.054 -0.257678 0.79332 333.028 0.571602 1 762.477 -0.171186 1 762.477 -0.171186 1761.52 766.054 -0.257678 0.79332 333.028 0.571602 0.186229
321.772 190.863 151.867 -2.136 651.783 0.730151 -1 13 1 506.214 -0.144956 -3.02488 195.918 0.529708 1 99.9489 -0.414884 1 154.359 -0.430888 0 506.214 -0.144956 -3.02488 195.918 0.529708 0.0342494
249.804 41.4879 35.7989 0.0161441 35.8036 1.73349 1 11 1 501.15 1.01692 -0.677044 117.546 0.731186 1 318.104 1.07893 1 448.185 1.04807 0 501.15 1.01692 -0.677044 117.546 0.731186 0.115196
48.345 94.8418 90.1754 -0.479747 100.753 0.154511 -1 11 1 382.379 -1.3186 -2.03712 114.018 0.658847 1 317.953 -1.40442 1 317.953 -1.40442 839.442 382.379 -1.3186 -2.03712 114.018 0.658847 0.132227
106.177 260.647 164.221 1.08233 270.172 -2.35607 1 13 1 520.629 0.090047 0.68108 122.548 0.651619 2 361.719 1.61312 1 431.406 0.177909 0 946.289 1.76087 -1.8119 221.175 1.41398 0.0597605
127.515 4.51987 214.972 -1.27105 413.297 2.53168 -1 11 1 452.375 -0.323292 -0.630685 104.905 0.569579 1 86.3801 -0.270426 2 86.3801 -0.270426 822.757 452.375 -0.323292 -0.630685 104.905 0.569579 0.197847
215.668 62.2958 68.5402 1.05607 110.448 -1.73655 -1 11 1 321.464 0.109066 0.704482 144.368 0.605451 1 59.4531 2.11642 1 161.162 0.470321 0 321.464 0.109066 0.704482 144.368 0.605451 0.260093
