etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
186.682 84.0512 49.1573 -0.493962 55.2775 3.0767 -1 13 1 395.3 -1.49313 1.03739 119.912 0.653077 2 110.132 -0.661364 1 334.657 -1.56323 0 395.3 -1.49313 1.03739 119.912 0.653077 0.120747
187.951 36.5552 87.2726 1.0913 144.607 -0.977246 1 13 1 332.574 0.761173 2.14955 137.411 0.577729 1 51.7225 -0.536503 1 30.6749 0.327157 0 332.574 0.761173 2.14955 137.411 0.577729 0.212082
283.705 265.252 97.083 0.0807205 97.3995 -2.20597 1 11 1 635.993 -0.443341 0.299076 271.079 0.354503 1 497.352 0.71812 1 432.615 -0.631101 0 1244.8 0.217183 -2.08795 447.785 0.973804 0.184387
164.571 146.29 135.429 -2.033 526 0.541251 -1 13 1 366.624 0.406907 -2.38837 135.409 0.683931 3 100.152 -0.475099 2 310.599 0.235959 0 366.624 0.406907 -2.38837 135.409 0.683931 0.0822859
100.231 59.7264 67.9074 -0.842687 93.4797 2.21296 1 13 1 755.644 -0.28944 0.20763 104.356 0.675365 1 728.073 -1.55072 1 716.032 -0.28058 0 755.644 -0.28944 0.20763 104.356 0.675365 0.0573776
204.817 2.96776 50.9538 -1.93761 180.534 2.90206 -1 13 1 331.234 -0.863626 -0.193751 114.826 0.6004 1 105.466 -2.37099 1 298.89 -0.800139 0 331.234 -0.863626 -0.193751 114.826 0.6004 0.11256
202.706 164.013 160.431 0.430781 175.548 -2.48603 -1 11 1 336.581 -1.02399 0.314689 121.451 0.733535 1 66.4045 2.28806 1 99.2254 -1.51204 0 336.581 -1.02399 0.314689 121.451 0.733535 0.0640287
692.837 92.5686 268.58 0.742992 346.187 2.94248 1 13 1 714.25 0.158174 -0.310064 281.706 0.564101 2 65.37 1.06613 1 50.7242 0.757819 0 1088.91 0.892658 0.374535 347.581 1.15376 0.123999
111.931 107.997 34.2959 -1.67974 95.1809 -1.29151 1 13 1 301.33 0.919355 3.00054 188.095 0.741189 2 412.852 -1.34821 1 412.852 -1.34821 1319.62 301.33 0.919355 3.00054 188.095 0.741189 0.14382
292.019 49.8739 47.6546 1.10762 80 -0.471298 -1 11 1 385.629 0.782133 -3.07163 184.117 0.565153 2 86.4304 1.30134 1 42.5529 1.47081 0 385.629 0.782133 -3.07163 184.117 0.565153 0.118763
89.3364 56.5913 41.9323 1.58937 107.026 2.93912 1 11 1 596.154 0.426753 0.257493 233.816 0.339139 2 470.667 0.667945 1 499.539 0.528421 0 1060.53 1.12971 -2.12273 333.484 1.14706 0.121376
468.285 75.6147 78.6479 -0.118788 79.2034 2.66116 1 11 1 1006.7 0.438648 -0.647025 266.534 0.34334 2 543.407 -0.511469 1 99.5282 0.317212 0 1975.57 0.0942423 -0.740633 458.305 1.36187 0.126132
79.9004 96.0359 65.0677 0.739706 83.6957 0.0879251 1 11 1 408.46 -1.38219 -2.82479 130.077 0.661772 1 339.265 0.842942 1 339.265 0.842942 1369.32 802.489 -0.536381 -2.29275 217.325 1.17882 0.134152
111.431 54.4914 141.641 1.14084 244.255 2.25998 1 13 1 334.26 1.6841 -0.614631 130.07 0.444225 2 127.221 1.53215 1 48.0893 1.64335 0 334.26 1.6841 -0.614631 130.07 0.444225 0.0375277
54.1709 139.665 90.4946 1.1186 153.266 -2.44507 -1 13 1 306.274 -0.0527356 -0.577427 162.519 0.43798 2 335.279 0.898315 1 335.279 0.898315 867.694 306.274 -0.0527356 -0.577427 162.519 0.43798 0.125583
384.387 95.4201 112.069 -0.149899 113.331 -0.0405144 1 13 1 469.154 -0.398513 -3.10077 204.467 0.6604 1 37.6773 0.523345 1 220.089 -0.685493 0 469.154 -0.398513 -3.10077 204.467 0.6604 0.125831
139.421 165.051 180.374 0.387849 194.112 1.60717 1 11 1 334.018 -0.970335 -1.72453 103.59 0.644928 1 117.978 -0.173119 1 83.8763 -1.45914 0 657.908 -0.709365 -0.265883 222.516 0.932874 0.172481
373.483 43.5421 135.235 -1.78482 414.249 3.10568 1 11 1 360.484 -1.39216 -0.302256 133.115 0.542797 1 40.4002 -1.70738 1 40.4002 -1.70738 524.04 360.484 -1.39216 -0.302256 133.115 0.542797 0.216818
196.275 136.659 303.361 -0.298834 317.007 2.79826 1 11 1 500.126 1.80307 -0.610442 114.507 0.729346 1 80.1607 0.501537 2 385.469 1.69163 0 500.126 1.80307 -0.610442 114.507 0.729346 0.1248
380.865 476.241 149.115 0.312216 156.442 2.79738 -1 11 1 574.269 -0.529256 1.52628 295.563 0.601871 4 677.39 1.23133 1 677.39 1.23133 1956.84 1306.3 0.692486 -0.378972 361.871 1.41203 0.239292
195.173 122.587 125.982 -0.490735 141.459 -2.7501 1 13 1 430.893 0.0472122 1.52674 106.514 0.690012 1 57.9231 -1.06544 1 72.0247 0.329664 0 430.893 0.0472122 1.52674 106.514 0.690012 0.104884
186.729 15.9655 48.057 0.835871 65.8458 -0.692388 -1 11 1 312.76 -0.0588924 2.53655 161.084 0.564022 1 63.326 -0.343063 1 63.326 -0.343063 434.52 312.76 -0.0588924 2.53655 161.084 0.564022 0.12227
447.221 40.1187 127.239 -0.288094 132.556 2.54331 1 13 1 891.728 -0.794242 -0.554424 135.178 0.642852 3 228.561 0.896308 3 103.212 -1.0465 0 1223.43 0.212768 2.46754 257.585 1.41801 0.137356
63.614 60.6877 53.7417 -0.286138 55.9568 2.97726 -1 11 1 360.445 1.11452 -0.357955 200.051 0.308226 1 323.211 1.02007 2 323.211 1.02007 835.744 360.445 1.11452 -0.357955 200.051 0.308226 0.116572
381.516 221.536 63.0959 0.101579 63.4217 2.45025 -1 11 1 411.008 -0.81252 -1.78127 130.379 0.713132 1 110.839 1.46609 1 318.345 -0.665802 0 411.008 -0.81252 -1.78127 130.379 0.713132 0.120447
476.432 27.4629 327.894 -0.542597 377.358 -1.53067 -1 13 1 1146.46 0.075123 1.14955 171.958 0.419129 1 623.825 -0.416379 1 1136.75 0.0912445 0 1146.46 0.075123 1.14955 171.958 0.419129 0.0659382
371.691 4.11379 137.287 0.51758 156.09 2.20023 -1 11 1 581.932 -0.319936 -1.11071 192.089 0.560573 3 123.188 1.35272 1 129.99 -0.0203088 0 581.932 -0.319936 -1.11071 192.089 0.560573 0.0709276
496.498 1143.69 658.63 0.973904 996.464 -0.912006 -1 11 1 429.386 -0.0975108 2.31383 175.696 0.57495 1 42.4446 0.236074 1 42.4446 0.236074 1299.09 429.386 -0.0975108 2.31383 175.696 0.57495 0.377796
194.387 1.36597 37.5304 1.11176 63.2143 -1.53337 1 13 1 369.663 -0.840187 1.6472 147.198 0.597404 1 117.197 0.479491 1 133.834 -0.958017 0 369.663 -0.840187 1.6472 147.198 0.597404 0.0505027
190.299 69.7414 215.295 -0.559712 249.908 -1.84661 -1 11 1 361.773 -1.83862 1.88889 145.909 0.34723 1 94.5246 0.0309969 2 126.334 -1.66655 0 361.773 -1.83862 1.88889 145.909 0.34723 0.0830379
338.719 168.275 64.7596 -1.0145 101.043 0.364068 1 11 1 644.322 -1.60366 -1.75007 168.857 0.710219 3 277.781 -0.161827 1 277.781 -0.161827 1169.76 644.322 -1.60366 -1.75007 168.857 0.710219 0.130421
462.53 311.514 626.68 0.475202 698.779 -1.19529 1 11 1 971.095 0.196059 1.57508 167.102 0.574086 1 70.0843 1.57709 1 70.0843 1.57709 1715.54 971.095 0.196059 1.57508 167.102 0.574086 0.0194117
1348.42 212.433 71.2524 0.200287 72.6864 1.21521 1 13 1 1406.15 -0.423891 -1.27781 160.81 0.677765 1 40.9483 -0.557819 1 1474.71 -0.374689 0 1406.15 -0.423891 -1.27781 160.81 0.677765 0.170215
149.99 122.19 120.342 0.284546 125.247 0.0373479 1 13 1 508.923 1.32523 2.89065 123.024 0.421213 3 266.023 -1.01762 2 266.023 -1.01762 1442.51 508.923 1.32523 2.89065 123.024 0.421213 0.182415
115.597 74.6536 120.719 -0.843302 166.249 0.111365 1 11 1 535.357 0.655021 -2.30949 245.914 0.522854 3 382.073 -1.35808 2 228.411 0.494068 0 1019.19 -0.642867 -1.61758 476.265 1.17818 0.13757
130.029 2.15786 87.3174 -0.831952 119.319 1.4345 1 11 1 382.182 1.17417 -1.35213 142.948 0.444217 2 158.269 1.01015 1 358.623 1.13836 0 382.182 1.17417 -1.35213 142.948 0.444217 0.121266
347.924 89.7817 97.0029 -0.608849 115.545 2.55187 1 13 1 360.395 -0.620871 -0.573485 146.436 0.613515 1 62.9891 0.326067 1 190.164 -0.913691 0 360.395 -0.620871 -0.573485 146.436 0.613515 0.116864
426.36 48.5858 303.562 -1.16672 534.697 0.824024 1 11 1 661.753 -0.611809 -2.1818 187.972 0.613448 2 71.0805 -0.71884 2 557.308 -0.708964 0 1028.02 -1.80005 -1.30587 249.743 1.3715 0.0657609
235.352 26.3327 60.8866 1.26961 116.915 -0.730263 1 11 1 313.512 0.239252 2.24605 116.037 0.465551 3 41.3347 0.145367 2 41.3347 0.145367 417.59 313.512 0.239252 2.24605 116.037 0.465551 0.145403
759.638 129.471 63.7948 0.570974 74.4794 -0.266826 1 13 1 909.273 0.304906 -2.66736 391.222 0.519852 2 232.108 -0.20465 2 189.055 0.145031 0 909.273 0.304906 -2.66736 391.222 0.519852 0.0698487
52.6043 94.9579 131.373 -0.990903 201.323 2.25393 1 11 1 440.11 0.421878 -0.535002 108.885 0.577582 1 350.965 0.247736 1 81.6228 0.784359 0 440.11 0.421878 -0.535002 108.885 0.577582 0.0716557
216.812 259.73 77.9472 1.79081 240.121 2.14642 1 13 1 499.8 -0.293267 -0.521098 118.37 0.719796 2 470.935 1.66765 1 40.8815 0.128131 0 857.632 0.260942 1.31966 170.659 1.43136 0.109693
213.3 20.0508 69.6775 -0.819463 94.4112 -2.87281 1 11 1 367.721 1.03498 0.165974 145.298 0.690974 1 33.7718 0.685365 1 274.912 1.13467 0 367.721 1.03498 0.165974 145.298 0.690974 0.127662
77.8731 9.70372 35.9691 -0.0914644 36.1197 -1.29874 -1 11 1 474.489 0.713167 1.11175 179.369 0.673379 2 288.685 -0.658894 1 222.611 0.279794 0 826.221 0.161372 -1.17597 302.311 1.17792 0.179022
330.825 48.697 71.1125 -1.4491 159.792 -1.49779 1 13 1 566.67 0.00707312 2.2606 113.363 0.349291 2 203.255 -0.717672 3 514.999 0.00763355 0 566.67 0.00707312 2.2606 113.363 0.349291 0.136345
66.9646 308.913 364.21 -2.30705 1847.33 -2.02499 -1 13 1 372.178 -0.565634 1.09729 127.054 0.673753 1 126.238 -2.23525 1 126.238 -2.23525 1235.21 372.178 -0.565634 1.09729 127.054 0.673753 0.155991
609.748 117.491 48.8084 0.893955 69.6451 -0.884531 1 13 1 934.055 0.777956 1.62112 197.648 0.749965 1 293.659 0.931164 1 889.705 0.78925 0 934.055 0.777956 1.62112 197.648 0.749965 0.0403671
122.794 161.489 55.8056 1.94597 199.317 1.47306 1 11 1 352.556 0.473844 2.71453 105.06 0.497484 2 180.801 1.56753 1 295.267 0.363808 0 665.575 1.88457 2.34004 184.844 1.20976 0.0596991
358.437 16.3719 150.444 -0.497898 169.48 1.95178 -1 13 1 562.069 -0.832915 -0.942985 161.775 0.644543 1 100.049 -0.414637 1 174.001 -0.972734 0 562.069 -0.832915 -0.942985 161.775 0.644543 0.139734
123.176 149.495 150.324 0.547554 173.427 -2.21684 1 11 1 322.51 -0.0189137 0.582025 135.855 0.537904 1 111.505 -1.19859 1 68.1253 0.524319 0 322.51 -0.0189137 0.582025 135.855 0.537904 0.184971
318.291 211.789 445.434 0.310011 467.01 -2.45224 1 11 1 689.084 0.416287 0.487375 331.354 0.539084 2 51.036 -0.801292 2 51.036 -0.801292 1277.67 689.084 0.416287 0.487375 331.354 0.539084 0.316897
527.796 20.2545 176.586 1.03169 279.201 3.00122 -1 13 1 667.125 -0.355382 -0.243295 114.719 0.625276 2 55.8476 1.19985 1 55.8476 1.19985 985.551 667.125 -0.355382 -0.243295 114.719 0.625276 0.153381
746.673 68.4086 126.279 0.174287 128.202 2.88629 1 13 1 1027.43 0.0673092 -0.261143 150.857 0.560943 1 57.2505 1.73955 1 57.2505 1.73955 997.19 1027.43 0.0673092 -0.261143 150.857 0.560943 0.186211
