etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
52.0929 70.3974 146.848 0.75341 190.534 2.31347 -1 13 1 608.551 0.263783 -1.08975 235.419 0.182568 1 455.425 0.345006 1 455.425 0.345006 1272.6 1056.76 0.65541 0.947477 285.89 0.929759 0.875608
174.069 82.5447 89.333 -1.69559 251.622 -2.51936 -1 11 1 519.727 -0.490548 -0.0164431 227.686 0.727326 1 310.79 -1.51244 2 461.754 -0.457352 1106.03 855.888 -2.10709 3.07104 375.409 1.26437 0.555607
184.628 68.8844 60.8501 -1.36993 127.457 -0.836638 -1 13 1 390.498 0.138586 2.96881 154.945 0.708388 1 164.671 -1.78116 2 212.99 -0.144285 891.495 390.498 0.138586 2.96881 154.945 0.708388 1.09898
53.02 76.2309 36.3443 -0.472581 40.4788 -1.99085 -1 11 1 360.582 -0.740498 0.562548 143.695 0.576507 2 347.229 -0.919913 2 347.229 -0.919913 780.889 771.533 -1.63835 -1.89005 263.005 1.07114 1.13713
220.776 83.1398 44.5106 -1.27981 86.218 0.383947 -1 13 1 350.748 1.08139 -3.11832 118.869 0.688077 2 81.7191 -0.880104 2 81.7191 -0.880104 691.12 350.748 1.08139 -3.11832 118.869 0.688077 0.785744
137.175 151.263 45.708 -0.22255 46.8446 1.27231 -1 11 1 428.392 -0.22302 -0.890777 129.859 0.473604 1 570.554 0.0577186 2 153.915 1.60943 0 1038.31 -0.179099 0.89304 237.215 1.0736 0.786874
183.285 20.3181 57.544 0.6126 68.6835 -2.05159 -1 11 1 331.789 1.01937 1.04044 102.713 0.693794 1 82.4711 0.98145 1 293.906 0.957444 0 331.789 1.01937 1.04044 102.713 0.693794 0
175.348 35.1591 106.349 1.57003 266.662 3.03007 -1 11 1 577.786 0.81852 0.153692 104.648 0.716777 2 100.85 2.10722 1 100.85 2.10722 803.326 833.062 2.73766 -2.89576 212.279 1.14327 1.3207
121.017 52.4424 129.257 1.24622 243.312 0.98561 -1 11 1 358.984 1.33174 -0.988645 107.281 0.69712 4 166.37 1.17484 1 301.894 1.26742 0 722.596 2.69023 1.57153 283.969 0.959828 1.05226
73.7394 55.5559 34.8424 1.02542 54.8232 -1.42668 -1 13 1 373.183 0.339046 2.10337 101.227 0.459968 1 344.952 1.57438 2 344.952 1.57438 912.924 373.183 0.339046 2.10337 101.227 0.459968 0.463094
240.789 73.4633 96.7194 0.175043 98.2049 -1.48799 -1 13 1 346.618 -0.0542408 1.94182 165.764 0.59775 1 38.3182 -0.991875 2 220.305 0.209484 491.769 346.618 -0.0542408 1.94182 165.764 0.59775 0.973769
271.947 14.219 51.7096 -0.487407 57.9744 2.55127 -1 11 1 393.893 0.845706 -0.692815 130.061 0.427798 1 37.2749 0.139405 2 86.1815 1.00888 458.945 393.893 0.845706 -0.692815 130.061 0.427798 0.705813
127.361 33.2313 216.657 1.99376 810.219 0.401687 -1 11 1 421.875 0.490364 -3.12044 224.798 0.645328 2 112.27 1.90669 2 265.26 0.0969058 1040 421.875 0.490364 -3.12044 224.798 0.645328 0.878414
159.746 79.1842 112.147 0.409738 121.694 -3.02467 -1 13 1 326.893 -0.533017 -0.225132 155.809 0.717952 2 80.6011 -0.387395 2 251.395 -0.768386 0 326.893 -0.533017 -0.225132 155.809 0.717952 1.16157
190.739 64.7388 231.388 1.33051 468.251 -1.88442 -1 11 1 523.311 1.13442 1.43718 101.085 0.688359 1 112.609 0.714535 1 530.176 1.14314 0 882.256 2.31228 -0.381498 206.157 1.27118 1.05057
215.201 40.8836 41.5607 1.33685 84.5702 -2.064 -1 13 1 350.017 -0.259526 0.288858 124.27 0.684615 2 126.023 1.35163 2 126.023 1.35163 666.48 350.017 -0.259526 0.288858 124.27 0.684615 0.797548
69.8412 102.691 160.819 1.29744 316.263 0.772632 -1 11 1 344.618 1.47959 -2.85074 118.574 0.175383 2 144.605 0.918069 1 144.605 0.918069 677.065 651.091 2.6481 -2.27723 215.118 0.747391 1.4075
91.2165 21.8976 92.9007 0.210313 94.963 -1.82427 -1 13 1 350.405 0.548598 1.41132 108.039 0.538224 1 201.913 0.0503744 2 315.769 0.609173 671.767 350.405 0.548598 1.41132 108.039 0.538224 0.947175
197.061 39.8578 188.347 0.359779 200.669 -0.471428 -1 11 1 449.161 -0.618118 2.53741 105.674 0.64377 2 199.82 1.09742 1 357.067 -0.650803 0 806.849 0.177716 1.82996 285.205 1.18973 1.2674
69.9145 127.228 89.8509 -2.13284 384.442 -1.12443 -1 11 1 361.232 0.5058 2.96415 203.557 0.665717 1 289.284 -2.11952 2 289.284 -2.11952 1529.35 361.232 0.5058 2.96415 203.557 0.665717 0.687221
43.4812 86.0805 96.7081 -0.335317 102.196 0.405433 -1 11 1 386.393 -0.645172 2.68316 208.695 0.684273 2 287.455 -0.164046 2 287.455 -0.164046 829.751 780.596 -0.830629 2.56241 338.982 1.30879 1.57574
203.651 77.9669 115.004 0.18096 116.892 -1.08773 -1 11 1 364.182 0.150942 1.86774 104.201 0.702749 2 217.632 1.55243 1 78.5846 0.0868726 0 364.182 0.150942 1.86774 104.201 0.702749 1.18805
