etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
255.769 92.7184 489.031 0.491075 549.192 2.32019 -1 11 1 864.69 -1.06223 -0.672093 235.325 0.356755 1 120.598 0.831077 1 120.598 0.831077 1983.95 1486.07 -0.488823 1.74265 383.009 1.06418 1.31911
181.604 77.507 154.357 0.169057 156.568 -2.59494 -1 13 1 360.038 0.604552 0.305852 101.948 0.687477 1 89.7927 0.882199 2 327.758 0.632068 615.68 360.038 0.604552 0.305852 101.948 0.687477 0.995481
255.463 72.1171 61.6592 0.525769 70.3797 -1.92859 -1 11 1 443.163 0.256235 0.599773 104.369 0.473811 2 142.828 0.989945 1 142.828 0.989945 638.469 443.163 0.256235 0.599773 104.369 0.473811 1.20033
88.1359 140.256 216.863 1.68337 603.898 0.188701 -1 11 1 489.268 0.0987027 2.94624 138.635 0.566386 1 132.789 1.31984 2 167.791 -1.01502 1062.63 823.235 1.68572 3.26426 227.799 1.26878 1.28857
71.8959 21.2299 165.088 -0.52048 187.958 -2.53532 -1 13 1 366.715 -0.741657 0.557328 163.308 0.416902 1 165.936 -1.45783 1 289.373 -0.662611 0 366.715 -0.741657 0.557328 163.308 0.416902 1.15845
61.5924 92.4292 39.5878 -0.252593 40.8576 1.03469 -1 13 1 555.372 0.0503619 2.43405 133.419 0.659804 3 496.648 -0.569991 1 74.7778 -0.32046 0 1140.37 -0.608128 1.72802 266.741 1.36299 1.21343
71.2059 55.6275 118.99 0.798086 158.939 1.67438 -1 11 1 359.47 0.155362 -1.43488 106.285 0.510899 2 198.412 1.59951 1 198.412 1.59951 833.573 675.971 1.51993 0.0526892 257.64 1.13306 0.673257
194.52 126.626 186.522 -0.425017 203.623 2.52414 -1 13 1 478.831 -0.41846 -0.192216 150.832 0.682667 1 144.099 -0.523877 2 146.879 -0.228493 814.766 478.831 -0.41846 -0.192216 150.832 0.682667 -1.13928
58.3081 34.5479 80.8998 -1.18888 145.133 1.49056 -1 11 1 331.603 -1.4008 -1.85396 129.342 0.58352 1 219.178 -1.74787 2 219.178 -1.74787 670.508 637.988 -3.00294 -0.564338 229.388 1.23477 0.607474
20.1436 111.497 198.198 0.134496 199.994 -2.44132 -1 13 1 339.299 -0.427286 0.619783 102.408 0.715497 1 184.177 -0.609862 2 291.936 -0.53629 766.504 339.299 -0.427286 0.619783 102.408 0.715497 0.476306
116.148 17.8239 53.0458 0.842479 73.0112 -1.19028 -1 11 1 510.058 -0.532273 1.8778 149.081 0.607834 2 332.121 -1.05068 2 416.796 -0.506838 0 510.058 -0.532273 1.8778 149.081 0.607834 1.14103
72.4647 94.9416 129.435 0.205636 132.181 2.54104 -1 11 1 310.874 0.483801 -0.20711 158.5 0.276945 1 172.354 -0.359853 2 172.354 -0.359853 687.589 595.72 0.367144 2.76654 313.637 0.468244 1.18816
74.5599 50.7162 45.7484 -0.559326 53.093 2.4069 -1 11 1 339.387 -1.95686 -0.353164 105.79 0.484752 2 207.23 -1.67736 1 207.23 -1.67736 643.794 339.387 -1.95686 -0.353164 105.79 0.484752 1.29248
307.101 55.6133 69.6386 -1.98398 257.982 0.263383 -1 13 1 722.152 1.0141 -2.95194 123.186 0.704884 2 294.562 -0.0948971 1 294.562 -0.0948971 1538.6 1067.28 0.785414 -2.59828 224.059 1.55323 1.30518
29.887 136.647 164.509 1.47341 377.815 1.75029 -1 13 1 405.267 -0.0658122 -1.511 108.487 0.6514 1 111.472 2.14165 1 351.433 -0.122267 0 405.267 -0.0658122 -1.511 108.487 0.6514 0.617551
32.762 160.151 204.127 1.1527 355.438 1.95694 -1 11 1 300.945 1.60368 -1.32708 119.096 0.377281 1 138.478 1.83268 2 193.477 1.61758 682.34 668.931 3.07572 0.701051 236.527 1.10992 1.03359
148.565 81.3121 32.552 -1.29681 63.9812 -3.02162 -1 13 1 449.5 1.29751 1.2565 120.244 0.685485 2 209.917 -1.00589 2 209.917 -1.00589 1174.82 717.383 0.212973 -0.694118 222.545 1.39864 1.26891
86.3366 88.8838 100.964 1.22457 186.612 3.10633 -1 11 1 332.357 -0.364521 0.539843 106.58 0.584914 2 150.848 1.04564 2 150.848 1.04564 759.629 332.357 -0.364521 0.539843 106.58 0.584914 1.26858
30.1262 77.5439 157.56 0.922522 229.498 2.97267 -1 13 1 354.516 -0.247427 -1.02841 126.132 0.670778 2 85.3195 0.71246 2 198.954 -0.0812382 0 354.516 -0.247427 -1.02841 126.132 0.670778 0.619423
192.744 68.7266 82.1175 0.761788 107.12 0.28349 -1 11 1 523.949 0.471364 2.94539 108.825 0.618869 1 231.606 0.95123 1 231.606 0.95123 839.594 825.859 1.37812 2.71092 218.421 1.10983 1.18667
64.5695 51.8114 32.2969 -0.918587 46.9086 -3.11182 -1 13 1 508.428 1.47603 0.587427 120.698 0.613345 2 325.232 0.105505 2 325.232 0.105505 1115.67 508.428 1.47603 0.587427 120.698 0.613345 1.33201
68.4035 84.7041 152.66 1.89477 519.152 -1.72824 -1 11 1 353.382 1.98232 1.73606 100.783 0.557096 1 214.656 1.7756 2 214.656 1.7756 736.025 716.734 3.85961 0.429855 246.115 1.3223 1.18168
157.548 48.9454 288.105 0.652829 351.709 0.936765 -1 13 1 472.268 0.585679 -1.90455 122.392 0.613654 1 40.4032 1.45969 1 413.949 0.546188 0 472.268 0.585679 -1.90455 122.392 0.613654 0.772297
172.57 47.8457 129.361 -0.737818 166.198 -2.99219 -1 11 1 412.843 -0.426135 -0.184928 220.023 0.359063 1 123.331 -1.27338 1 105.197 -0.758227 0 677.805 -1.44166 2.9186 310.519 0.985304 0.590074
102.158 51.9815 89.6435 1.59726 230.471 -1.43768 -1 11 1 529.284 -0.00923206 2.10298 212.337 0.726371 1 435.53 1.36563 1 435.53 1.36563 1384.05 1050.39 1.43115 1.06699 335.832 1.40938 0.737005
183.483 65.2795 101.022 -1.09144 167.409 -1.82503 -1 11 1 319.074 -0.973799 1.17743 136.28 0.677433 2 54.5655 -1.48258 2 92.2899 -1.06615 0 319.074 -0.973799 1.17743 136.28 0.677433 0.773222
136.375 10.0486 158.558 -0.413316 172.295 2.85846 -1 11 1 434.709 -1.44605 0.117461 214.685 0.646129 1 166.224 0.0930117 2 166.224 0.0930117 956.433 757.962 -1.61844 3.12563 321.969 1.21795 1.25295
88.7027 99.4537 93.2033 -0.546584 107.476 0.400433 -1 11 1 449.717 -0.874867 -2.26 155.012 0.582563 1 309.135 -0.910091 1 375.915 -0.936065 0 844.675 -1.78057 -1.51806 266.57 1.29965 0.418259
44.9175 85.7428 88.6263 1.07785 145.289 0.244661 -1 13 1 328.87 1.79102 -2.61978 132.809 0.583893 1 163.767 0.0304273 1 163.767 0.0304273 778.574 328.87 1.79102 -2.61978 132.809 0.583893 0.241081
53.5802 36.8331 53.7962 0.612322 64.2004 0.0826748 -1 11 1 304.607 0.670809 2.33675 109.063 0.535983 2 171.647 1.81138 3 171.647 1.81138 622.684 304.607 0.670809 2.33675 109.063 0.535983 0.818047
32.1981 94.5137 401.414 -0.424999 438.215 -3.10334 -1 11 1 594.531 1.48209 -0.246318 195.137 0.607303 2 139.715 -0.0411137 1 139.715 -0.0411137 1653.98 1147.97 1.12354 2.8496 316.109 1.04525 -0.66037
238.966 71.7715 56.9554 -0.120332 57.3683 -1.16254 -1 11 1 344.824 1.55756 1.72114 195.796 0.632529 1 32.0734 0.145319 1 32.0734 0.145319 494.185 344.824 1.55756 1.72114 195.796 0.632529 1.4025
256.646 4.22512 80.1359 -0.75501 104.082 -2.45398 -1 13 1 413.06 1.50469 0.757072 127.378 0.749363 1 195.027 -0.456437 1 227.791 1.19481 0 413.06 1.50469 0.757072 127.378 0.749363 0.526512
104.075 35.3963 213.583 1.24008 399.961 1.38445 -1 11 1 625.265 1.39994 -1.42826 351.932 0.446243 3 285.734 0.468664 1 278.367 1.11339 0 1118.14 2.30897 0.150255 579.064 1.02986 1.09838
462.91 11.1369 145.362 1.68614 405.839 -0.709627 -1 11 1 562.236 -0.919249 2.27229 177.619 0.720582 1 43.9046 1.59773 1 43.9046 1.59773 1295.26 562.236 -0.919249 2.27229 177.619 0.720582 0.758745
219.734 19.3784 79.2018 0.022051 79.2211 -0.884217 -1 11 1 348.962 -0.112603 2.26949 101.16 0.696148 1 117.097 0.00158463 2 288.644 -0.300601 534.478 348.962 -0.112603 2.26949 101.16 0.696148 1.02334
218.814 56.2345 54.4281 1.80965 170.687 -3.00241 -1 13 1 413.27 1.63519 0.452882 112.753 0.671956 1 52.8941 1.23577 1 52.8941 1.23577 396.764 413.27 1.63519 0.452882 112.753 0.671956 0.657425
238.024 32.4779 68.5224 -0.0893033 68.7958 1.55466 -1 11 1 505.609 -0.175328 -1.377 136.438 0.742482 1 155.572 -0.268345 2 225.508 -0.330871 689.756 505.609 -0.175328 -1.377 136.438 0.742482 0.656938
174.336 40.5063 47.1618 -1.36549 98.4006 1.04751 -1 11 1 775.166 1.23199 -2.44571 117.024 0.719505 2 580.071 -1.58288 2 774.551 1.23529 0 1447.2 -0.351563 -1.98821 247.22 1.3079 -1.51248
82.1666 91.9348 48.1159 0.497712 54.1995 1.06251 -1 11 1 304.469 0.0613927 -0.961191 122.074 0.515292 3 197.608 0.71266 2 197.608 0.71266 594.831 304.469 0.0613927 -0.961191 122.074 0.515292 0.657542
28.5939 44.2828 54.2094 1.13537 93.0677 -0.35532 -1 11 1 323.778 -1.04863 1.79585 101.044 0.655315 1 88.129 0.0939695 2 209.422 -1.13852 594.213 323.778 -1.04863 1.79585 101.044 0.655315 1.16092
180.812 3.77952 73.723 2.22104 343.748 0.157504 -1 13 1 348.302 1.33226 -2.70408 147.911 0.362509 1 133.052 1.95184 1 133.052 1.95184 608.643 348.302 1.33226 -2.70408 147.911 0.362509 0.679765
28.4542 46.7586 101.653 0.0208459 101.675 -1.94252 -1 11 1 383.142 -0.787352 1.76545 102.927 0.723222 1 320.225 0.206268 1 320.225 0.206268 909.118 792.513 -0.646617 0.305957 233.15 1.18683 0.899086
24.6308 44.7338 53.822 -0.498762 60.6564 -1.85299 -1 11 1 303.05 -1.17963 -0.356642 144.657 0.547854 3 375.485 -0.920182 2 375.485 -0.920182 766.27 303.05 -1.17963 -0.356642 144.657 0.547854 1.15719
359.983 64.7318 37.5313 2.37653 203.8 -1.63656 -1 13 1 571.324 -1.21442 0.995845 119.297 0.526972 2 92.8406 1.31424 1 92.8406 1.31424 1268.24 571.324 -1.21442 0.995845 119.297 0.526972 1.21086
102.568 37.8494 158.99 0.338585 168.19 -2.20783 -1 13 1 325.812 -0.333234 1.07551 106.31 0.510244 1 108.963 0.745717 2 324.513 -0.278605 662.159 325.812 -0.333234 1.07551 106.31 0.510244 1.14877
214.402 60.3588 38.5859 -0.381696 41.4312 -2.06803 -1 13 1 687.881 1.19019 1.01251 161.335 0.747531 2 304.585 0.267297 1 304.585 0.267297 1117.37 1117.88 2.65715 -0.172759 213.565 1.48654 1.25275
