etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
111.026 84.4422 35.3365 -0.148732 35.728 -1.73669 -1 11 1 558.44 -0.923093 0.486708 213.177 0.675949 3 175.113 -0.620158 1 357.503 -0.855845 0 895.637 -1.6025 -1.7413 343.294 0.942663 0.640734
157.899 85.5778 234.071 -0.58011 274.574 1.45626 1 11 1 439.855 0.841639 -2.07852 194.044 0.389952 1 152.649 1.06911 1 285.433 0.642438 0 439.855 0.841639 -2.07852 194.044 0.389952 1.20516
52.6852 20.9775 60.3783 0.0102856 60.3815 -0.208083 1 11 1 381.734 0.181789 -1.87597 144.402 0.656389 3 357.571 0.306265 2 357.571 0.306265 829.716 381.734 0.181789 -1.87597 144.402 0.656389 0.964689
430.204 78.7371 271.703 -0.415744 295.524 0.604824 1 11 1 557.352 -0.646924 -2.32363 261.363 0.562808 2 52.8678 -0.101492 2 139.234 -0.519754 0 557.352 -0.646924 -2.32363 261.363 0.562808 1.31018
235.774 40.3493 88.0622 0.635074 106.426 -2.00084 -1 11 1 557.283 -0.456094 1.24493 119.824 0.442036 3 229.502 1.35838 1 229.502 1.35838 1159.19 854.668 0.749845 -0.384867 263.609 0.99339 1.24088
199.759 49.225 62.8326 0.497962 70.785 2.02168 -1 11 1 376.756 1.81495 -1.1606 113.371 0.540015 2 53.0047 1.82272 1 53.0047 1.82272 494.355 376.756 1.81495 -1.1606 113.371 0.540015 1.10748
141.987 76.2874 81.2454 -1.33427 164.951 -1.08027 -1 11 1 379.271 0.0163212 1.3672 131.416 0.553007 1 229.778 -1.23241 1 229.778 -1.23241 855.614 688.193 -1.31546 -0.338842 255.045 1.03773 1.13945
63.6851 60.8307 51.0698 -1.97295 187.195 1.7118 -1 11 1 559.167 -1.07318 -0.321649 179.168 0.520841 2 114.258 -1.97216 1 114.258 -1.97216 684.74 559.167 -1.07318 -0.321649 179.168 0.520841 1.1903
110.753 24.5016 71.3032 -1.96325 258.931 2.85066 1 13 1 511.037 -0.365011 0.067384 177.67 0.34507 1 329.11 -2.31243 1 124.851 -0.814411 0 511.037 -0.365011 0.067384 177.67 0.34507 0.596441
256.782 23.7195 93.1301 -1.64703 250.714 -0.0406513 1 11 1 350.923 0.781777 -2.45912 175.046 0.185254 1 171.484 -1.12165 1 143.402 1.15718 0 350.923 0.781777 -2.45912 175.046 0.185254 0.553144
172.266 71.8827 112.016 0.0540652 112.18 -0.189016 -1 13 1 361.295 0.0103313 -2.86135 143.772 0.456758 1 106.981 0.616748 1 106.981 0.616748 603.459 361.295 0.0103313 -2.86135 143.772 0.456758 0.00261346
207.845 37.3067 61.0041 0.965137 91.6916 0.509011 1 11 1 448.17 -0.787666 2.99478 174.987 0.351354 2 153.645 0.369674 2 414.741 -0.814194 0 448.17 -0.787666 2.99478 174.987 0.351354 1.36889
91.1635 42.3321 62.9738 -0.456781 69.6586 -2.59731 -1 13 1 546.527 0.0208529 0.68214 119.637 0.195463 2 497.967 -0.0634792 1 497.967 -0.0634792 1126.59 546.527 0.0208529 0.68214 119.637 0.195463 0.97072
529.15 256.735 58.1556 1.48839 135.377 -1.12663 -1 13 1 610.642 -1.41494 0.356195 110.207 0.746638 1 63.5108 1.1613 2 553.55 -1.44693 0 610.642 -1.41494 0.356195 110.207 0.746638 1.19557
219.03 107.454 108.274 -0.266264 112.135 2.49794 1 13 1 507.392 -1.47279 -1.79395 114.161 0.591164 2 604.793 -0.187328 1 319.269 -1.52834 0 507.392 -1.47279 -1.79395 114.161 0.591164 0.50356
97.9598 49.7997 148.934 0.0284586 148.994 0.709742 1 11 1 617.638 0.465829 -2.77148 149.135 0.620534 4 238.585 -0.35569 1 238.585 -0.35569 1055.42 1064.87 0.0355748 -2.2281 355.273 0.871643 1.13203
128.207 64.5318 241.259 -0.279161 250.721 1.92512 1 13 1 401.385 0.501595 -1.11213 220.015 0.625318 1 71.4915 1.24641 2 260.803 0.641029 0 401.385 0.501595 -1.11213 220.015 0.625318 1.07813
193.181 13.5657 82.004 1.35633 169.729 -1.7313 1 13 1 410.068 0.809338 1.00866 174.629 0.49022 1 204.476 -0.166635 1 204.476 -0.166635 802.875 410.068 0.809338 1.00866 174.629 0.49022 1.10668
74.2565 93.5931 213.993 -0.522774 243.906 1.68913 1 11 1 327.313 0.229658 -1.19427 110.773 0.66987 3 69.9126 -1.76585 2 230.284 0.391513 768.239 327.313 0.229658 -1.19427 110.773 0.66987 0.735859
159.582 19.042 96.0041 0.750752 124.354 -0.225827 1 11 1 370.695 -1.17432 2.06353 100.806 0.73811 3 114.878 1.37946 1 114.878 1.37946 977.727 370.695 -1.17432 2.06353 100.806 0.73811 0.742631
223.595 41.28 88.4776 1.78127 270.115 2.34471 1 11 1 511.308 0.225655 -0.145319 120.213 0.588171 1 122.909 1.80562 2 473.777 0.245023 0 511.308 0.225655 -0.145319 120.213 0.588171 0.574033
252.625 32.5311 30.4532 0.456262 33.6785 -2.41837 1 13 1 315.163 -0.252778 0.356726 161.15 0.351361 3 105.648 0.193625 2 113.256 -1.6966 0 315.163 -0.252778 0.356726 161.15 0.351361 0.827479
34.6344 76.5887 118.108 0.218923 120.949 1.71818 1 13 1 481.874 0.355659 -1.47552 272.467 0.189474 2 168.844 -0.213016 2 256.983 0.407187 0 481.874 0.355659 -1.47552 272.467 0.189474 1.03303
93.8998 24.8071 109.809 -1.3167 219.57 -0.178254 1 11 1 469.53 0.767564 2.75147 159.384 0.674247 2 228.166 -0.0546628 1 335.889 0.727444 0 724.138 0.727678 2.34213 245.207 1.02294 1.07032
121.5 279.231 163.628 -1.25656 310.726 -2.94027 1 13 1 310.033 -1.12365 -1.33049 116.508 0.702179 3 395.404 -2.16498 1 101.385 -0.599397 0 310.033 -1.12365 -1.33049 116.508 0.702179 0.966456
212.002 104.736 270.283 1.24669 508.977 1.50552 1 11 1 437.757 0.432261 -1.60632 193.96 0.312132 1 58.2776 0.154971 1 393.121 0.274504 0 437.757 0.432261 -1.60632 193.96 0.312132 0
115.083 67.3631 82.199 1.32357 165.343 -1.21973 1 11 1 385.656 0.525053 1.39436 103.696 0.542988 2 257.578 1.97869 2 357.012 0.541431 0 745.443 2.42081 -0.258368 251.869 1.20704 1.18858
130.378 76.3338 88.3333 0.203212 90.1635 2.1393 -1 11 1 762.486 -0.501969 -0.917192 227.743 0.577698 2 583.275 -0.747221 1 693.753 -0.470107 0 1422.17 -1.17576 0.978125 487.393 0.984723 1.04707
235.641 66.5125 72.1184 -0.97294 109.032 -0.977665 1 13 1 406.103 -1.0066 1.97222 169.795 0.731639 2 196.777 -0.150172 3 332.292 -1.02228 0 406.103 -1.0066 1.97222 169.795 0.731639 0.734865
154.758 67.744 161.861 -0.242279 166.635 -1.97609 1 11 1 333.785 0.79944 1.56823 133.299 0.674909 1 36.4231 0.455226 1 36.4231 0.455226 586.848 333.785 0.79944 1.56823 133.299 0.674909 0.94989
51.2669 31.0821 114.634 0.493269 128.866 -0.488778 -1 11 1 600.398 -0.830884 2.5628 155.454 0.328725 2 585.427 0.114897 2 359.888 -0.989554 0 1300.08 -0.653074 2.32402 314.23 0.689119 1.47535
100.549 40.7964 126.99 -1.51385 302.506 -2.46435 -1 13 1 491.448 -0.183277 1.55771 145.682 0.387676 1 210.328 -0.982542 1 210.328 -0.982542 916.017 491.448 -0.183277 1.55771 145.682 0.387676 1.1361
50.5222 34.5577 122.684 -0.357221 130.596 -2.81084 1 13 1 347.934 -0.77111 -0.0620703 178.473 0.647738 3 96.5105 -0.957454 2 192.247 -0.859477 0 347.934 -0.77111 -0.0620703 178.473 0.647738 0.522078
66.8224 143.127 102.285 -0.687931 127.458 3.12948 -1 11 1 391.983 -0.810979 0.478969 220.394 0.274597 2 278.094 -0.0449126 2 278.094 -0.0449126 856.507 782.888 -1.02712 -2.62695 343.048 0.664453 1.09307
207.626 17.494 168.684 1.16224 296.03 1.41704 1 11 1 358.139 0.916561 -2.27734 139.942 0.473189 1 113.945 0.572224 3 178.235 1.20122 655.796 358.139 0.916561 -2.27734 139.942 0.473189 0.77449
677.683 31.1509 174.088 0.575807 203.754 -2.19058 1 11 1 891.32 -0.424107 0.837057 318.702 0.591125 1 78.0092 1.26007 1 274.388 -0.452189 0 891.32 -0.424107 0.837057 318.702 0.591125 1.25597
457.603 31.3254 276.367 -0.106248 277.929 -1.29717 1 13 1 528.585 -0.252174 1.68603 150.447 0.581337 1 30.6851 0.673019 1 30.6851 0.673019 839.337 528.585 -0.252174 1.68603 150.447 0.581337 1.20388
81.2899 76.0813 123.787 0.380479 132.856 -1.79764 1 11 1 357.921 1.49633 2.1806 186.628 0.589136 1 298.879 2.05397 1 149.31 0.873876 0 357.921 1.49633 2.1806 186.628 0.589136 0.726585
159.403 1.44288 176.794 -0.86469 247.11 -0.951696 1 13 1 429.809 1.08501 1.66258 133.359 0.643663 1 35.2738 -1.5307 2 375.899 0.991456 0 429.809 1.08501 1.66258 133.359 0.643663 0.65145
169.568 66.8372 37.0289 1.06185 59.9409 2.35915 1 11 1 710.725 -0.829641 -0.118724 112.845 0.726706 1 462.482 0.0272075 1 462.481 0.0272075 1357.61 710.725 -0.829641 -0.118724 112.845 0.726706 0.80757
48.1754 60.667 187.058 0.0441647 187.24 1.27444 1 13 1 386.595 0.221287 2.90451 163.59 0.620428 5 428.328 -0.102691 2 428.328 -0.102691 1045.09 968.533 0.209014 2.24383 340.623 0.9564 0.491653
129.544 30.5327 49.1283 0.057509 49.2095 -0.824321 -1 11 1 302.644 -1.6046 2.52205 100.169 0.67811 2 76.8763 -1.60725 1 76.8763 -1.60725 479.444 302.644 -1.6046 2.52205 100.169 0.67811 0.893835
55.2831 97.4728 45.3587 -1.09742 75.5255 -2.71477 -1 11 1 523.024 -0.0906355 1.83626 143.559 0.500977 2 499.048 -1.21203 1 73.4431 -0.517199 0 1008.06 -1.32464 0.54941 214.84 1.19947 1.13308
422.134 81.947 376.286 -0.0756951 377.364 2.48733 1 11 1 957.193 0.583203 -0.81411 134.777 0.338796 1 385.302 -1.34876 1 385.302 -1.34876 2264.4 1392.45 -0.870428 0.643664 251.348 1.10926 1.27234
56.31 22.3724 74.4404 -0.316975 78.2115 2.90084 1 11 1 329.507 0.94441 -0.577357 149.487 0.5264 1 271.063 1.15528 1 53.4882 1.58087 0 329.507 0.94441 -0.577357 149.487 0.5264 1.25044
137.676 18.7743 175.223 -0.31291 183.871 0.0404073 1 11 1 319.328 -0.332589 2.95324 155.283 0.411368 1 89.6478 -0.979385 2 115.75 -0.457229 632.455 319.328 -0.332589 2.95324 155.283 0.411368 1.26753
33.4709 69.8027 119.91 -0.469725 133.383 1.95819 1 11 1 330.007 0.710287 -2.02937 166.601 0.556409 1 69.5958 -0.703676 1 216.479 0.694672 0 330.007 0.710287 -2.02937 166.601 0.556409 0.33723
113.162 29.9116 38.607 -0.940391 56.9734 2.16035 1 11 1 323.525 0.634085 -1.30631 162.395 0.583306 2 174.854 -0.0376101 1 135.921 0.960297 0 323.525 0.634085 -1.30631 162.395 0.583306 0.649378
138.158 82.9829 50.5028 0.483064 56.5108 1.36546 -1 13 1 495.404 0.58804 -1.20893 161.498 0.561682 1 353.717 0.660852 1 353.717 0.660852 917.246 495.404 0.58804 -1.20893 161.498 0.561682 1.25035
71.3793 53.9856 91.0924 1.58792 232.19 1.63166 1 11 1 307.175 -0.711955 -2.16545 186.306 0.543485 1 112.778 1.74915 1 87.2127 -1.38074 0 307.175 -0.711955 -2.16545 186.306 0.543485 0.71386
50.1859 154.438 134.298 -1.06883 218.595 1.09627 1 11 1 342.097 -1.41706 -1.24071 143.819 0.564213 1 240.912 -0.469799 1 211.14 -1.1074 0 342.097 -1.41706 -1.24071 143.819 0.564213 0.589279
108.05 5.19997 178.735 -1.2996 352.149 -2.55518 -1 11 1 353.429 0.34069 0.385632 200.497 0.568609 1 83.8404 -0.943079 3 218.944 0.336957 852.036 353.429 0.34069 0.385632 200.497 0.568609 0.854353
160.151 35.3927 189.133 -1.19546 341.161 -2.67828 1 13 1 311.114 -0.0256383 0.695555 166.557 0.708377 1 39.2415 -0.569091 3 142.879 -2.01676 661.517 311.114 -0.0256383 0.695555 166.557 0.708377 1.33523
195.406 63.0067 147.129 -1.74391 433.626 -1.71963 1 13 1 386.638 -1.08388 1.29366 125.775 0.635429 1 34.4797 -1.72458 2 366.095 -1.06744 0 386.638 -1.08388 1.29366 125.775 0.635429 0.722739
60.9804 89.7249 88.6263 -0.770278 116.245 2.92783 1 11 1 346.022 0.632568 0.506344 108.382 0.34244 2 94.5215 0.753872 1 94.5215 0.753872 597.011 346.022 0.632568 0.506344 108.382 0.34244 1.21573
135.965 21.8681 128.313 0.20404 130.994 -3.09141 1 13 1 326.351 -0.938598 0.301701 158.549 0.387722 1 170.731 -1.58662 1 209.375 -0.58428 0 326.351 -0.938598 0.301701 158.549 0.387722 1.14391
121.34 53.0225 94.7467 -0.545789 109.212 -1.95982 -1 11 1 377.386 -0.282182 1.58288 148.041 0.435869 1 240.675 -0.790546 1 240.675 -0.790546 760.343 717.154 -1.0193 -0.0565279 233.925 0.514743 1.1775
171.45 125.098 92.5306 -0.916831 134.222 1.53756 1 11 1 300.214 0.24965 -0.785794 111.487 0.620705 1 46.5374 -0.856128 2 164.731 0.24377 484.038 300.214 0.24965 -0.785794 111.487 0.620705 0.539064
264.167 119.071 93.7653 -0.188123 95.4294 -1.37849 1 11 1 391.287 -1.41433 1.11503 104.98 0.696647 1 97.8931 -1.6047 3 241.752 -1.43755 0 391.287 -1.41433 1.11503 104.98 0.696647 1.46685
32.4827 62.3424 79.1699 0.324269 83.3689 1.18776 1 11 1 327.175 -0.993105 -2.19111 129.517 0.670234 1 211.814 -0.625798 2 264.784 -0.796258 697.92 618.011 -1.34703 -1.15455 273.31 1.26391 0.680728
69.8646 70.5475 67.6191 -1.49888 158.906 -0.00835638 -1 13 1 540.814 0.00355957 -2.50094 141.183 0.344502 2 327.258 -0.362676 1 327.258 -0.362676 1019.8 540.814 0.00355957 -2.50094 141.183 0.344502 1.13521
136.886 10.0348 208.644 0.567521 243.155 -0.833347 1 11 1 588.76 1.45053 2.79406 117.862 0.649316 4 150.643 -1.12887 1 550.574 1.44056 0 588.76 1.45053 2.79406 117.862 0.649316 1.17215
339.968 66.4813 32.9857 0.946495 48.8975 -3.07174 -1 13 1 305.106 1.34943 0.91408 108.542 0.648226 1 71.4839 0.003907 1 71.4839 0.003907 429.486 305.106 1.34943 0.91408 108.542 0.648226 0.360203
20.2178 167.782 377.307 -0.104526 379.37 -2.24537 1 13 1 332.313 -1.07377 0.71773 128.359 0.737822 1 30.7851 0.8451 2 184.558 -0.680293 874.396 332.313 -1.07377 0.71773 128.359 0.737822 0.907045
81.2414 75.1059 38.3973 0.145989 38.8074 -1.16452 1 13 1 342.444 1.51678 0.789025 123.198 0.679189 2 263.164 1.40522 1 271.842 1.5366 0 342.444 1.51678 0.789025 123.198 0.679189 0.848787
55.5211 45.4343 152.935 0.924758 223.123 -0.865512 -1 11 1 341.92 -0.480395 3.12941 152.396 0.192351 1 63.2993 0.878691 1 63.2993 0.878691 692.757 341.92 -0.480395 3.12941 152.396 0.192351 1.35616
45.5289 103.712 142.289 -0.227426 145.984 1.62298 1 11 1 370.473 0.208989 -2.20944 139.945 0.564305 1 257.139 -0.325857 1 230.073 0.352893 0 732.314 -0.0703991 -1.21995 318.856 1.17634 1.30479
116.121 63.9521 42.7667 0.367366 45.6851 -0.0761998 -1 11 1 476.511 0.0275043 2.37168 120.51 0.397985 2 241.993 -0.625021 1 241.993 -0.625021 792.218 864.959 -0.817464 1.57742 242.578 0.777841 0.647618
267.819 51.7198 143.628 -0.623304 172.443 -0.533251 -1 11 1 623.689 -0.787982 2.55072 215.556 0.439926 1 238.428 -1.15305 3 500.176 -0.751115 1029.84 999.527 -1.75405 2.09435 320.35 1.16914 1.29827
149.664 79.6756 235.184 1.18995 422.292 -1.21164 1 11 1 327.93 0.528974 2.11411 108.515 0.549418 1 33.6852 1.43921 2 55.0737 -0.330995 0 327.93 0.528974 2.11411 108.515 0.549418 0.767601
90.8727 39.7161 382.033 0.351163 405.832 1.92579 1 13 1 357.636 -0.189124 -1.98569 159.925 0.516718 2 67.3814 0.727522 2 284.44 0.0390511 0 706.696 0.268545 -2.06071 351.885 0.762214 0.515129
180.211 60.499 94.3315 0.16509 95.6199 1.38327 1 11 1 350.672 0.81464 -1.25421 213.901 0.457784 2 342.439 1.70833 1 213.673 0.649999 0 719.327 2.58317 1.30713 276.673 1.24939 1.29496
114.936 212.115 178.777 -0.377502 191.667 0.00133601 1 11 1 594.85 -0.977458 1.28174 303.15 0.395509 5 190.598 -0.897403 1 164.24 -0.51361 0 1038.2 -1.86421 -0.638266 467.284 0.974147 0.728932
243.572 57.8872 130.881 0.839623 179.789 2.81872 1 13 1 466.147 1.02678 -0.275917 114.89 0.700468 1 30.6732 1.25453 1 424.837 0.997921 0 466.147 1.02678 -0.275917 114.89 0.700468 1.21596
