etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
47.3125 61.0898 37.9029 1.47146 86.8956 -0.284766 1 13 1 300.29 0.444424 2.82158 131.109 0.609838
272.746 19.6015 291.741 -0.889907 415.089 1.07644 1 11 1 605.42 -0.0532364 -1.97942 295.035 0.701795
64.3168 45.4276 93.8212 -0.422806 102.333 -2.02686 1 13 1 300.031 -1.14585 1.02265 130.198 0.528703
248.428 35.818 176.277 0.571142 205.818 -0.283267 1 11 1 553.097 1.1808 2.69299 129.116 0.212492
349.738 37.1721 100.326 -2.2109 463.181 2.30211 -1 11 1 716.357 0.339294 -0.592053 194.656 0.433515
191.528 81.7853 75.1688 -0.946353 111.417 0.341673 1 11 1 357.71 1.23764 -2.53188 120.825 0.50692
137.888 5.55999 83.1403 -2.10012 344.598 2.05438 1 11 1 307.911 -1.37884 -0.938388 106.583 0.646424
219.644 1.62836 151.109 -0.879625 213.436 -0.0968007 1 13 1 794.562 0.983117 2.70294 128.07 0.583366
156.568 58.9477 76.3732 0.50059 86.1439 -2.92903 1 13 1 451.577 0.360099 -0.0404394 113.416 0.347472
68.4015 8.58132 87.4354 -0.0277471 87.4691 0.085176 1 11 1 376.404 0.310696 -2.81041 103.07 0.70376
342.31 97.7727 31.5112 -0.687787 39.263 0.194066 1 13 1 559.596 -0.542602 2.64635 101.643 0.723091
160.77 52.361 61.5841 -0.862787 85.9634 -0.118695 1 13 1 376.69 -1.58063 2.99169 113.211 0.603096
224.559 2.37463 46.0436 -0.610062 54.8809 1.66748 1 13 1 476.227 -0.651795 -1.94034 100.87 0.518967
200.671 70.7778 57.3015 -0.315795 60.1826 3.01918 1 11 1 480.029 -0.601734 -0.439847 176.824 0.741137
49.0424 15.4291 33.9334 0.846026 46.8194 -0.539351 1 13 1 384.179 0.121084 1.50425 172.316 0.720171
313.096 71.4947 149.478 1.19893 270.413 0.560709 1 11 1 564.278 -1.04209 -2.58846 113.522 0.624733
231.856 37.7575 49.3763 -1.65346 133.721 3.07251 1 11 1 475.436 -0.970777 -0.359722 110.164 0.709145
130.233 95.0142 34.3291 -0.892991 48.9508 -2.92667 1 11 1 467.225 -1.4074 1.40798 117.353 0.566813
41.9946 118.677 84.2366 -0.848027 116.385 -0.177231 1 11 1 307.276 -0.426108 2.56485 181.873 0.450881
44.9176 57.3887 31.8884 0.819107 43.1975 0.284105 1 11 1 311.408 0.04764 -2.30489 153.802 0.560599
141.681 66.3197 132.47 -0.791538 176.181 2.44023 1 11 1 310.178 0.102208 -0.463386 116.916 0.624144
66.3713 114.912 112.606 1.51777 269.198 -1.66464 1 13 1 370.555 0.826003 1.7413 107.905 0.590813
43.741 52.9452 33.4333 -0.197191 34.0855 -0.410663 1 11 1 425.93 0.192843 1.74891 125.091 0.697794
175.197 56.4518 58.507 2.09331 240.902 0.546167 1 11 1 422.96 0.449601 -2.29183 107.309 0.70831
157.111 84.5567 207.363 1.35815 429.876 1.94172 1 13 1 420.508 0.0570002 -0.961255 183.625 0.344272
42.0165 127.97 131.391 -0.156639 133.006 0.833194 1 13 1 368.859 0.3365 -1.72549 182.516 0.467706
290.188 75.0174 103.517 1.45147 233.1 -2.91016 1 13 1 391.915 1.97558 0.831515 102.839 0.318349
82.6926 68.6399 84.9063 -0.123903 85.5589 -3.1281 1 11 1 334.156 0.0849701 0.646144 155.83 0.644152
508.895 49.8019 67.7851 0.923645 98.8146 1.42078 1 13 1 490.409 0.0271662 -1.9901 157.869 0.711947
141.566 80.588 37.6323 -0.614329 44.9598 -1.0474 1 13 1 338.803 -0.0575605 -3.05462 140.231 0.695555
189.969 112.485 98.4699 1.1514 171.279 -1.93744 1 11 1 490.053 -0.129393 0.280303 111.919 0.584297
49.1843 141.52 226.169 -0.801329 302.753 2.63883 1 13 1 1029.5 -0.363974 -0.00642268 352.139 0.597248
72.9592 83.1284 119.828 0.896871 171.34 1.77254 1 13 1 414.768 0.0608702 -1.304 105.793 0.542728
120.29 35.7216 35.3371 -0.610259 42.1241 1.14661 1 13 1 411.178 -0.220865 -1.4059 126.216 0.622982
66.8479 132.433 191.175 -1.74075 561.769 -0.115359 1 13 1 409.588 -0.985291 3.133 143.899 0.647687
232.595 11.6508 51.2907 -0.986236 78.3234 -0.784499 1 11 1 359.267 -0.804774 2.42424 159.825 0.553044
208.098 38.6474 59.5189 -2.13542 255.3 -1.97161 1 13 1 466.868 -0.9116 0.839735 128.798 0.643013
135.148 19.2446 33.3872 0.186331 33.9685 -0.23946 1 11 1 337.696 -0.499448 2.62472 114.588 0.715004
105.703 53.3315 84.4908 -1.094 140.3 0.599035 1 11 1 397.383 0.0194265 -2.08462 100.86 0.504623
219.013 70.859 135.09 -0.926898 197.397 -1.57045 1 13 1 538.609 -0.92016 1.80043 204.403 0.683627
190.378 34.6433 64.6337 -1.89881 220.65 0.153645 1 11 1 472.092 -0.551544 2.94782 119.739 0.550754
37.0774 95.2178 96.6255 1.09488 160.563 2.90639 1 13 1 397.64 0.998908 0.250783 105.214 0.74454
91.6478 128.543 109.085 0.121232 109.888 1.69551 1 11 1 407.162 -0.0587626 -1.58391 219.85 0.748749
48.5817 14.6307 58.7849 0.18697 59.8155 -1.56694 1 13 1 365.409 0.584148 1.55556 102.809 0.728323
233.002 22.5372 97.6056 0.30997 102.332 2.35904 1 11 1 425.115 1.36892 -0.840339 220.698 0.438662
68.0288 82.5454 164.315 -1.62771 434.495 0.500118 1 13 1 315.371 -1.43688 -2.86974 102.657 0.448987
204.085 1.80027 41.0803 1.05418 66.1006 1.06417 1 13 1 400.405 1.56861 -1.88944 115.602 0.585164
43.0522 109.337 69.8382 -0.0752961 70.0363 -0.227185 1 13 1 325.058 -0.78929 -2.85572 104.642 0.373494
55.1416 93.8173 94.1391 -0.846207 129.904 -0.944034 1 11 1 318.974 -1.54411 2.02518 119.94 0.638628
227.587 56.3401 102.771 -0.333921 108.554 1.9668 1 11 1 351.109 0.0605398 -1.04384 102.54 0.695646
65.9525 44.9028 94.3507 1.96234 342.327 2.40014 1 11 1 388.322 1.91975 -0.292588 158.707 0.745431
410.254 75.6542 83.3537 -0.955983 124.433 -2.53644 1 11 1 514.704 0.178457 1.01896 122.563 0.406543
35.7295 84.9818 85.9675 0.36937 91.899 1.92803 1 13 1 526.017 -0.037426 -1.22225 126.25 0.556468
91.5116 8.2226 104.141 0.884397 147.593 1.59406 1 11 1 303.081 1.10873 -1.74443 107.098 0.680958
163.925 57.3899 101.114 -1.47295 232.124 -1.79442 1 13 1 327.192 -0.906045 1.01028 117.875 0.507731
131.163 68.3415 42.2239 -0.747615 54.584 0.616461 1 13 1 314.395 0.899864 2.882 115.657 0.668361
168.637 1.90336 145.548 0.603803 172.896 -2.20687 1 11 1 429.443 0.93582 0.778443 146.999 0.718141
68.3225 71.7685 116.977 -1.0939 194.229 -2.00567 1 11 1 364.464 0.394893 0.657319 152.633 0.497798
108.918 72.8906 34.1688 0.831043 46.6627 -1.8259 1 11 1 366.3 0.336194 2.10121 112.346 0.545408
170.653 30.0714 113.795 -0.859275 158.455 -1.33221 1 13 1 513.859 0.0226498 1.37201 106.344 0.622646
47.8096 92.7608 83.7328 -1.10732 140.532 -1.40558 1 11 1 334.606 -1.57743 1.43998 172.941 0.481119
144.419 3.15441 183.48 -0.836916 251.577 -2.09186 1 13 1 399.738 0.348167 1.27589 108.747 0.727394
182.959 50.7152 113.359 -0.405009 122.784 -0.552664 1 13 1 561.873 -0.257867 2.72507 299.355 0.173035
214.617 29.5645 66.7675 1.05876 107.819 -1.56091 1 11 1 508.513 0.09607 1.80993 124.435 0.696924
132.613 52.976 249.446 -0.0150254 249.474 0.864451 1 11 1 387.052 0.543809 -2.30988 188.611 0.536877
290.864 69.2309 65.0031 1.1135 109.641 -0.828647 1 11 1 397.917 0.772218 2.13225 165.058 0.664456
102.791 10.8172 48.9171 1.17864 87.0151 -1.68516 1 13 1 446.07 0.902741 1.40684 118.658 0.646818
99.8389 45.2641 67.5331 0.139153 68.188 2.69262 1 11 1 315.699 -0.0154999 -0.454754 194.052 0.414868
212.651 37.8336 82.97 0.58718 97.689 -2.38626 1 11 1 935.734 0.663311 0.272331 269.246 0.61432
57.8205 59.9287 52.417 -0.441686 57.6137 -1.98364 1 13 1 372.441 -0.335127 0.119917 101.954 0.708495
347.426 9.38159 111.485 -0.542749 128.312 -2.74141 1 13 1 319.627 1.53152 -0.13998 128.08 0.609699
223.991 41.0169 42.903 0.806488 57.6285 2.85752 1 13 1 431.152 -0.596803 -0.901715 153.822 0.719917
86.0618 74.4219 149.273 2.15234 650.918 -1.40462 1 13 1 301.265 1.28713 1.70958 107.666 0.673548
134.41 76.8553 71.7468 0.810716 96.645 -1.78666 1 11 1 386.879 0.664136 2.40662 133.024 0.569003
413.404 42.2276 64.3273 -0.274575 66.7674 2.78771 1 11 1 546.169 0.822342 -1.08837 117.078 0.663742
150.378 44.5855 149.697 -0.479573 167.244 -2.59476 1 11 1 397.374 -0.109457 0.241554 103.136 0.498803
34.6075 37.2269 45.4976 0.479363 50.8259 -2.3406 1 11 1 374.297 0.71289 1.56873 204.767 0.251181
104.399 84.0254 105.691 -0.226464 108.413 2.0997 1 11 1 678.635 0.948128 -1.38141 104.571 0.645452
43.5598 160.715 326.496 0.434487 357.802 2.8821 1 13 1 421.335 -0.539029 -0.179969 146.979 0.663601
77.5503 79.5557 128.175 -1.75403 381.377 2.29225 1 13 1 541.336 -1.42018 -1.19684 221.267 0.390106
34.5165 54.1301 40.5568 1.31317 80.8481 -2.7383 1 13 1 327.006 1.62421 -1.35593 109.574 0.678492
99.7089 48.8856 39.2187 -0.117834 39.4913 1.14101 1 11 1 361.631 -0.332857 -2.33567 142.95 0.568566
170.932 62.9063 191.428 0.0911601 192.224 1.8739 1 11 1 426.246 -0.985543 -0.900801 160.665 0.509903
298.245 62.6085 37.9143 0.0294855 37.9308 -1.49828 1 11 1 427.834 -0.428342 2.11939 264.558 0.230525
