etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
132.261 97.0356 62.641 1.63967 167.486 1.07503 1 13 1 352.39 1.3969 -1.05254 181.127 0.674493 1 296.806 1.03068 1 125.611 0.720631 0 352.39 1.3969 -1.05254 181.127 0.674493 0.841188
214.918 73.1997 126.112 -2.00804 478.152 -1.33459 1 11 1 441.788 1.45154 1.9933 137.329 0.637403 1 141.657 -1.27717 1 141.657 -1.27717 1735.75 715.39 -0.254328 0.670931 245.954 0.941734 0.906521
77.813 85.9989 129.155 0.428638 141.202 -2.64091 -1 11 1 332.005 0.285395 1.15463 136.663 0.559606 2 184.85 -0.408299 1 258.907 0.267979 0 332.005 0.285395 1.15463 136.663 0.559606 0.520707
119.654 78.8549 68.1322 -1.74053 200.166 2.51774 1 13 1 378.801 -1.38046 -1.01623 134.68 0.746691 1 233.796 -1.14161 2 233.796 -1.14161 706.457 378.801 -1.38046 -1.01623 134.68 0.746691 1.23288
77.2819 104.768 60.9771 1.30131 120.317 2.28935 1 11 1 485.841 0.693548 -0.409093 174.733 0.57876 1 162.414 0.974619 1 162.414 0.974619 693.667 848.175 -0.750728 2.67463 244.114 1.36146 1.1471
67.5835 76.4239 47.6594 -0.638129 57.697 1.45468 1 13 1 434.2 0.830023 -1.03023 178.541 0.593483 2 344.462 -0.895023 1 344.462 -0.895023 1159.74 434.2 0.830023 -1.03023 178.541 0.593483 1.2074
129.756 35.9952 268.102 0.399676 289.802 -2.2321 1 11 1 400.179 -0.531679 0.92942 131.111 0.722885 1 40.5129 -0.490765 1 49.6424 -0.24164 0 400.179 -0.531679 0.92942 131.111 0.722885 1.27201
109.268 35.8174 36.7461 2.20516 168.701 0.393788 1 13 1 384.119 -0.840008 -2.15184 143.665 0.614477 1 33.276 2.27453 1 33.276 2.27453 791.258 384.119 -0.840008 -2.15184 143.665 0.614477 0.973837
123.515 48.8279 71.3192 1.36159 148.295 0.51792 1 13 1 336.449 1.35829 -2.09226 150.699 0.618828 1 162.228 1.48113 1 266.013 1.39327 0 336.449 1.35829 -2.09226 150.699 0.618828 1.19658
108.083 71.073 69.1381 -0.0367302 69.1848 2.13726 1 13 1 313.993 -1.8399 -1.39496 111.042 0.565374 1 149.268 -0.603805 2 149.268 -0.603805 679.835 313.993 -1.8399 -1.39496 111.042 0.565374 0.334386
91.6425 24.2251 130.546 -1.01335 203.509 0.43366 1 11 1 561.942 -0.655679 -2.45601 163.895 0.72995 2 359.05 -1.09664 2 359.05 -1.09664 1096.69 1031.73 -1.77153 -1.6436 286.908 1.37073 0.811274
106.708 14.891 58.1944 0.4468 64.1004 -2.14777 1 13 1 411.695 -0.325503 1.10644 110.093 0.624222 3 194.79 1.54841 2 323.37 -0.413004 0 411.695 -0.325503 1.10644 110.093 0.624222 1.13156
49.4351 24.6933 261.645 0.0703223 262.292 -1.02103 1 11 1 373.451 1.01518 1.98541 108.554 0.518518 1 105.472 0.322374 1 190.92 0.687521 0 727.74 1.17367 0.799108 223.074 0.843367 1.61772
60.7651 50.5759 32.0888 0.464756 35.6174 0.884566 1 13 1 311.61 0.530116 -1.67863 128.82 0.676426 2 248.653 1.19828 1 248.653 1.19828 654.333 311.61 0.530116 -1.67863 128.82 0.676426 0.899229
130.183 93.9808 214.178 0.243147 220.54 -2.61528 1 11 1 687.018 1.07013 0.18385 139.395 0.656231 1 253.421 0.759081 1 253.421 0.759081 1202.06 1131.62 1.58371 -2.65313 298.983 0.856439 1.22542
92.3226 96.6189 223.45 0.115357 224.939 -0.417129 1 11 1 552.167 0.291131 -3.00836 158.415 0.655253 1 286.749 0.14776 1 286.749 0.14776 1075.67 1069.2 0.399459 -3.18617 284.47 1.2772 1.5113
214.905 30.4395 45.5978 -0.77984 60.1801 1.32938 1 11 1 376.216 -1.12714 -2.26134 162.502 0.367547 1 62.9428 -1.7851 1 68.0922 -0.334511 0 376.216 -1.12714 -2.26134 162.502 0.367547 1.22086
295.181 36.2937 46.38 0.145422 46.8713 -1.3124 1 11 1 333.952 -0.578781 2.22572 138.734 0.653498 1 33.2196 -0.234276 2 51.1481 -1.07254 364.383 333.952 -0.578781 2.22572 138.734 0.653498 1.35837
73.5971 132.928 139.006 0.0920933 139.596 1.82473 1 13 1 342.506 -0.387915 -1.60627 172.636 0.503605 3 96.7871 -0.220815 2 96.7871 -0.220815 619.55 342.506 -0.387915 -1.60627 172.636 0.503605 -1.19795
284.273 51.7012 312.888 0.658928 383.308 -0.785347 1 13 1 497.067 -0.211778 2.2432 102.469 0.260111 1 120.968 1.09944 2 120.968 1.09944 1062.01 497.067 -0.211778 2.2432 102.469 0.260111 0.48932
117.078 36.218 88.5121 -0.174545 89.8639 -1.48638 1 13 1 448.648 -1.49656 1.91399 132.071 0.585983 1 209.258 -0.526004 1 209.258 -0.526004 857.538 448.648 -1.49656 1.91399 132.071 0.585983 1.07533
20.3692 72.5573 76.2358 0.155751 77.1624 2.04525 1 11 1 313.648 -0.666758 -0.291903 101.866 0.713326 1 173.363 0.292078 2 260.51 -0.529814 630.449 313.648 -0.666758 -0.291903 101.866 0.713326 1.13661
139.165 17.8912 74.5399 -0.64033 90.3507 0.834799 1 11 1 396.716 0.592007 -1.8575 132.078 0.726888 3 190.763 -0.791325 2 190.763 -0.791325 819.238 674.604 -0.16965 -0.63494 212.099 1.49372 0.867002
