etmiss mtw lepton_1_pt lepton_1_eta lepton_1_E lepton_1_phi lep_charge lep_type TopLRjet_n largeRjet_pt largeRjet_eta largeRjet_phi largeRjet_m largeRjet_tau32
227.991 51.6251 85.2081 -2.00648 322.578 -0.730054 1 11 1 328.101 -0.554362 2.40687 127.275 0.47328
287.917 75.6822 34.9532 0.865776 48.8921 -0.797821 -1 11 1 313.091 1.4451 2.02603 140.937 0.522185
114.072 36.3776 245.705 -1.88392 826.948 -1.83741 -1 11 1 368.184 -1.69789 1.05566 161.228 0.655699
49.0889 39.6636 169.343 -0.0290391 169.415 -0.953416 -1 11 1 350.744 0.21677 2.43517 184.039 0.331275
207.915 38.6472 83.9392 1.20524 152.651 -1.60611 -1 13 1 337.438 -1.67984 2.07693 127.33 0.72281
1225.82 209.87 66.0723 -1.14942 114.74 -1.61941 1 13 1 1107.52 1.06946 0.217959 266.947 0.733966
389.583 68.206 72.8741 0.506945 82.4406 2.62567 -1 13 1 508.192 -0.538296 -0.66962 125.211 0.686183
130.358 39.8801 469.119 -2.11559 1973.82 -0.65702 -1 11 1 799.011 -0.336831 2.40269 189.164 0.296183
48.3209 65.7934 239.85 0.49176 269.44 0.0994216 1 13 1 492.066 -0.557879 -2.89829 133.787 0.609199
189.009 71.9258 58.3991 -1.8075 182.767 1.64214 1 11 1 924.124 -0.449428 -2.06154 202.347 0.601607
615.678 52.9767 311.113 0.826577 423.585 -0.812048 -1 11 1 1313.63 0.237568 2.12456 304.818 0.597788
90.4031 143.159 66.3795 0.685249 82.5839 -1.83082 1 13 1 360.012 -1.01621 -0.245528 157.721 0.61449
117.343 75.1372 486.698 0.710187 614.681 -0.907244 -1 13 1 380.027 0.568893 1.6618 176.656 0.378816
186.784 6.09916 71.544 -1.39646 153.402 -0.321538 -1 13 1 368.046 1.61566 -2.88504 163.416 0.562956
75.9238 75.6999 132.859 0.504633 150.137 -0.206013 1 13 1 337.603 -0.74698 2.69303 104.651 0.722337
526.492 0.100677 82.92 1.04287 132.249 3.02327 -1 11 1 553.991 0.408978 0.156228 153.011 0.471971
73.1917 36.0867 120.814 -0.00574835 120.816 -2.13979 1 11 1 344.856 -0.405167 0.789552 118.109 0.381353
79.7183 86.4611 68.6478 2.39366 379.1 1.62404 1 13 1 316.501 0.125203 -2.01922 100.28 0.624474
146.857 52.0344 79.2899 -0.471415 88.2647 0.170962 -1 13 1 431.961 -0.464861 -1.79825 144.808 0.640549
82.3675 86.7011 166.055 -0.668708 204.587 2.77298 -1 13 1 320.589 -1.21629 -1.26245 148.699 0.512352
98.9752 66.3161 101.087 -0.519553 115.04 -0.376548 -1 13 1 347.376 -0.246742 2.82606 146.37 0.53747
174.909 92.2701 33.3123 -0.826212 45.3441 2.82325 1 13 1 323.288 1.2556 0.859735 199.141 0.476732
24.4561 81.86 74.5105 -0.491915 83.7088 1.3711 -1 11 1 302.087 0.322857 -1.28888 155.267 0.315555
36.3559 114.683 94.1686 -0.571192 109.953 1.53841 -1 11 1 383.758 0.870258 -0.00866208 166.964 0.395718
182.876 8.57423 160.357 0.842981 220.789 1.88556 -1 13 1 419.658 1.06103 -0.771001 140.694 0.70527
161.806 53.7241 158.157 1.96156 573.402 -1.39308 -1 11 1 644.707 0.116481 1.64336 214.816 0.577132
162.542 18.6745 151.861 1.12757 259.073 1.55795 -1 11 1 571.741 -0.791896 -1.83355 119.69 0.627741
129.217 127.071 35.2049 -0.131304 35.5088 2.64765 -1 11 1 420.371 -0.815746 0.449221 100.849 0.621296
83.7807 103.286 112.418 2.10416 467.781 3.13845 -1 11 1 355.775 -0.412895 0.73978 160.48 0.440254
90.0905 90.933 85.9043 -0.743692 110.775 0.106225 -1 11 1 317.357 -0.786978 2.65149 154.829 0.561136
