,ID,etmiss,mtw,leadleptPt,leadleptEta,leadleptE,leadleptPhi,Q_leadlep,leadleptID,n_TopLRjets,leadTopLRjet_pt,leadTopLRjet_eta,leadTopLRjet_phi,leadTopLRjet_m,leadTopLRjet_Tau32,n_jets,leadjet_pt,leadjet_eta,n_bjets,leadbjet_pt,leadbjet_eta,ttbarMLR,largeRjet_pt_total,largeRjet_eta_total,largeRjet_phi_total,largeRjet_m_total,largeRjet_tau32_total,weight,scale,label
0,signal,284.007,51.4513,158.295,0.12575,159.548,0.24657,-1,13,1,434.907,0.00379473,-3.10585,172.235,0.263504,1,38.0315,0.35675,2,113.957,-0.506365,616.923,434.907,0.00379473,-3.10585,172.235,0.263504,0.0,0.0567221,1
1,signal,194.795,100.979,58.2204,-0.676782,72.0706,-0.338934,1,11,1,373.238,0.0313075,-2.60612,158.346,0.46214,2,113.602,-0.782036,1,113.602,-0.782036,571.721,373.238,0.0313075,-2.60612,158.346,0.46214,0.0,0.0567221,1
2,signal,248.782,68.835,44.5272,-0.3111,46.6994,3.06682,-1,11,1,403.84,0.685499,0.631162,175.933,0.290648,1,75.9613,-0.424305,2,138.937,0.266056,536.674,403.84,0.685499,0.631162,175.933,0.290648,0.0,0.0567221,1
3,signal,98.7296,19.8922,261.851,0.385745,281.575,-2.18472,1,13,1,472.371,0.0486113,0.576137,223.665,0.428973,2,130.597,0.411122,2,130.597,0.411122,921.435,472.371,0.0486113,0.576137,223.665,0.428973,0.0,0.0567221,1
4,signal,248.705,32.914,149.741,1.61744,392.216,-1.36159,1,11,1,420.366,0.136872,1.32852,121.342,0.496269,1,68.7368,2.20407,2,68.7368,2.20407,853.772,420.366,0.136872,1.32852,121.342,0.496269,0.00230388,0.0567221,1
5,signal,190.222,32.8977,124.286,0.634557,150.159,-0.896825,1,11,1,318.991,0.623246,2.86891,128.299,0.423525,1,136.877,0.0702157,1,136.877,0.0702157,610.753,570.57,1.00196,2.27736,248.233,1.02684,0.360065,0.0567221,1
6,signal,162.815,24.865,42.4513,0.41922,46.2367,-1.64791,-1,13,1,414.73,1.32733,1.42156,141.674,0.329612,1,200.369,1.32154,1,71.6547,1.62656,0.0,414.73,1.32733,1.42156,141.674,0.329612,1.34292,0.0567221,1
7,signal,110.842,10.8379,208.609,1.3084,414.142,1.65616,-1,11,1,436.416,1.5782,-1.71059,175.255,0.309743,1,204.159,0.964909,2,204.159,0.964909,903.641,877.481,2.739,-0.163979,271.08,0.939397,1.14623,0.0567221,1
8,signal,168.183,55.1524,70.723,-0.208902,72.2718,-2.72494,1,11,1,535.859,1.23715,1.09665,202.342,0.683482,1,259.015,-1.20841,2,259.015,-1.20841,1488.83,793.164,0.0371612,-0.99155,252.526,1.4384,0.572579,0.0567221,1
9,signal,39.5592,52.9487,287.253,0.26242,297.2,0.120173,-1,13,1,359.83,-0.920795,-2.77506,182.7,0.446452,2,51.8836,-0.0144032,1,61.1311,-1.21987,0.0,359.83,-0.920795,-2.77506,182.7,0.446452,1.56032,0.0567221,1
10,signal,292.78,107.737,221.356,-1.06357,358.809,-1.05382,1,13,1,488.786,-1.10996,2.24714,100.042,0.395248,1,88.8833,-1.75065,2,447.404,-0.990822,805.727,488.786,-1.10996,2.24714,100.042,0.395248,0.842587,0.0567221,1
11,signal,289.23,16.7756,145.146,-0.643993,176.299,2.17815,1,11,1,501.642,-0.590448,-0.930158,176.28,0.567605,1,39.4205,-1.25065,2,186.435,-0.265214,646.97,501.642,-0.590448,-0.930158,176.28,0.567605,0.912272,0.0567221,1
12,signal,88.3803,16.5261,206.749,-0.370919,221.135,0.158329,-1,13,1,408.041,-0.217052,-2.97723,168.944,0.220409,2,149.176,-0.664675,2,149.176,-0.664675,807.175,408.041,-0.217052,-2.97723,168.944,0.220409,0.555386,0.0567221,1
13,signal,119.562,24.7432,161.522,-0.261898,167.094,1.24824,-1,13,1,381.101,-1.52943,-2.07514,167.577,0.293531,1,137.037,-0.234644,2,143.789,-1.80241,837.802,381.101,-1.52943,-2.07514,167.577,0.293531,0.518163,0.0567221,1
14,signal,228.61,74.3405,142.407,-0.647631,173.33,3.07837,-1,11,1,410.066,-1.13535,0.0604023,170.337,0.375488,1,67.5212,-0.000221573,2,164.395,-0.685699,655.271,410.066,-1.13535,0.0604023,170.337,0.375488,0.583742,0.0567221,1
15,signal,192.742,17.6741,224.141,-0.730488,286.651,2.97906,1,13,1,412.459,0.025689,-0.257812,106.218,0.710291,1,37.5393,-1.26663,1,257.939,-0.0341006,0.0,412.459,0.025689,-0.257812,106.218,0.710291,1.38931,0.0567221,1
16,signal,180.146,55.1258,60.5523,0.900843,86.8292,0.834438,1,13,1,428.36,0.183359,-2.75842,170.578,0.395253,1,150.778,1.33997,1,86.6852,0.333861,0.0,428.36,0.183359,-2.75842,170.578,0.395253,1.53992,0.0567221,1
