etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
55.1811 25.0117 284.359 0.873878 400.024 -0.657148 -1 11 1 325.665 1.01046 2.81897 114.801 0.648906 2 52.7769 0.875013 1 210.44 1.25896 0 325.665 1.01046 2.81897 114.801 0.648906 2.32555
245.697 87.3346 74.2635 0.689966 92.6526 1.10671 1 11 1 355.314 0.638658 -1.35771 104.913 0.631278 1 90.3735 2.19814 1 99.918 0.886257 0 355.314 0.638658 -1.35771 104.913 0.631278 1.40145
140.065 65.7655 84.459 -0.195363 86.0759 0.260783 -1 11 1 567.083 -0.655928 -2.48595 310.083 0.42616 3 247.45 0.72151 1 192.026 -0.412232 0 963.659 -0.207611 -2.01964 500.602 0.568792 1.74574
94.2467 100.348 206.569 1.33092 418.174 0.722533 1 11 1 337.468 -1.97917 -2.02902 128.495 0.702299 4 85.2372 1.99661 1 39.7285 -1.8791 0 615.998 -0.406832 -1.4323 207.407 1.31524 1.77455
173.181 64.199 111.197 -1.56102 276.524 -2.7524 -1 11 1 337.352 0.399157 0.665286 136.644 0.740782 1 38.2384 -2.14941 1 146.268 0.00159394 0 337.352 0.399157 0.665286 136.644 0.740782 1.73986
154.992 24.1571 215.27 -0.650217 262.403 1.99133 1 11 1 391.966 -1.59423 -1.3189 117.875 0.632158 1 75.9338 -1.27932 1 324.668 -1.60806 0 676.052 -2.42845 0.579754 203.513 1.09925 2.21065
72.9957 52.0576 104.118 -0.302461 108.917 0.405252 1 11 1 359.498 1.85832 -2.46476 127.272 0.70596 1 148.093 -1.35762 1 223.723 1.56451 0 359.498 1.85832 -2.46476 127.272 0.70596 1.59687
167.977 94.7492 156.405 -0.832334 213.783 -0.00969737 1 11 1 331.016 -0.721468 2.88215 101.404 0.617738 1 35.7947 -0.351863 1 192.081 -0.500106 0 331.016 -0.721468 2.88215 101.404 0.617738 1.38632
133.343 104.773 215.372 -0.538816 247.399 -1.83534 -1 11 1 345.415 0.257341 1.5164 163.295 0.654554 1 45.1962 0.374096 1 34.6933 0.389125 0 345.415 0.257341 1.5164 163.295 0.654554 1.6408
172.033 32.5508 257.632 -1.15038 447.752 -2.48879 -1 11 1 403.503 -0.41213 0.383419 163.19 0.642988 2 113.803 -1.42886 1 113.803 -1.42886 868.043 755.339 -1.49366 -2.10663 274.437 0.855526 1.83399
