etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
266.094 12.3117 112.743 -0.0642558 112.976 -2.16076 -1 11 1 419.396 0.652835 0.98958 167.261 0.51351 1 53.9218 -0.263494 1 89.5844 0.0103236 0 419.396 0.652835 0.98958 167.261 0.51351 0.706596
57.8824 48.675 76.6848 0.151104 77.5619 2.58485 -1 11 1 414.43 0.875347 0.394674 106.403 0.713532 3 395.52 1.06191 1 38.4924 0.135103 0 414.43 0.875347 0.394674 106.403 0.713532 1.08642
351.444 65.0316 121.33 -1.9844 449.659 -0.310858 1 11 1 485.828 -1.0934 3.00789 160.469 0.726401 1 31.155 -1.36813 1 156.76 -0.619915 0 485.828 -1.0934 3.00789 160.469 0.726401 1.3546
133.189 74.8159 69.4953 0.908842 100.228 2.34568 1 11 1 348.046 0.529345 -1.37849 125.692 0.302616 1 146.516 0.249379 1 146.516 0.249379 580.307 348.046 0.529345 -1.37849 125.692 0.302616 0.691303
286.762 44.0126 152.405 -1.02868 240.408 -3.01531 -1 11 1 436.211 1.01294 -0.0763764 110.746 0.395113 1 121.356 -1.07926 1 368.094 0.951135 0 436.211 1.01294 -0.0763764 110.746 0.395113 1.18078
42.4044 84.1931 51.8737 -2.44842 302.332 -0.871832 -1 11 1 390.865 0.611649 0.50408 140.41 0.721309 1 392.143 -1.57926 1 276.669 0.692617 0 790.926 -0.946854 -2.14052 208.514 1.1427 1.05877
428.827 82.7384 138.836 1.77212 420.207 0.519734 1 11 1 596.752 -0.233134 -2.82689 175.22 0.521849 1 65.0231 0.325879 1 576.811 -0.286398 0 596.752 -0.233134 -2.82689 175.22 0.521849 1.10331
50.7679 112.788 67.8238 1.91172 234.418 -0.223743 -1 11 1 328.656 -0.0411002 -2.89345 139.411 0.494896 2 137.512 1.08527 1 137.512 1.08527 700.594 613.02 1.34988 -2.96121 283.638 0.925275 1.06062
118.323 108.144 76.0732 -1.54671 186.72 -3.03178 1 11 1 372.816 -1.81515 0.591897 193.836 0.631617 1 230.64 -0.584757 1 40.3735 -1.79234 0 697.088 -2.70791 -2.29752 356.64 1.06656 1.53205
68.7981 27.1614 86.7275 0.207461 88.6006 1.54988 1 11 1 309.398 0.676716 -1.87071 151.878 0.415548 1 211.023 -0.330236 1 253.077 0.490102 0 589.999 0.528498 -0.799352 281.519 1.11595 1.18112
116.206 39.3626 85.134 1.90754 293.071 1.63755 1 11 1 502.876 -0.536346 -0.526538 145.306 0.617123 1 342.086 1.27918 1 342.086 1.27918 1431.13 502.876 -0.536346 -0.526538 145.306 0.617123 1.31218
31.7962 31.5932 57.2925 -1.07629 93.8061 1.42196 1 11 1 433.329 0.0506471 -1.23414 254.724 0.456379 1 407.955 0.484838 1 407.955 0.484838 1035.32 433.329 0.0506471 -1.23414 254.724 0.456379 1.59582
108.244 64.4488 59.0511 1.52878 142.589 -0.251205 1 11 1 321.19 0.383736 -2.72478 123.263 0.63906 1 254.834 0.52266 1 283.164 0.279782 0 321.19 0.383736 -2.72478 123.263 0.63906 0.917607
