etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
148.708 71.1339 103.72 0.0936019 104.174 0.421701 1 13 1 590.506 -1.18767 -2.41156 152.608 0.6151 2 223.255 -0.771248 1 82.1034 -1.9697 0 590.506 -1.18767 -2.41156 152.608 0.6151 1.00803
311.458 68.7688 97.0042 -0.684836 120.655 -2.07741 1 13 1 399.928 -1.51138 0.864422 114.593 0.395645 1 40.3425 -0.705203 1 291.613 -1.60459 0 399.928 -1.51138 0.864422 114.593 0.395645 0.996566
194.787 47.8823 63.5584 -0.466893 70.6127 0.508132 1 13 1 556.457 -1.26876 -2.28231 283.424 0.698766 4 189.61 -1.58519 1 340.66 -1.32464 0 556.457 -1.26876 -2.28231 283.424 0.698766 1.80709
32.7329 46.3657 160.283 0.28169 166.684 -0.339398 -1 13 1 629.147 -1.33495 2.29088 236.361 0.646745 1 528.34 -0.489019 1 528.34 -0.489019 1571.58 1159.2 -1.82766 1.2329 314.166 1.31618 0.878818
97.1238 11.1074 231.055 -1.39229 493.598 0.24549 1 13 1 327.099 -0.124816 -2.82194 132.639 0.565537 1 48.6623 -0.13036 1 62.9193 0.409981 0 327.099 -0.124816 -2.82194 132.639 0.565537 2.13612
132.025 95.9516 249.107 1.27151 479.111 1.13098 -1 13 1 353.416 -0.488598 -2.37603 161.474 0.340371 1 60.6159 -0.0140564 1 107.032 -0.52471 0 353.416 -0.488598 -2.37603 161.474 0.340371 1.8445
105.716 54.9431 194.512 0.592861 229.709 -2.1714 -1 13 1 356.061 -0.0479678 1.30412 131 0.5735 2 47.5002 0.91247 1 63.3011 0.0540309 0 356.061 -0.0479678 1.30412 131 0.5735 0.887829
89.8299 173.991 116.544 -0.591075 137.502 -2.40354 -1 13 1 311.663 1.01275 2.19845 104.488 0.693149 2 198.875 -0.0411389 1 198.738 0.999588 0 568.73 0.750652 1.46868 210.241 1.29563 0.794246
266.917 77.3978 160.334 1.81655 506.112 -2.27179 -1 13 1 433.219 1.55668 0.57301 104.588 0.619506 1 46.3164 2.08371 1 413.987 1.51346 0 433.219 1.55668 0.57301 104.588 0.619506 0.898355
174.268 67.3918 72.6007 1.22979 134.778 -0.300481 1 13 1 329.021 -0.947562 2.77912 107.512 0.693894 2 63.3853 1.94047 1 63.3853 1.94047 825.979 329.021 -0.947562 2.77912 107.512 0.693894 0.285666
172.936 56.6814 57.374 -1.23015 106.544 -1.72383 1 13 1 322.317 -1.30284 1.25813 107.698 0.684064 1 127.413 0.329109 1 127.413 0.329109 636.617 322.317 -1.30284 1.25813 107.698 0.684064 3.08791
193.141 31.2485 126.054 -1.31174 250.973 -1.86899 1 13 1 341.181 -0.602195 0.931311 128.724 0.411791 1 49.622 -2.11314 1 67.337 -1.24393 0 341.181 -0.602195 0.931311 128.724 0.411791 1.92352
114.465 76.4128 272.005 1.64328 729.713 0.0988366 -1 13 1 362.55 1.67494 3.02598 167.422 0.735425 1 68.0191 0.108639 1 137.164 1.13776 0 362.55 1.67494 3.02598 167.422 0.735425 2.02887
110.563 8.53228 57.3621 1.79671 177.696 -2.1205 1 13 1 332.529 0.207401 1.35604 154.221 0.590751 1 76.5097 0.658873 1 70.6695 -0.536836 0 332.529 0.207401 1.35604 154.221 0.590751 0.997706
59.4674 17.366 245.201 -0.148999 247.927 2.0926 -1 13 1 356.771 0.494578 -0.813853 113.848 0.507556 1 41.8288 0.407933 1 73.6897 -0.0471378 0 356.771 0.494578 -0.813853 113.848 0.507556 1.69385
218.733 46.0135 73.1702 1.12772 124.842 0.219057 1 13 1 344.318 0.721972 3.08891 143.553 0.454103 1 40.5257 1.13313 1 193.853 0.686691 0 344.318 0.721972 3.08891 143.553 0.454103 1.97037
25.2447 123.098 311.764 -0.575923 364.913 1.97019 -1 13 1 360.281 0.327222 -1.22241 116.181 0.357887 2 42.3549 -0.779333 2 159.046 0.505274 0 360.281 0.327222 -1.22241 116.181 0.357887 2.05484
74.5616 2.9688 277.339 1.24416 521.147 1.20266 -1 13 1 380.697 0.994449 -2.0374 128.531 0.661865 1 67.4813 -0.313293 1 51.3771 0.483362 0 380.697 0.994449 -2.0374 128.531 0.661865 1.99988
228.553 95.5913 31.8009 -0.765601 41.5852 -0.139145 -1 13 1 524.973 -0.900821 1.95004 125.314 0.528302 3 243.062 -0.383504 1 243.062 -0.383504 786.419 524.973 -0.900821 1.95004 125.314 0.528302 0.800158
254.199 67.473 46.7085 -0.451437 51.5494 2.77652 1 13 1 353.411 -0.608626 -1.10239 117.199 0.671028 1 63.2851 -2.1027 1 323.664 -0.554934 0 353.411 -0.608626 -1.10239 117.199 0.671028 1.5681
30.6287 31.3349 184.997 -0.869634 259.472 -0.917464 1 13 1 340.455 -1.17291 2.40005 101.673 0.410913 2 143.871 0.41189 1 143.871 0.41189 823.254 340.455 -1.17291 2.40005 101.673 0.410913 0.857078
38.9701 69.6983 242.854 -0.37171 259.826 2.83663 1 13 1 303.397 0.828653 -0.542559 105.867 0.665744 1 129.667 -0.999612 1 129.667 -0.999612 884.846 303.397 0.828653 -0.542559 105.867 0.665744 2.02822
92.4208 10.3639 168.665 0.765061 220.482 2.97933 -1 13 1 325.88 0.727462 0.228191 166.04 0.39265 2 51.8635 0.57241 1 242.35 0.529175 0 325.88 0.727462 0.228191 166.04 0.39265 0.85974
295.595 16.8489 84.0668 -1.4506 189.154 -2.68464 -1 13 1 436.25 -0.781768 0.526321 178.19 0.55413 1 61.3724 -1.99465 1 355.448 -0.93465 0 436.25 -0.781768 0.526321 178.19 0.55413 1.34024
129.113 48.489 145.798 -0.345344 154.579 -0.715494 1 13 1 324.588 0.188521 2.58741 122.006 0.615407 1 38.3222 0.824592 1 137.795 -0.0445672 0 324.588 0.188521 2.58741 122.006 0.615407 1.4551
177.819 99.8233 185.913 1.62715 491.352 -2.4289 1 13 1 365.067 -0.0358054 0.450414 141.048 0.566726 2 42.6014 -0.319192 1 31.8184 -0.494281 0 365.067 -0.0358054 0.450414 141.048 0.566726 2.14959
118.542 41.303 277.26 -1.66476 758.807 3.02065 -1 13 1 404.394 -0.124042 -0.085872 144.142 0.481712 1 39.9407 -0.185717 1 39.9407 -0.185717 962.887 404.394 -0.124042 -0.085872 144.142 0.481712 0.994357
131.577 80.8499 155.52 -1.62598 410.582 2.20418 1 13 1 352.667 -0.642817 -0.803757 160.367 0.716911 1 69.6545 -1.94102 1 31.5817 -0.819473 0 352.667 -0.642817 -0.803757 160.367 0.716911 1.55926
98.4674 29.5556 104.399 -0.350974 110.896 -0.555899 1 13 1 309.228 -0.963131 2.23083 103.562 0.500926 1 58.5899 0.727617 1 40.9252 -0.446443 0 309.228 -0.963131 2.23083 103.562 0.500926 0.96392
218.224 74.4751 163.343 2.21986 760.743 0.815122 1 13 1 381.947 -0.905857 -2.68053 183.664 0.665016 1 46.0812 1.69694 1 298.88 -0.721749 0 381.947 -0.905857 -2.68053 183.664 0.665016 1.03188
113.323 96.2333 165.225 1.25928 314.483 1.0998 1 13 1 347.584 1.44505 -2.09953 156.608 0.319837 1 72.8536 0.258491 1 75.8084 1.4613 0 347.584 1.44505 -2.09953 156.608 0.319837 0.282525
