etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
55.6961 131.615 241.24 0.221193 247.165 -0.955435 1 13 1 437.841 -1.57947 1.86555 102.323 0.635811 2 147.331 -0.753407 1 147.331 -0.753407 1104.9 437.841 -1.57947 1.86555 102.323 0.635811 1.10266
90.3659 96.62 177.813 1.1614 311.835 2.50253 1 13 1 426.31 0.459159 -0.175884 109.519 0.530533 1 209.79 0.289961 1 209.79 0.289961 869.917 426.31 0.459159 -0.175884 109.519 0.530533 1.21962
31.2717 163.998 219.962 -1.56179 547.385 -1.99231 1 13 1 321.711 -1.38667 0.936192 103.58 0.466087 1 240.713 -2.4436 2 94.7653 0.506525 0 321.711 -1.38667 0.936192 103.58 0.466087 1.69443
83.1691 115.843 72.3533 0.543736 83.3151 -2.80657 1 13 1 316.579 -0.505999 1.81184 170.127 0.533408 2 201.475 0.615364 1 120.919 -0.546476 0 316.579 -0.505999 1.81184 170.127 0.533408 0.890145
53.2961 74.8736 32.89 -1.87031 109.267 1.05826 -1 13 1 346.108 1.43381 -2.36963 101.731 0.69864 1 310.028 -0.822886 2 234.91 1.56152 0 346.108 1.43381 -2.36963 101.731 0.69864 0.573222
111.44 172.666 410.084 -1.95009 1470.48 -2.8832 -1 13 1 429.276 -0.728101 0.371527 111.938 0.694711 1 95.2353 -0.219139 1 135.932 -0.477402 0 429.276 -0.728101 0.371527 111.938 0.694711 1.58956
63.9767 36.236 80.5363 2.21537 373.442 2.96979 1 13 1 337.193 1.31523 -0.211275 114.137 0.645827 1 153.081 0.842382 1 153.081 0.842382 635.248 337.193 1.31523 -0.211275 114.137 0.645827 0.619215
67.3351 33.1298 45.2652 0.490837 50.8284 -0.13274 1 13 1 325.845 -1.21447 3.03008 179.197 0.688923 1 212.262 0.516757 1 97.6146 -1.78623 0 325.845 -1.21447 3.03008 179.197 0.688923 4.44901
243.226 24.0232 44.7956 1.81569 141.287 1.99854 1 13 1 507.995 -0.211148 -0.293697 121.722 0.65514 2 374.561 0.680677 1 42.8233 -0.0311474 0 507.995 -0.211148 -0.293697 121.722 0.65514 0
85.4137 93.9256 39.061 1.3494 80.3585 2.26274 -1 13 1 364.162 1.47334 -0.354303 118.288 0.543655 3 163.832 2.25554 2 284.96 1.54295 0 364.162 1.47334 -0.354303 118.288 0.543655 0
42.2463 70.7173 54.7964 1.93219 193.142 -2.9347 -1 13 1 353.174 1.44875 -0.0666589 209.895 0.420657 2 266.39 1.49815 1 121.789 1.05541 0 353.174 1.44875 -0.0666589 209.895 0.420657 1.24886
99.348 330.774 309.465 0.889951 440.32 0.839379 -1 13 1 327.195 -1.50143 -1.63292 113.567 0.622558 3 161.666 -0.447906 1 72.6922 -1.42154 0 327.195 -1.50143 -1.63292 113.567 0.622558 7.33925
208.82 1.52265 67.2329 -0.458599 74.4277 1.00404 1 13 1 467.626 1.11941 -2.42484 207.868 0.673969 1 212.68 -0.974436 2 54.6658 0.274272 0 467.626 1.11941 -2.42484 207.868 0.673969 1.22837
225.704 85.5076 165.677 -1.6052 429.08 -0.532406 -1 13 1 422.111 -1.10226 3.01857 136.344 0.408913 1 120.005 -1.04613 1 46.4339 -0.574897 0 422.111 -1.10226 3.01857 136.344 0.408913 1.39404
39.4221 24.6667 44.394 -1.49325 103.797 2.41904 -1 13 1 325.655 0.544967 -1.05582 150.002 0.640536 1 195.627 -1.87312 1 197.119 0.503023 0 325.655 0.544967 -1.05582 150.002 0.640536 1.17951
27.6844 65.2332 38.659 -1.15313 67.3391 -0.957735 -1 13 1 300.699 -0.348581 -2.5484 136.857 0.549217 4 296.793 -1.06583 1 56.7557 0.0792086 0 300.699 -0.348581 -2.5484 136.857 0.549217 0.579846
37.2071 87.8826 417.96 -1.10526 700.318 0.566367 -1 13 1 416.827 0.958575 -2.51015 186.974 0.658992 1 68.8501 -0.794425 1 134.425 0.905592 0 416.827 0.958575 -2.51015 186.974 0.658992 0.592912
248.523 69.8108 107.938 0.487059 120.996 0.466 -1 13 1 376.402 0.717373 -2.62464 106.317 0.468052 2 109.633 -0.0130243 1 274.962 0.752634 0 376.402 0.717373 -2.62464 106.317 0.468052 0.275274
96.6739 71.0625 88.5871 -1.37577 186.51 1.2106 1 13 1 384.006 -1.16919 -2.62774 138.757 0.699103 2 131.366 -0.792896 1 131.366 -0.792896 609.787 384.006 -1.16919 -2.62774 138.757 0.699103 0.730036
137.494 82.8965 329.61 -1.96153 1194.98 -0.545947 -1 13 1 413.156 -0.421581 2.37446 211.85 0.538595 2 39.2511 -0.853475 1 240.319 -0.724914 0 413.156 -0.421581 2.37446 211.85 0.538595 1.32712
112.367 96.1098 124.87 -0.604564 148.394 1.94251 -1 13 1 370.121 0.467425 -0.582554 108.789 0.364057 2 127.45 -0.642402 2 252.712 0.356509 0 370.121 0.467425 -0.582554 108.789 0.364057 1.48205
178.843 83.2974 116.05 2.27814 572.181 1.62432 1 13 1 335.285 1.01294 -1.66999 127.027 0.707961 1 289.588 0.71711 1 275.163 0.851721 0 335.285 1.01294 -1.66999 127.027 0.707961 1.17377
59.1943 184.497 202.689 0.699756 254.372 2.17403 1 13 1 320.388 -0.752617 -1.72132 185.108 0.651429 2 226.785 1.5998 1 178.31 -0.382888 0 320.388 -0.752617 -1.72132 185.108 0.651429 1.43641
219.188 98.4686 200.404 -1.94945 718.166 1.91837 1 13 1 450.651 -0.768508 -1.15706 139.132 0.731206 1 59.5622 -1.20066 1 190.728 -0.875392 0 450.651 -0.768508 -1.15706 139.132 0.731206 1.17005
99.3778 97.8246 41.2772 1.4878 96.0359 -2.50046 1 13 1 300.993 1.42216 0.48618 103.414 0.409075 3 178.873 0.657727 1 147.871 1.6479 0 300.993 1.42216 0.48618 103.414 0.409075 3.49933
33.4195 67.2753 89.9199 2.12928 383.408 -2.51565 -1 13 1 303.175 -0.838008 0.0797991 192.266 0.555134 1 219.432 0.996784 1 91.9558 -0.198298 0 303.175 -0.838008 0.0797991 192.266 0.555134 1.11991
