etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
240.496 77.9229 111.44 -1.85656 365.408 1.3221 1 11 1 372.821 -0.187375 -2.11892 105.668 0.55526 1 33.698 -1.35137 1 367.407 -0.20925 0 372.821 -0.187375 -2.11892 105.668 0.55526 1.20801
192.024 25.2596 98.5909 -1.21713 181.09 1.29334 1 11 1 619.465 -1.1987 -1.83562 101.728 0.646758 1 319.14 -0.0983195 1 319.14 -0.0983195 1167.21 619.465 -1.1987 -1.83562 101.728 0.646758 0.664648
203.287 36.0094 143.093 -1.26225 273.048 1.41139 1 13 1 310.657 -0.706743 -1.46571 101.129 0.686942 1 57.4009 -1.1584 1 265.2 -0.522615 0 310.657 -0.706743 -1.46571 101.129 0.686942 0.613693
219.294 17.6861 195.235 -0.0397311 195.389 2.71108 1 11 1 346.378 1.70945 -0.042475 126.839 0.616892 1 71.3637 -0.342253 1 112.827 1.21172 0 625.86 1.593 2.7547 200.736 0.954487 1.16198
176.544 8.71222 136.337 0.84279 187.691 2.97994 -1 11 1 323.037 -0.441733 -0.142705 169.524 0.687083 1 56.8718 1.99824 2 227.075 -0.408984 0 323.037 -0.441733 -0.142705 169.524 0.687083 1.2405
78.1701 75.2569 153.721 1.74929 455.351 -2.86604 1 11 1 307.86 0.738771 0.587885 101.644 0.339555 1 122.912 1.13097 2 49.8975 0.0458095 0 558.914 2.3636 -2.0114 227.403 -0.660445 -1.33895
187.047 13.9051 37.9556 -0.107949 38.177 1.37666 -1 11 1 301.858 -1.50519 -1.7184 119.059 0.65944 1 49.1786 -0.895947 2 88.6017 -1.76347 394.524 301.858 -1.50519 -1.7184 119.059 0.65944 0.976034
290.746 26.4315 49.854 2.2865 247.825 2.68872 -1 13 1 360.728 -0.0692195 -0.227393 107.207 0.573022 1 30.9542 0.642648 1 30.9542 0.642648 550.373 360.728 -0.0692195 -0.227393 107.207 0.573022 0.695711
227.327 66.5791 75.2621 -0.182432 76.518 0.650621 -1 13 1 352.912 -0.158879 -2.13253 106.375 0.668612 1 63.0048 -1.23364 1 33.3543 -0.639154 0 352.912 -0.158879 -2.13253 106.375 0.668612 1.04173
310.902 18.0342 30.114 -0.814892 40.6784 -1.9641 1 13 1 815.141 -1.23379 1.10192 149.889 0.497504 1 146.831 -0.447201 1 146.831 -0.447201 710.319 815.141 -1.23379 1.10192 149.889 0.497504 1.11344
