etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
37.5691 58.3698 70.791 -1.80864 221.789 1.82436 1 11 1 487.115 -0.00596382 -1.07606 145.631 0.412958 2 318.887 -2.23014 2 328.577 -0.0899346 0 487.115 -0.00596382 -1.07606 145.631 0.412958 1.30265
350.325 49.7052 135.585 -0.602209 160.922 -1.2759 1 11 1 398.284 -0.290326 1.57054 162.707 0.634108 1 32.3537 -2.38077 1 35.6205 -0.0663743 0 398.284 -0.290326 1.57054 162.707 0.634108 0.98061
283.269 54.2661 67.9112 -1.84512 220.266 1.32149 1 11 1 391.986 1.1342 -2.15978 114.868 0.688317 1 36.444 -1.36513 1 340.681 1.06408 0 391.986 1.1342 -2.15978 114.868 0.688317 0.57721
82.0959 40.4465 37.227 2.15816 163.254 -2.32821 1 13 1 305.148 -1.7132 1.78421 165.915 0.56639 2 243.293 1.68251 1 135.64 -1.53087 0 305.148 -1.7132 1.78421 165.915 0.56639 1.33623
176.553 143.119 242.835 -0.795015 323.705 0.62673 1 13 1 415.83 -1.76536 -2.27821 121.516 0.732843 1 128.544 -0.733043 2 381.322 -1.70594 0 415.83 -1.76536 -2.27821 121.516 0.732843 2.70471
384.961 48.2253 170.505 0.63419 205.958 -2.28018 -1 11 1 610.313 -0.108616 0.92348 167.977 0.670064 1 130.461 0.135731 1 518.783 -0.0875956 0 909.463 0.34528 -1.47416 259.739 1.25244 1.1955
82.4058 61.4335 31.4415 -0.980282 47.7976 -1.09575 1 11 1 429.891 0.413304 1.48509 137.379 0.472568 3 238.201 -1.36243 1 77.6602 -0.0990474 0 810.166 -1.08779 -0.0466971 313.659 1.08972 1.20717
87.2874 32.5008 80.215 -0.218371 82.1352 2.79936 -1 13 1 436.888 1.10119 0.162518 109.151 0.57865 1 213.406 -0.143277 1 360.209 0.996558 0 436.888 1.10119 0.162518 109.151 0.57865 1.93304
120.893 29.7626 53.287 -1.28331 103.528 0.575148 -1 13 1 490.277 0.660056 -2.68377 188.295 0.496926 1 362.453 -0.648753 2 362.453 -0.648753 1177.15 841.771 0.0355659 -2.2625 253.941 1.20304 1.30075
469.919 29.7632 57.6002 -0.509522 65.2402 -0.513688 -1 11 1 583.357 -1.4154 2.57713 111.851 0.566951 2 39.4126 -1.73572 1 39.4126 -1.73572 496.809 583.357 -1.4154 2.57713 111.851 0.566951 0.790646
168.737 53.3058 47.4584 1.41874 103.79 -1.41664 -1 13 1 463.637 0.0111251 2.32678 250.592 0.530635 2 146.611 1.70126 1 334.537 0.0175046 0 742.355 1.40975 1.68066 369.469 1.27433 1.56506
200.637 30.9063 42.5256 -0.419888 46.3299 0.957439 1 13 1 308.496 0.823644 -2.30685 101.179 0.656696 1 228.206 -1.06348 1 292.79 0.793099 0 308.496 0.823644 -2.30685 101.179 0.656696 1.27406
65.4992 43.3221 47.8775 -0.651208 58.3932 -2.72734 1 13 1 426.196 1.88658 -0.30112 144.025 0.718605 3 133.767 -2.00882 1 274.297 2.07913 0 426.196 1.88658 -0.30112 144.025 0.718605 0.660543
317.845 35.3779 79.0436 -0.74417 101.959 -1.56295 1 13 1 351.314 -0.939885 1.8845 146.558 0.570315 2 90.2907 0.0118668 2 51.601 -1.59419 0 351.314 -0.939885 1.8845 146.558 0.570315 1.19308
147.593 28.1835 74.568 1.79275 230.134 0.829443 1 13 1 522.209 0.713461 -1.47537 288.424 0.394472 1 384.516 1.20268 1 136.713 0.2303 0 522.209 0.713461 -1.47537 288.424 0.394472 1.86961
547.15 12.0789 238.326 -0.537773 273.626 -1.91652 -1 11 1 707.742 0.204652 1.31622 124.406 0.583144 1 42.6743 -0.557915 1 680.538 0.1934 0 707.742 0.204652 1.31622 124.406 0.583144 0.332065
111.502 30.754 76.4025 -2.16882 338.549 -0.54591 1 13 1 352.139 0.0812101 2.47289 109.988 0.419875 1 109.485 -1.57542 1 53.0911 -0.465383 0 352.139 0.0812101 2.47289 109.988 0.419875 0.753147
340.591 5.43842 120.373 0.80516 161.545 1.94977 1 11 1 411.755 1.12479 -1.42879 148.733 0.610684 1 66.0163 0.449537 2 66.0163 0.449537 568.34 411.755 1.12479 -1.42879 148.733 0.610684 1.17651
162.916 9.23014 32.0262 -0.448128 35.2963 -0.690297 1 13 1 311.335 1.9511 2.28803 126.502 0.522082 1 189.96 -1.16233 1 109.842 2.39386 0 311.335 1.9511 2.28803 126.502 0.522082 1.24341
199.577 71.6056 54.681 0.62127 65.5776 -2.64406 -1 11 1 318.276 -0.631302 1.35509 148.341 0.594408 1 82.4835 1.72777 2 225.421 -0.786702 0 318.276 -0.631302 1.35509 148.341 0.594408 0.884
328.284 51.4204 104.03 -1.95463 374.663 1.48313 1 11 1 378.855 -0.410893 -1.9149 120.475 0.623486 2 270.044 -1.68574 2 245.915 -0.401914 0 708.743 -2.07724 -1.52431 202.632 1.07203 0.998389
232.214 8.70847 131.311 0.962289 196.947 -0.256919 -1 11 1 345.228 0.00649689 2.44844 141.05 0.554848 1 148.678 0.891299 1 236.289 -0.0872852 0 345.228 0.00649689 2.44844 141.05 0.554848 0.678323
61.432 62.7684 74.3615 1.89981 254.102 1.81775 1 13 1 355.578 0.721631 -0.235146 111.163 0.687282 2 461.781 0.933347 1 296.738 0.561627 0 801.078 1.66816 2.86893 185.11 1.26548 1.05495
