etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
140.859 112.601 173.302 -0.719597 220.141 -0.629445 1 11 1 303.808 0.716499 2.34063 105.44 0.701667 2 79.6563 -1.06559 2 74.2067 1.15576 0 303.808 0.716499 2.34063 105.44 0.701667 1
101.124 12.9607 84.245 0.521832 95.978 1.69402 1 13 1 319.519 -0.207688 -1.05065 124.417 0.658574 1 118.618 0.698705 1 229.118 -0.0054552 0 319.519 -0.207688 -1.05065 124.417 0.658574 1
93.8502 145.959 69.5917 -0.571767 81.2804 2.4011 1 11 1 379.502 0.429905 -0.032258 101.729 0.705147 4 257.188 0.261943 1 354.829 0.387903 0 379.502 0.429905 -0.032258 101.729 0.705147 1
79.1584 78.5076 39.4455 0.320825 41.493 1.18965 -1 11 1 364.358 -1.71989 -0.736101 159.922 0.462396 2 271.876 0.766889 2 111.374 -1.13162 0 673.232 -0.882717 2.04721 211.584 1.22203 1
49.9677 119.077 78.1793 -1.26153 149.089 -0.0603785 1 11 1 381.64 -1.25152 1.35807 113.092 0.601598 4 327.341 -0.637407 4 327.341 -0.637407 836.84 749.172 -1.9394 -0.584009 245.185 1.18233 1
65.7294 4.4156 63.2666 -0.885121 89.7101 -0.812304 -1 11 1 307.156 0.424714 -2.72451 115.495 0.649454 1 254.486 -0.373864 1 158.821 0.620407 0 590.586 0.181586 -2.03538 213.505 1.31197 1
167.917 4.51461 119.401 0.964157 179.333 2.64599 1 11 1 379.486 1.35876 -0.756424 142.224 0.407342 2 129.094 0.748525 1 129.094 0.748525 657.25 379.486 1.35876 -0.756424 142.224 0.407342 1
190.328 90.9303 164.151 0.424242 179.146 2.66331 -1 11 1 475.556 -0.840595 -0.659289 316.613 0.537808 1 218.494 0.00749652 1 218.494 0.00749652 1054.49 845.685 -0.651812 1.95988 401.009 0.753375 1
401.546 26.807 45.5909 -0.633521 55.05 0.351983 1 13 1 490.624 -0.234739 -3.03016 172.004 0.700616 1 83.8719 -1.87925 2 403.416 -0.375878 669.127 490.624 -0.234739 -3.03016 172.004 0.700616 1
196.552 109.852 145.243 -0.744121 187.345 0.832774 1 11 1 600.255 1.51974 -2.5393 139.974 0.744693 2 367.12 -2.00674 1 414.187 1.48637 0 600.255 1.51974 -2.5393 139.974 0.744693 1
279.028 50.9658 39.8352 1.57238 100.099 -1.65736 1 13 1 371.716 -1.27456 1.01356 119.61 0.504232 1 76.8601 0.275939 1 76.8601 0.275939 710.64 371.716 -1.27456 1.01356 119.61 0.504232 1
435.077 23.1701 79.9123 -0.194904 81.4349 0.592038 -1 11 1 867.501 -0.545856 -2.34605 184.596 0.490633 2 391.939 -0.753805 2 89.6926 -0.170543 0 1324.55 -1.20003 -1.27111 336.578 1.08652 1
63.5775 15.7484 75.1618 1.18547 134.458 -1.66174 1 13 1 409.704 1.46856 2.40151 197.755 0.354959 5 429.672 -0.0609897 2 266.662 1.38031 0 409.704 1.46856 2.40151 197.755 0.354959 1
97.8323 39.584 82.0896 0.407546 89.0018 2.32685 1 11 1 380.91 0.039974 -0.799297 151.372 0.445417 1 275.211 -0.148227 2 275.211 -0.148227 776.937 736.302 0.0456193 1.58009 244.089 0.898884 1
111.885 47.5766 218.962 1.17904 389.624 2.59357 -1 13 1 316.652 0.827499 -0.482006 152.399 0.520631 1 55.6692 0.736091 2 119.765 1.079 635.982 316.652 0.827499 -0.482006 152.399 0.520631 1
266.532 95.0447 56.9682 -2.11945 240.596 -0.478546 -1 13 1 368.493 -0.280611 1.98288 143.679 0.344142 1 68.8597 -0.984896 2 72.2338 -0.895752 573.913 368.493 -0.280611 1.98288 143.679 0.344142 1
85.9908 28.8545 121.911 -0.286763 126.958 -2.4173 -1 11 1 311.699 0.443913 0.671756 138.858 0.475923 3 235.233 -1.19929 1 89.7435 0.293074 0 771.809 -0.499855 -2.10749 410.224 0.990915 1
183.359 78.0075 31.4547 0.271944 32.6252 2.29354 -1 13 1 352.185 -1.97515 -1.43474 184.404 0.241542 2 139.489 -0.11687 1 139.489 -0.11687 765.764 352.185 -1.97515 -1.43474 184.404 0.241542 1
156.617 165.505 102.884 0.113063 103.542 -0.153888 -1 11 1 433.124 0.482703 -2.2984 230.115 0.700344 2 270.466 -0.332227 1 270.466 -0.332227 910.164 433.124 0.482703 -2.2984 230.115 0.700344 1
192.328 56.9987 70.8427 0.880161 100.101 1.13274 1 11 1 323.921 -1.23526 -1.87811 170.532 0.447314 1 117.237 0.339678 2 127.259 -1.4439 732.057 323.921 -1.23526 -1.87811 170.532 0.447314 1
119.076 90.7649 87.2496 0.356493 92.8528 -2.38354 -1 13 1 497.593 -0.0853771 0.833989 172.571 0.651711 2 264 -1.53267 2 264 -1.53267 1102.56 824.417 -1.51943 -1.16267 256.996 1.39568 1
135.737 1.0785 44.2064 -0.340752 46.7978 2.12116 -1 13 1 338.602 -0.0788142 -0.487299 107.476 0.639697 1 245.67 0.0992298 2 250.303 -0.265783 644.798 338.602 -0.0788142 -0.487299 107.476 0.639697 1
141.55 1.44418 69.4399 -1.4977 163.012 2.86279 1 13 1 301.714 1.11342 -0.109537 179.457 0.743957 1 42.7964 -2.49702 1 42.7964 -2.49702 939.119 301.714 1.11342 -0.109537 179.457 0.743957 1
35.2312 48.2648 73.6471 0.601242 87.3644 0.0694768 1 11 1 636.481 -1.40895 2.70011 160.037 0.686666 4 432.88 0.92482 3 579.494 -1.43616 0 1161.99 -0.571675 1.73123 393.52 1.01172 1
123.776 96.4261 165.706 -1.70041 468.85 1.08191 1 11 1 306.322 -0.134973 -2.29327 131.878 0.408028 1 72.4948 -0.836426 2 77.1249 0.372544 710.892 306.322 -0.134973 -2.29327 131.878 0.408028 1
