etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
227.991 51.6251 85.2081 -2.00648 322.578 -0.730054 1 11 1 328.101 -0.554362 2.40687 127.275 0.47328 1 47.7498 -1.37814 2 47.7498 -1.37814 535.158 328.101 -0.554362 2.40687 127.275 0.47328 1.27396
287.917 75.6822 34.9532 0.865776 48.8921 -0.797821 -1 11 1 313.091 1.4451 2.02603 140.937 0.522185 1 95.7579 -0.70133 1 57.0842 0.644471 0 313.091 1.4451 2.02603 140.937 0.522185 0.191957
114.072 36.3776 245.705 -1.88392 826.948 -1.83741 -1 11 1 368.184 -1.69789 1.05566 161.228 0.655699 1 92.7005 -1.93223 1 212.082 -1.37393 0 368.184 -1.69789 1.05566 161.228 0.655699 0.928886
49.0889 39.6636 169.343 -0.0290391 169.415 -0.953416 -1 11 1 350.744 0.21677 2.43517 184.039 0.331275 3 69.6953 1.86231 1 48.58 -0.582964 0 350.744 0.21677 2.43517 184.039 0.331275 0.00287241
207.915 38.6472 83.9392 1.20524 152.651 -1.60611 -1 13 1 337.438 -1.67984 2.07693 127.33 0.72281 1 59.0711 1.1233 3 233.74 -1.41191 973.948 337.438 -1.67984 2.07693 127.33 0.72281 1.60515
1225.82 209.87 66.0723 -1.14942 114.74 -1.61941 1 13 1 1107.52 1.06946 0.217959 266.947 0.733966 1 129.77 -0.833085 2 1009.23 1.10986 1446.23 1847.41 -0.796695 1.31495 317.625 1.32894 0.174221
389.583 68.206 72.8741 0.506945 82.4406 2.62567 -1 13 1 508.192 -0.538296 -0.66962 125.211 0.686183 2 138.634 1.8894 2 234.067 -0.764941 0 508.192 -0.538296 -0.66962 125.211 0.686183 0.588631
130.358 39.8801 469.119 -2.11559 1973.82 -0.65702 -1 11 1 799.011 -0.336831 2.40269 189.164 0.296183 1 211.015 -1.44977 1 211.015 -1.44977 2029.95 799.011 -0.336831 2.40269 189.164 0.296183 1.07152
48.3209 65.7934 239.85 0.49176 269.44 0.0994216 1 13 1 492.066 -0.557879 -2.89829 133.787 0.609199 1 230.766 0.0597459 1 230.766 0.0597459 1075.79 492.066 -0.557879 -2.89829 133.787 0.609199 0.5324
189.009 71.9258 58.3991 -1.8075 182.767 1.64214 1 11 1 924.124 -0.449428 -2.06154 202.347 0.601607 1 554.766 -1.45948 1 554.766 -1.45948 1747.76 1513.62 -1.97087 -0.968402 343.955 1.30133 0
615.678 52.9767 311.113 0.826577 423.585 -0.812048 -1 11 1 1313.63 0.237568 2.12456 304.818 0.597788 2 399.709 0.0481934 2 399.709 0.0481934 2027.45 1806.16 0.172612 0.875792 486.295 0.794764 0.611117
90.4031 143.159 66.3795 0.685249 82.5839 -1.83082 1 13 1 360.012 -1.01621 -0.245528 157.721 0.61449 3 252.715 0.637466 1 80.2934 -0.0939146 0 700.322 -0.476717 2.54037 230.393 1.4037 0.867988
117.343 75.1372 486.698 0.710187 614.681 -0.907244 -1 13 1 380.027 0.568893 1.6618 176.656 0.378816 3 88.2774 -0.825028 2 129.727 -2.43133 0 380.027 0.568893 1.6618 176.656 0.378816 0.699229
186.784 6.09916 71.544 -1.39646 153.402 -0.321538 -1 13 1 368.046 1.61566 -2.88504 163.416 0.562956 1 203.486 -1.20972 1 64.7131 0.790548 0 368.046 1.61566 -2.88504 163.416 0.562956 0
75.9238 75.6999 132.859 0.504633 150.137 -0.206013 1 13 1 337.603 -0.74698 2.69303 104.651 0.722337 1 117.551 -0.115529 2 117.551 -0.115529 662.312 337.603 -0.74698 2.69303 104.651 0.722337 0.569904
526.492 0.100677 82.92 1.04287 132.249 3.02327 -1 11 1 553.991 0.408978 0.156228 153.011 0.471971 1 153.743 1.33064 1 153.743 1.33064 709.839 553.991 0.408978 0.156228 153.011 0.471971 1.31029
73.1917 36.0867 120.814 -0.00574835 120.816 -2.13979 1 11 1 344.856 -0.405167 0.789552 118.109 0.381353 1 146.428 -0.499622 1 146.428 -0.499622 637.235 600.552 -0.637767 -1.59093 220.059 0.868677 0.672097
79.7183 86.4611 68.6478 2.39366 379.1 1.62404 1 13 1 316.501 0.125203 -2.01922 100.28 0.624474 2 45.8765 1.42432 2 157.047 -1.94722 598.635 316.501 0.125203 -2.01922 100.28 0.624474 0.539937
146.857 52.0344 79.2899 -0.471415 88.2647 0.170962 -1 13 1 431.961 -0.464861 -1.79825 144.808 0.640549 2 527.008 0.236852 1 38.0389 -0.2295 0 431.961 -0.464861 -1.79825 144.808 0.640549 1.59765
82.3675 86.7011 166.055 -0.668708 204.587 2.77298 -1 13 1 320.589 -1.21629 -1.26245 148.699 0.512352 3 167.196 -1.33042 1 223.588 -1.18556 0 320.589 -1.21629 -1.26245 148.699 0.512352 0.43479
98.9752 66.3161 101.087 -0.519553 115.04 -0.376548 -1 13 1 347.376 -0.246742 2.82606 146.37 0.53747 3 111.563 -0.427028 1 94.9372 -0.491086 0 347.376 -0.246742 2.82606 146.37 0.53747 0.393162
174.909 92.2701 33.3123 -0.826212 45.3441 2.82325 1 13 1 323.288 1.2556 0.859735 199.141 0.476732 1 173.63 -0.276329 1 173.63 -0.276329 739.615 323.288 1.2556 0.859735 199.141 0.476732 0.377987
24.4561 81.86 74.5105 -0.491915 83.7088 1.3711 -1 11 1 302.087 0.322857 -1.28888 155.267 0.315555 1 276.41 -0.137907 1 197.556 0.109408 0 655.299 0.118866 0.423366 253.008 0.600617 1.19571
36.3559 114.683 94.1686 -0.571192 109.953 1.53841 -1 11 1 383.758 0.870258 -0.00866208 166.964 0.395718 4 304.846 -0.0945837 2 193.528 1.14067 0 730.468 0.707866 -2.92753 292.8 1.15467 1.76424
182.876 8.57423 160.357 0.842981 220.789 1.88556 -1 13 1 419.658 1.06103 -0.771001 140.694 0.70527 2 176.454 1.81743 2 303.071 0.833335 803.954 419.658 1.06103 -0.771001 140.694 0.70527 1.17915
161.806 53.7241 158.157 1.96156 573.402 -1.39308 -1 11 1 644.707 0.116481 1.64336 214.816 0.577132 3 296.779 1.47383 1 296.779 1.47383 1478.71 1094.77 1.86849 0.142995 360.132 1.22472 0.0028116
162.542 18.6745 151.861 1.12757 259.073 1.55795 -1 11 1 571.741 -0.791896 -1.83355 119.69 0.627741 5 105.994 -0.667004 1 497.688 -0.830677 0 827.905 0.291332 -0.615469 275.241 0.978848 0.639805
129.217 127.071 35.2049 -0.131304 35.5088 2.64765 -1 11 1 420.371 -0.815746 0.449221 100.849 0.621296 4 218.987 0.763876 1 218.987 0.763876 856.15 735.803 0.130366 -2.27912 277.462 0.950516 0.700964
83.7807 103.286 112.418 2.10416 467.781 3.13845 -1 11 1 355.775 -0.412895 0.73978 160.48 0.440254 1 205.97 0.516048 1 96.7882 0.252853 0 355.775 -0.412895 0.73978 160.48 0.440254 1.21958
90.0905 90.933 85.9043 -0.743692 110.775 0.106225 -1 11 1 317.357 -0.786978 2.65149 154.829 0.561136 1 149.693 -0.987694 1 95.2324 -1.27684 0 574.688 -1.68219 2.24384 271.886 1.02937 1.32246
75.1535 42.5969 79.2278 0.371913 84.7706 -1.56746 1 13 1 309.864 -0.413554 1.514 168.553 0.401499 1 35.9282 -1.14329 1 85.6335 -0.960331 0 309.864 -0.413554 1.514 168.553 0.401499 0.615622
102.332 38.5642 188.08 0.247466 193.868 -2.3345 -1 11 1 323.866 0.189171 0.788958 188.204 0.393049 1 54.5959 -1.50333 2 84.1684 0.829385 696.794 323.866 0.189171 0.788958 188.204 0.393049 0.763998
66.0677 181.158 128.516 -0.378057 137.81 1.49352 -1 13 1 465.297 -0.558288 -1.54589 161.439 0.449448 1 423.45 0.636886 1 165.131 -0.470014 0 895.114 0.101507 0.0651639 219.018 1.23536 1.23604
207.342 15.7664 69.4221 0.81209 93.5998 -0.477629 -1 13 1 319.976 -0.892745 2.15775 146.102 0.433565 1 139.062 0.104279 1 103.491 -0.814924 0 319.976 -0.892745 2.15775 146.102 0.433565 0.752997
60.4867 53.8634 117.266 -0.80991 157.875 2.98183 -1 13 1 381.714 0.277575 -0.513366 125.549 0.749082 1 81.7954 0.679434 2 257.692 0.370693 643.527 381.714 0.277575 -0.513366 125.549 0.749082 1.20815
245.102 83.7504 133.228 0.655455 162.886 1.71882 -1 11 1 378.225 -1.24441 -1.83527 233.576 0.520781 1 42.4638 -0.742693 3 73.2584 -1.631 763.898 378.225 -1.24441 -1.83527 233.576 0.520781 0.81514
125.946 101.804 151.483 0.593747 178.978 -0.0327154 -1 13 1 399.327 0.764997 2.18275 127.909 0.622513 2 232.073 1.78638 1 193.913 0.600604 0 399.327 0.764997 2.18275 127.909 0.622513 1.04547
162.853 86.1932 96.3553 0.384682 103.573 2.44032 -1 13 1 346.756 -0.863634 -1.35942 124.456 0.520063 1 58.9288 -1.31307 1 238.427 -0.625957 0 346.756 -0.863634 -1.35942 124.456 0.520063 0.574817
117.583 122.855 275.233 -0.461986 305.131 2.40307 -1 11 1 349.842 0.34714 -0.469959 107.786 0.56024 1 75.435 -1.21855 1 298.805 0.247302 0 349.842 0.34714 -0.469959 107.786 0.56024 1.16677
177.161 82.698 79.4493 -0.308 83.2476 -2.95161 -1 13 1 362.256 -0.879517 1.34123 109.354 0.273693 1 178.107 -0.79311 1 178.107 -0.79311 626.487 362.256 -0.879517 1.34123 109.354 0.273693 0.907958
84.9002 86.5906 50.6043 -1.19134 90.9691 1.34036 -1 13 1 356.13 -1.87588 -2.88139 172.206 0.352518 3 303.228 -1.17837 2 139.1 -1.79703 0 739.104 -3.00789 -2.75877 318.141 1.0602 1.26032
